"All","Alle"
"Allowed Scopes","Zulässige Bereiche"
"An order cannot be created in disallowed store.","Eine Bestellung kann nicht in einem unzulässigen Store angelegt werden."
"Custom","Kundschaft"
"None","Keine"
"Not enough permissions to delete this item.","Es sind nicht genügend Genehmigungen vorhanden, um diesen Artikel zu löschen."
"Not enough permissions to save specified Combination of Store Scopes.","Es sind nicht genügend Genehmigungen vorhanden, um die angegebene Kombination von Store-Bereichen zu speichern."
"Not enough permissions to save this item.","Es sind nicht genügend Genehmigungen vorhanden, um diesen Artikel zu speichern."
"Not enough permissions to set All Scopes to a Role.","Es sind nicht genügend Genehmigungen vorhanden, um alle Bereiche einer Rolle zuzuweisen."
"Not enough permissions to view this item.","Es sind nicht genügend Genehmigungen vorhanden, um diesen Artikel zu speichern."
"Please assign this entity to a store view.","Bitte weisen Sie diesen Datensatz einer Store-Ansicht zu."
"Please specify at least one website or one store group.","Bitte geben Sie mindestens eine Website oder Store-Gruppe an."
"Role Scopes","Rolle Anwendungsbereiche"
"This item must be assigned to a store view.","Dieser Artikel muss einer Store-Ansicht zugewiesen werden."
"This item must be assigned to a website.","Dieser Artikel muss einer Website zugewiesen werden."
"Website ""%s"" is not allowed in your current permission scope.","Die Website ""%s"" ist in Ihrem derzeitigen Zulassungsrahmen nicht verfügbar."
"Wrong store ID: %d","Falsche Store-ID: %d"
"Wrong website ID: %d","Falsche Website ID: %d"
