"-- None --","-- Keine --"
"Active","Aktiv"
"Add Banner","Banner hinzufügen"
"An error occurred while deleting banner data. Please review log and try again.","Beim Löschen der Bannerdaten trat ein Fehler auf. Bitte sehen Sie sich das Log an und versuchen Sie es noch einmal."
"An error occurred while mass deleting banners. Please review log and try again.","Beim Löschen der Banner trat ein Fehler auf. Bitte sehen Sie sich das Log an und versuchen Sie es noch einmal."
"Any","Beliebig"
"Any Banner Type","Beliebiger Bannertyp"
"Applies To","Gilt für"
"Applies to Any of the Specified Customer Segments","Gilt für irgendeinen der spezifizierten Kundensegmente"
"Are you sure you want to delete these banners?","Sind sie Sicher, dass sie diese Banner löschen wollen?"
"Banner Block Template","Banner Block Vorlage"
"Banner Default Content for All Store Views","Banner Standardinhalt für alle Store Views"
"Banner Information","Bannerinformation"
"Banner Inline Template","Banner Inline Vorlage"
"Banner Name","Bannername"
"Banner Properties","Bannereigenschaften"
"Banner Rotator","Banner-Rotator"
"Banner Types","Bannertypen"
"Banners","Banner"
"Banners to Display","Anzuzeigende Banner"
"CMS","CMS"
"Catalog Promotions Related","Catalog Promotions bezogen"
"Content","Inhalt"
"Content Area","Inhaltsbereich"
"Customer Segments","Kundensegmente"
"Default Content","Standardinhalt"
"Delete","Löschen"
"Delete Banner","Banner löschen"
"Displays Specified or Promotion Banners","Zeigt spezifzierte oder Promotion Banner an"
"Do not rotate, display all at once","Nicht drehen, alle gleichzeitig anzeigen"
"Edit Banner","Banner bearbeiten"
"Footer","Fuß"
"Header","Kopf"
"ID","ID"
"Left Column","Linke Spalte"
"Manage Banners","Banner verwalten"
"Name must not be empty.","Name darf nicht leer sein."
"New Banner","Neues Banner"
"No","Nein"
"No Default Content","Kein Standardinhalt"
"One at the time, Random","Einzeln, zufällig"
"One at the time, Series","Einzeln, Serien"
"One at the time, Shuffle","Einzeln, gemischt"
"Please select banner(s).","Bitte wählen Sie einen/mehrere Banner"
"Please specify default content for at least one store view.","Bitte spezifizieren Sie den Standardinhalt für wenigstens eine Store View."
"Position","Position"
"Related Banners","Verwandte Banner"
"Related Catalog Price Rules","Verwandte Katalogpreisregeln"
"Related Promotions","Verwandte Promotions"
"Related Shopping Cart Price Rules","Verwandte Warenkorbpreisregeln"
"Restrict by Banner Types","Durch Bannertypen beschränken"
"Right Column","Rechte Spalte"
"Rotation Mode","Drehmodus"
"Save Banner","Banner speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Shopping Cart Promotions Related","Warenkorb-Promotions bezogen"
"Specified","Spezifiziert"
"Specified Banner Types","Spezifizierte Bannertypen"
"Specified Banners","Spezifizierte Banner"
"Specify Banners","Banner spezifizieren"
"Specify Types","Typen spezifizieren"
"Store View Specific Content","Store View-spezifischer Inhalt"
"The banner has been deleted.","Dieses Banner wurde gelöscht."
"The banner has been saved.","Dieses Banner wurde gespeichert."
"This banner no longer exists.","Dieses Banner existiert nicht mehr."
"Total of %d record(s) have been deleted.","Eine Gesamtanzahl von %d Einträgen wurde gelöscht."
"Unable to find a banner to delete.","Zu löschendes Banner kann nicht gefunden werden."
"Unable to save the banner.","Banner kann nicht gespeichert werden."
"Use Default","Standard verwenden"
"Visible In","Sichtbar in"
"Yes","Ja"
