"(Allow)","(Erlauben)"
"(Config)","(Konfig)"
"(Deny)","(Blockieren)"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Achtung!</strong> Gemäß Standardeinstellung schränkt dieses Feature alle Kategorien ein."
"A permission with the same scope already exists.","Eine Erlaubnis für denselben Anwendungsbereich existiert bereits."
"Add to Cart","Zu Einkaufsliste hinzufügen"
"Allow Adding to Cart","Zu Einkaufsliste hinzufügen erlauben"
"Allow Browsing Category","Nach Kategorie suchen erlauben"
"Browsing Category","Nach Kategorie suchen"
"Category Permissions","Kategorien-Befugnisse"
"Category Permissions Section","Abschnitt Kategorien-Befugnisse"
"Customer Groups","Kundengruppen"
"Disallow Catalog Search By","Katalogsuche verbieten nach"
"Display Product Prices","Produktpreise anzeigen"
"Enable","Aktivieren"
"Landing Page","Hauptseite"
"New Permission","Neue Befugnis"
"No","Nein"
"No, Redirect to Landing Page","Nein, auf Hauptseite weiterleiten"
"Permission with the same scope","Befugnis mit demselben Geltungsbereich"
"Remove Permission","Befugnis entziehen"
"Yes, for Everyone","Ja, für alle"
"Yes, for Specified Customer Groups","Ja, für bestimmte Kundengruppen"
