"Access denied.","Zugang verweigert."
"Action","Aktion"
"Add Products","Produkte hinzufügen"
"Add Selected Product(s) to Shopping Cart","Ausgewählte(s) Produkt(e) in den Warenkorb legen."
"An error has occurred. See error log for details.","Ein Fehler ist aufgetreten. Genauere Informationen finden Sie im Fehlerprotokoll."
"Apply","Anwenden"
"Apply Coupon Code","Gutschein-Code anwenden"
"Cancel","Abbrechen"
"Choose some products to add to shopping cart.","Wählen Sie einige Produkte, um diese dem Warenkorb hinzuzufügen."
"Coupon code ""%s"" is not valid","Couponcode ""%s"" ist ungültig"
"Customer not found","Kunde nicht gefunden"
"Customers","Kunden"
"Discount","Ermäßigung"
"Excl. Tax","Exkl. Steuer"
"Failed to add a product of order item","Produkt konnte nicht zur Auftragsposition hinzugefügt werden"
"Failed to reorder item","Produkt konnte nicht wieder bestellt werden"
"ID","ID"
"Incl. Tax","Inkl. Steuer"
"Invalid block: %s.","Ungültiger Block: %s."
"Last ordered items (%s)","Zuletzt bestellte Artikel (%s)"
"Manage Customers","Kunden verwalten"
"Manage Shopping Cart","Warenkorb verwalten"
"Move to Wishlist","In Wunschliste verschieben"
"No ordered items","Keine bestellten Artikel"
"Ordered item id is not received.","Die bestellte Artikelnummer wurde nicht empfangen."
"Ordered item is not loaded.","Der bestellte Artikel wird nicht geladen."
"Price","Preis"
"Product","Produkt"
"Product Name","Produktname"
"Product name","Produktbezeichnung"
"Products","Produkte"
"Products in the Comparison List (%s)","Produkte in der Vergleichsliste (%s)"
"Qty","Menge"
"Qty To Add","Menge zum Hinzufügen"
"Quote item id is not received.","Die angegebene Artikelnummer wurde nicht empfangen."
"Quote item is not loaded.","Der bestellte Artikel wird nicht geladen."
"Recently Compared Products (%s)","Kürzlich verglichene Produkte (%s)"
"Recently Viewed Products (%s)","Kürzlich angesehene Produkte (%s)"
"Remove","Entfernen"
"Remove Coupon Code","Gutschein-Code entfernen"
"Row Subtotal","Zeile Zwischensumme"
"SKU","SKU"
"Shopping Cart","Warenkorb"
"Shopping Cart Items","Artikel im Warenkorb"
"Shopping Cart Management","Warenkorb Management"
"Shopping Cart for %s in %s","Warenkorb für %s in %s"
"Shopping cart management disabled for this customer.","Warenkorbmanagement für diesen Kunden deaktiviert."
"Store not found.","Filiale nicht gefunden."
"Subtotal","Zwischensumme"
"Subtotal:","Zwischensumme:"
"Total","Summe"
"Total %d product(s)","Summe %d Produkt€"
"Total incl. tax","Summe inkl. Steuer"
"Update Items and Qty's","Artikel und Mengen aktualisieren"
"View Shopping Cart","Warenkorb anzeigen"
"View and modify Shopping Cart","Warenkorb anzeigen und bearbeiten"
"Wishlist (%s)","Wunschliste (%s)"
"Wishlist item id is not received.","Die Artikelnummer des Artikels auf der Wunschliste wurde nicht empfangen."
"Wishlist item is not loaded.","Der Artikel auf der Wunschliste wird nicht geladen."
