"%s; rev #%s","%s; rev #%s"
"Access Level","Zugrifflevel"
"Add Node...","Notiz hinzufügen..."
"Add Selected Page(s) to Tree","Ausgewählte Seite(n) zum Baum hinzufügen"
"Add To Tree","Zum Baum hinzufügen"
"An error occurred while deleting revisions.","Beim Löschen der Revisionen ist ein Fehler aufgetreten."
"An error occurred while deleting the revision.","Beim Löschen der Revision ist ein Fehler aufgetreten."
"An error occurred while deleting the version.","Beim Löschen der Version ist ein Fehler aufgetreten."
"An error occurred while deleting versions.","Beim Löschen der Versionen ist ein Fehler aufgetreten."
"Anchor Custom Text","Benutzerdefinierten Text verankern"
"Anchor Custom Title","Benutzerdefinierten Titel verankern"
"Are you sure you want to break current lock?","Sind Sie sicher, dass Sie das derzeitige Schloss aufbrechen wollen?"
"Are you sure you want to delete this revision?","Sind Sie sicher, dass Sie diese Revision löschen wollen?"
"Are you sure?","Sind Sie sicher?"
"Author","Autor"
"Author:","Autor:"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Hierarchy","CMS Hierarchie"
"CMS Hierarchy Node Link","CMS Hierarchie Knotenlink"
"CMS Home Page","CMS Startseite"
"CMS No-Route Page","CMS No-Route Seite"
"CMS Page Default Versioning","CMS Seite Standard Versionisierung"
"CMS Page Hierarchy","CMS Seite Hierarchie"
"CMS Page Link Block Template","CMS Seite Link Block Vorlage"
"CMS Page Link Inline Template","CMS Seite Link Inline Vorlage"
"CMS Page Trees","CMS Seite Baum"
"CMS Pages","CMS Seiten"
"CMS Pages (All)","CMS Seiten (Alle)"
"CMS Versioning","CMS Versionisierung"
"Cancel","Abbrechen"
"Cannot change version access level because it is the last public version for its page.","Zugriffslevel für diese Version kann nicht geändert werden, da es die letzte veröffentlichte Version der Seite ist."
"Cannot change version access level because its revision is published.","Zugriffslevel für diese Version kann nicht geändert werden da die Revision veröffentlicht ist."
"Chapter/Section","Kapitel/Abschnitt"
"Choose Revision","Revision wählen"
"Choose Store View","Store View wählen"
"Circle","Kreis"
"Content","Inhalt"
"Could not load specified revision.","Spezifizierte Revision konnte nicht geladen werden."
"Could not load specified version.","Spezifizierte Version konnte nicht geladen werden."
"Created","Erstellt"
"Created At","Erstellt um"
"Created:","Erstellt:"
"Current Modification","Derzeitige Änderungen"
"Currently Published Revision","Derzeit veröffentlichte Revision"
"Default","Standard"
"Default Layout for Hierarchy Menu","Standardlayout für Hierarchiemenü"
"Delete","Löschen"
"Delete Revision and Version","Revision und Version löschen"
"Disabled by Default","Standardgemäß deaktiviert"
"Disc","Disk"
"Edit Page '%s' New Revision","Bearbeitungsseite '%s' Neue Revision"
"Edit Page '%s' Revision #%s","Bearbeitungsseite '%s' Revision #%s"
"Edit Page '%s' Version '%s'","Bearbeitungsseite '%s' Version '%s'"
"Edit Revision","Revision bearbeiten"
"Edit Version","Version bearbeiten"
"Enable Chapter/Section","Kapitel/Abschnitt aktivieren"
"Enable Hierarchy Functionality","Hierarchiefunktionalität aktivieren"
"Enable Hierarchy Metadata","Hierarchie Metadaten aktivieren"
"Enable Navigation Menu","Nagivationsmenü aktivieren"
"Enable Pagination","Paginierung aktivieren"
"Enabled by Default","Standardgemäß aktiviert"
"Error in saving hierarchy.","Beim Speichern der Hierarchie ist ein Fehler aufgetreten."
"Exclude from Navigation Menu","Vom Navigationsmenü ausschließen"
"First","Erste"
"Frame","Frame"
"Frame Skip","Frame Skip"
"Hierarchy","Hierarchie"
