"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte auswählen --"
"Account Information","Kontoinformationen"
"Add New Address","Neue Adresse hinzufügen"
"Add New Attribute","Neue Attribute hinzufügen"
"Additional Address Entries","Zusätzliche Adresseneinträge"
"Address","Adresse"
"Address Book","Adressbuch"
"Address Information","Adresseninformation"
"All Themes","Alle Themen"
"An error occurred while deleting the customer address attribute.","Beim Löschen der Kundenadressenattribute ist ein Fehler aufgetreten."
"An error occurred while deleting the customer attribute.","Beim Löschen der Kundenattribute ist ein Fehler aufgetreten."
"An error occurred while deleting the form type.","Beim Löschen des Formattypen ist ein Fehler aufgetreten."
"An error occurred while saving the customer address attribute.","Beim Speichern der Kundenadressenattribute ist ein Fehler aufgetreten."
"An error occurred while saving the customer attribute.","Beim Speichern der Kundenattribute ist ein Fehler aufgetreten."
"An error occurred while saving the form type.","Beim Speichern des Formattypen ist ein Fehler aufgetreten."
"Are you sure you want to delete this address?","Sind Sie sicher, dass sie diese Adresse löschen wollen?"
"Attribute Information","Attributinformation"
"Attribute is no longer exists.","Attribut existiert nicht mehr."
"Attribute with the same code already exists","Es existiert bereits ein Attribut mit dem selben Code."
"Attributes","Attribute"
"Back","Zurück"
"Back to Login","Zurück zum Login"
"Based On","Basierend auf"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn Sie ein Konto für unseren Shop anlegen, kommen Sie schneller durch den Checkoutprozess, können mehrere Lieferadressen speichern, Ihre Bestellungen unter ihrem Konto ansehen, nachverfolgen, und mehr."
"Cancel","Abbrechen"
"Change Billing Address","Versandadresse ändern"
"Change Password","Passwort ändern"
"Change Shipping Address","Lieferadresse ändern"
"City","Stadt"
"Comma separated","Durch Komma getrennt"
"Company","Firma"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm Password","Passwort bestätigen"
"Contact Information","Kontaktinformationen"
"Country","Land"
"Create an Account","Ein Konto erstellen"
"Current Password","Derzeitiges Passwort"
"Customer","Kunde"
"Customer Account Edit Form","BearbeitungsFormat für Kundenkonto"
"Customer Account Login Form","Loginformular für Kundenkonto"
"Customer Account Logout Success","Kundenkonto Logout erfolgreich"
"Customer Account Registration Form","Registrierungsformular für Kundenkonto"
"Customer Forgot Password Form","Formular für Kunde hat Passwort vergessen"
"Customer My Account (All Pages)","Kunde Mein Konto (Alle Seiten)"
"Customer My Account Address Book","Kunde Mein Konto Adressbuch"
"Customer My Account Address Edit Form","Kunde Mein Konto AdressbearbeitungsFormat"
"Customer My Account Dashboard","Kunde Mein Konto Dashboard"
"DD","DD"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Default Addresses","Standardadresse"
"Default Billing Address","Standart Versandaresse"
"Default Shipping Address","Standard Lieferadresse"
"Default Values","Standardwerte"
"Delete Address","Adresse löschen"
"Delete Attribute","Attribute löschen"
"Edit","Bearbeiten"
"Edit Account Information","Kontoinformationen bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Address Entry","Adresseneintrag bearbeiten"
"Edit Customer Address Attribute","Kundenadressenattribut bearbeiten"
"Edit Customer Address Attribute ""%s""","Kunden-Adresseinstellungen bearbeiten ""%s"""
"Edit Customer Attribute","Kundenattribut bearbeiten"
"Edit Customer Attribute ""%s""","Kundeneinstellung ändern ""%s"""
"Edit Form Type ""%s""","Dokumenttyp ändern ""%s"""
"Edit Newsletters","Newsletter bearbeiten"
"Email Address","E-Mail Adresse"
"Fax","Fax"
"File Extensions","Dateierweiterungen"
"For Theme","Für Thema"
"Forgot Your Password?","Passwort vergessen?"
"Form Code","Formatcode"
"Form Fields Before","Vorheriges Dokumentfeld"
"Form Label","Formatbezeichnung"
"Form Title","Formattitel"
"Form Type Code","Formattypcode"
"Form Type Information","Formattypinformation"
"Form type has been deleted.","Formattyp wurde gelöscht"
"Forms to Use In","Fomate verwendet für"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Von Ihrem Mein Konto Dashboard können Sie einen Schnapschuss Ihrer kürzlich erfolgten Kontoaktivitäten sehen und ihre Kontoinformationen bearbeiten. Wählen Sie einen der untenstehenden Links um Informationen anzusehen oder zu bearbeiten."
"Frontend Properties","Frontend Eigenschaften"
"General","Allgemein"
"General Information","Allgemeine Informationen"
"General Subscription","Allgemeines Abonoment"
"Go back","Zurück"
"Hello, %s!","Hallo, %s!"
"If you have an account with us, log in using your email address.","Wenn Sie ein Konto bei uns haben, loggen Sie sich mit ihrer E-Mail Adresse ein."
"Input Type","Eingabetyp"
"Input Validation","Eingabeüberprüfung"
"Input/Output Filter","Input/Output Filter"
"Label","Bezeichnung"
"Lines Count","Zeilenzählung"
"Login","Einloggen"
"Login Information","Login Informationen"
"Login or Create an Account","Einloggen oder Konto erstellen"
"MM","MM"
"Manage Addresses","Adressen verwalten"
"Manage Customer Address Attributes","Kundenadressenattribute verwalten"
"Manage Customer Attributes","Kundenattribute verwalten"
"Manage Form Types","Formattypen verwalten"
"Manage Label / Options","Bezeichnung/Optionen verwalten"
"Maximum File Size (bytes)","Maximale Dateigröße (Bytes)"
"Maximum Image Height (px)","Maximale Bildhöhe (px)"
"Maximum Image Width (px)","Maximale Bildbreite (px)"
"Maximum Text Length","Maximale Textlänge"
"Maximum value","Höchstwert"
"Minimal value","Mindestwert"
"Minimum Text Length","Minimale Textlänge"
"Month","Monat"
"My Account Wrapper","Meine Account-Verpackung"
"My Dashboard","Mein Dashboard"
"New Address Entry","Neuen Adresseintrag"
"New Attribute","Neues Attribut"
"New Customer Address Attribute","Neues Kundenadressenattribut"
"New Customer Attribute","Neues Kundenattribut"
"New Customers","Neue Kunden"
"New Fieldset","Neue Gruppierung"
"New Form Type","Neuer Formattyp"
"New Password","Neues Passwort"
"Newsletter Subscription","Newsletter Abonoment"
"Newsletters","Newsletter"
"No","Nein"
"None","Keine"
"Password","Paswort"
"Personal Information","Persönliche Informationen"
"Please enter your email below and we will send you the confirmation link for it.","Bitte geben Sie ihre E-Mail Adresse unten ein, wir schicken Ihnen dann den Bestätigungslink dafür."
"Please enter your email below and we\'ll send you a new password.","Bitte geben Sie ihre E-Mail Adresse unten ein, wir schicken Ihnen dann ein neues Passwort."
"Please select region, state or province","Bitte wählen Sie Region, Staat oder Provinz."
"Properties","Eigenschaften"
"Register","Registrieren"
"Registered Customers","Registrierte Kunden"
"Remove","Entfernen"
"Save","Speichern"
"Save Address","Adresse speichern"
"Save Attribute","Attribut speichern"
"Save Password","Passwort speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Send confirmation link","Bestätigungslink schicken"
"Show on Frontend","Am Frontend zeigen"
"Sign Up for Newsletter","Für Newsletter anmelden"
"Sort Order","Sortierfolge"
"State/Province","Staat/Provinz"
