"Action","Aktion"
"Additional information","Zusätzliche Informationen"
"An amount on which to change the balance","Betrag, um den das Guthaben geändert werden soll"
"Balance","Guthaben"
"Balance Change","Guthaben-Veränderung"
"Balance History","Guthaben-Verlauf"
"Balance history cannot be saved without existing balance.","Guthaben-Verlauf kann ohne bestehendes Guthaben nicht gespeichert werden."
"By admin: %1$s. (%2$s)","Durch Admin: %1$s. (%2$s)"
"By admin: %s.","Durch Admin: %s."
"Comment","Kommentar"
"Created","Erstellt"
"Customer ID must be specified.","Kunden-ID muss angegeben werden."
"Customer My Account Store Credit","Kunde Mein Konto Shop-Guthaben"
"Customer is not set or does not exist.","Kunde ist nicht eingestellt oder existiert nicht."
"Customer notified?","Kunde benachrichtigt?"
"Date","Datum"
"Delete Orphan Balances","Verwaiste Guthaben löschen"
"Enable Store Credit Functionality","Shopkredit-Funktion aktivieren"
"Failed to initialize customer","Kunde konnte nicht initialisiert werden"
"In order to send email notification, the Store ID must be set.","Um eine E-Mail-Benachrichtigung zu senden, muss die Shop-ID eingestellt sein."
"No","Nein"
"Not enough Store Credit Amount to complete this Order.","Shop-Guthaben nicht ausreichend, um die Bestellung auszuführen."
"Notified","Benachrichtigt"
"Notify Customer by Email","Kunden per E-Mail benachrichtigen"
"Order #%s","Bestellung #%s"
"Please set store ID as well.","Bitte stellen Sie auch die Shop-ID ein."
"Refund Money to Store Credit","Geld auf Shop-Guthaben zurückvergüten"
"Refund Store Credit Automatically","Automatische Rückzahlung des Store-Kredits"
"Refund Store Credit to Store Credit","Shop-Guthaben auf Shop-Guthaben zurückvergüten"
"Refund to Store Credit","Auf Shop-Guthaben zurückvergüten"
"Refunded","Zurückvergütet"
"Refunded to Store Credit","Auf Shop-Guthaben zurückvergütet"
"Remove","Entfernen"
"Reverted","Rückgängig"
"Send Email Notification From the Following Store View","E-Mail-Benachrichtigung aus folgender Shop-Ansicht versenden"
"Send Email from the Following Store View","E-Mail aus folgender Shop-Ansicht versenden"
"Show Store Credit History to Customers","Kunden den Shop-Guthaben-Verlauf anzeigen"
"Store Credit","Shop-Guthaben"
"Store Credit (%s)","Store Kredit (%s)"
"Store Credit Balance","Shop-Guthaben"
"Store Credit Balance and History Wrapper","Shop-Guthaben- und Verlaufs-Wrapper"
"Store Credit Options","Shop-Guthaben-Optionen"
"Store Credit Update","Shop-Guthaben-Aktualisierung"
"Store Credit Update Email Sender","E-Mail-Versender für Shop-Guthaben-Aktualisierung"
"Store Credit Update Email Template","E-Mail-Vorlage für Shop-Guthaben-Aktualisierung"
"Store Credit payment is not being used in your shopping cart.","Shop-Guthaben-Zahlung wird in Ihrem Einkaufswagen nicht verwendet."
"Store credit amount cannot exceed order amount.","Der Betrag des Store-Kredits kann den Bestellbetrag nicht überschreiten."
"The store credit payment has been removed from shopping cart.","Shop-Guthaben-Zahlung wurde aus dem Einkaufswagen entfernt."
"There is no creditmemo set to balance model.","Kein Guthaben-Memo für Guthaben-Modell eingestellt."
"There is no order set to balance model.","Keine Bestellung für Guthaben-Modell eingestellt."
"Unknown balance history action code","Unbekannter Aktionscode für Guthaben-Verlauf"
"Update Balance","Guthaben aktualisieren"
"Updated","Aktualisiert"
"Use Store Credit","Shop-Guthaben verwenden"
"Use Store Credit (%s available)","Shop-Guthaben verwenden (%s verfügbar)"
"Used","Verwendet"
"Website","Webseite"
"Website ID must be set.","Webseiten-ID muss eingestellt sein."
"Your current balance is:","Ihr aktuelles Guthaben beträgt:"
"available","verfügbar"
