"Active","Aktiv"
"Add Segment","Segment hinzufügen"
"Address Attributes","Adressenattribute"
"Address Type","Adressentyp"
"Any","Beliebig"
"Assigned to Website","Website zugeteilt"
"Average","Durchschnitt"
"Back","Zurück"
"Billing","Rechnung"
"CSV","CSV"
"Conditions","Konditionen"
"Conditions Combination","Konditionen Kombination"
"Country","Land"
"Customer","Kunde"
"Customer %s","Kunde %s"
"Customer Address","Kundenadresse"
"Customer Address %s","Kundenadresse %s"
"Customer Segment","Kundensegment"
"Customer Segment Report","Kundensegment Report"
"Customer Segment Report \'%s\'","Kundensegment Report '%s'"
"Customer Segment data has been refreshed.","Kundensegmentdaten wurden aktualisiert."
"Customer Segments","Kundensegmente"
"Customer Segments Report","Kundensegmente Report"
"Customer Since","Kunde seit"
"Customer Store Credit Amount %s %s:","Kunden Store Credit Summe %s %s:"
"Customer is %s to newsletter.","Kunde ist für Newsletter %s."
"Customers","Kunden"
"Date Range","Datenbereich"
"Date Ranges","Datenbereiche"
"Default Address","Standardadresse"
"Delete","Löschen"
"Description","Beschreibung"
"Details","Details"
"Edit Segment","Segment bearbeiten"
"Edit Segment '%s'","Segment '%s' bearbeiten"
"Email","E-Mail"
"Enable Customer Segment Functionality","Kundensegmentfunktionalität aktivieren"
"Excel XML","Excel-XML"
"General Properties","Allgemeine Eigenschaften"
"Gift Card","Geschenkkarte"
"Grand Total","Gesamtsumme"
"Group","Gruppe"
"Has State/Province","Hat Staat/Provinz"
"ID","ID"
"If Customer Address %s State/Province specified","Wenn Kundenadresse %s Staat/Provinz spezifiziert"
"Inactive","Inaktiv"
"Intersection","Schnittpunkt"
"Manage Segments","Segmente bearbeiten"
"Matched %d Customers of Segment %s","%s Kunden von Segment % stimmen überein"
"Matched Customers (%d)","Übereinstimmende Kunden (%d)"
"Name","Name"
"New Segment","Neues Segment"
"Newsletter Subscription","Newsletter Abonnement"
"Number of Cart Line Items","Anzahl der Warenkorbartikel"
"Number of Customers","Anzahl der Kunden"
"Number of Orders","Anzahl der Bestellungen"
"Order Address","Bestelladresse"
"Order Address %s","Bestelladresse %s"
"Order Address Attributes","Bestelladresse Eigenschaften"
"Order Status","Bestellstatus"
"Product %s","Produkt %s"
"Product Attributes","Produkteigenschaften"
"Product History","Produkthistorie"
"Product List","Produktliste"
"Products","Produkte"
"Products Quantity","Produktmenge"
"Purchased Quantity","Gekaufte Menge"
"Refresh Segment Data","Segmentdaten aktualisieren"
"Reports","Reports"
"Sales","Umsatz"
"Sales Amount","Umsatzsumme"
"Save","Speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Segment Customers matching error.","Fehler beim Zuordnen der Segmentkunden."
"Segment Information","Segmentinformationen"
"Segment Name","Segmentname"
"Segments","Segmente"
"Set","Setzen"
"Shipping","Lieferung"
"Shopping Cart","Warenkorb"
"Shopping Cart Total","Warenkorb Gesamtsumme"
"State/Province","Staat/Provinz"
"Status","Status"
"Store Credit","Store Credit"
"Subtotal","Zwischensumme"
"Tax","Steuer"
"Telephone","Telefon"
"The segment has been deleted.","Das Segment wurde gelöscht."
"The segment has been saved.","Das Segment wurde gespeichert."
"Total","Gesamt"
"Unable to delete the segment.","Das Segment kann nicht gelöscht werden."
"Unable to save the segment.","Das Segment kann nicht gespeichert werden."
"Union","Vereinigung"
"Unknown operator specified.","Unbekannter Operator spezifiziert."
"Unknown quote total specified.","Unbekannte Angebotsbetrag spezifiziert."
"Up To Date","Auf neuestem Stand"
"Use in Customer Segment","Im Kundensegment verwenden"
"View Combined Report","Kombinierten Report ansehen"
"Viewing combined ""%s"" report from segments: %s","Es wird der kombinierte ""%s""-Report von folgenden Segmenten angezeigt: %s"
"Viewing combined ""%s"" report from segments: %s.","Kombinierten ""%s"" Bericht von Segmenten: %s ansehen."
"Website","Website"
"Wishlist","Wunschliste"
"Wrong customer segment requested.","Falsches Kundensegment angefordert."
"ZIP","Postleitzahl"
"does not exist","existiert nicht"
"does not have","besitzt nicht"
"does not match","stimmt nicht überein"
"exists","existiert"
"has","besitzt"
"is not one of","ist nicht eines von"
"is one of","ist eines von"
"matches","stimmt überein"
"not subscribed","nicht abonniert"
"ordered","bestellt"
"subscribed","abonniert"
"viewed","angesehen"
