"Alpha Only","Nur Alpha"
"Alphanumeric","Alphanumerisch"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Eingabecode ist ungültig. Bitte benutzen Sie nur Buchstaben (a-z), Zahlen (0-9) oder Unterstreichungen (_) in diesem Feld, das erste Zeichen sollte ein Buchstabe sein."
"Current module XML block name is undefined","Das aktuelle Modul XML-Blockname ist unbenannt"
"Current module form model pathname is undefined","Das aktuelle Modul Pfadname des Modells bestimmen ist unbenannt"
"Date","Datum"
"Default EAV Form","EAV-Standardformular"
"Dropdown","Dropdown"
"Email","E-Mail"
"Escape HTML Entities","Verlassen Sie HTML-Bereiche"
"File (attachment)","Datei (Anhang)"
"Image File","Bilddatei"
"Multiple Line","Multiple Line"
"Multiple Select","Mehrfach ausgewählt"
"No","Nein"
"Normalize Date","Datei normalisieren"
"Numeric Only","Nur numerisch"
"Strip HTML Tags","HTML-Tags entfernen"
"Text Area","Textbereich"
"Text Field","Textfeld"
"URL","URL"
"Use helper with defined EAV entity","Helfer mit definierter EAV-Entity verwenden"
"Yes","Ja"
"Yes/No","Ja/Nein"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[SHOP ANSICHT]"
"[WEBSITE]","[WEBSEITE]"
