"Action","Aktion"
"Add Gift Wrapping","Geschenkverpackung hinzufügen"
"Add Printed Card","Grußkarte hinzufügen"
"Allow Gift Receipt","Geschenkbeleg zulassen"
"Allow Gift Wrapping for Order Items","Geschenkverpackung für die bestellten Artikel erlauben"
"Allow Gift Wrapping on Order Level","Geschenkverpackung bei der Bestellung erlauben"
"Allow Printed Card","Grußkarten erlauben"
"An error occurred while updating the wrapping(s) status.","Ein Fehler ist beim Aktualisieren des Verpackungsstatus aufgetreten."
"Are you sure you want to delete the selected gift wrappings?","Sind Sie sicher, dass Sie die ausgewählten Geschenkverpackungen löschen möchten?"
"Are you sure you want to delete this gift wrapping?","Sind Sie sicher, dass Sie diese Geschenkverpackung löschen wollen?"
"Change status","Status ändern"
"Default Price for Printed Card","Standardpreis für Grußkarte"
"Delete","Löschen"
"Design","Design"
"Disabled","Deaktiviert"
"Display Gift Wrapping Prices","Preise für Geschenkverpackung anzeigen"
"Display Printed Card Prices","Preise für Grußkarten anzeigen"
"Edit","Bearbeiten"
"Edit Gift Wrapping ""%s""","Geschenkverpackung ""%s"" bearbeiten"
"Enabled","Aktiviert"
"Excl. Tax","ohne Steuern"
"Failed to save gift wrapping.","Geschenkverpackung konnte nicht gespeichert werden."
"Gift Wrapping","Geschenkverpackung"
"Gift Wrapping Design","Design der Geschenkverpackung"
"Gift Wrapping Information","Geschenkverpackungsinformation"
"Gift Wrapping for Items","Geschenkverpackung für Artikel"
"Gift Wrapping for Items (Excl. Tax)","Geschenkverpackung für Artikel (ohne Mwst.)"
"Gift Wrapping for Items (Incl. Tax)","Geschenkverpackung für Artikel (mit Mwst.)"
"Gift Wrapping for Order","Geschenkverpackung für Bestellung"
"Gift Wrapping for Order (Excl. Tax)","Geschenkverpackung für Bestellung (ohne Mwst.)"
"Gift Wrapping for Order (Incl. Tax)","Geschenkverpackung für Bestellung (mit Mwst.)"
"Gift Wrapping for the Entire Order","Geschenkverpackung für gesamte Bestellung"
"ID","ID"
"Image","Bild"
"Image has not been uploaded.","Bild wurde noch nicht hochgeladen."
"Image was not uploaded.","Bild wurde nicht hochgeladen."
"Incl. Tax","Mit Mwst."
"Manage Gift Wrapping","Geschenkverpackung ändern"
"New Gift Wrapping","Neue Geschenkverpackung"
"Please select","Bitte wählen sie aus"
"Please select items.","Bitte wählen sie ihre Artikel aus."
"Price","Preis"
"Price Excl. Tax","Preis ohne Mwst."
"Price Incl. Tax","Preis mit Mwst."
"Printed Card","Geschenkkarte"
"Printed Card (Excl. Tax)","Geschenkkarte (ohne Mwst.)"
"Printed Card (Incl. Tax)","Geschenkkarte (mit Mwst.)"
"Sales","Verkäufe"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Send Gift Receipt","Versenden sie den Geschenkbon"
"Status","Status"
"Tax Class for Gift Options","Steuerklasse für Geschenkoptionen"
"The gift wrapping has been deleted.","Die Geschenkverpackung wurde gelöscht."
"The gift wrapping has been saved.","Die Geschenkverpackung wurde gespeichert."
"Total of %d record(s) have been deleted.","Insgesamt %d Datensätze wurden gelöscht."
"Total of %d record(s) have been updated.","Insgeamt %d Datensätze wurden aktualisiert."
"Upload File","Datei hochladen"
"Use Default Value","Standardwert verwenden"
"Websites","Websites"
"Wrong gift wrapping requested.","Falsche Geschenkverpackung angefordert."
"You can leave a box blank if you don\'t wish to add a gift wrap for whole order","Sie können ein Feld leer lassen, falls Sie keine Geschenkverpackung für den gesamten Auftrag wünschen."
