"%1$d of %2$d invitations were discarded.","%1$d von %2$d Einladungen wurden verworfen."
"%1$d of %2$d invitations were sent.","%1$d von %2$d Einladungen wurden versendet."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d Einladung(en) können nicht versendet werden, da für diese E-Mails bereits ein Kunde existiert. Diese Einladungen wurden verworfen."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d Einladung(en) wurden nicht versendet, da bereits Kundenkonten für die angegebenen E-Mail-Adressen existieren."
"%d invitation(s) were sent.","%d Einladung(en) wurden versendet."
"%d of selected invitation(s) were skipped.","%d der gewählten Einladung(en) wurden übersprungen."
"* Required Fields","* Pflichtfelder"
"Acceptance Rate","Akzeptanzquote"
"Accepted","Akzeptiert"
"Accepted and Purchased","Akzeptiert und Eingekauft"
"Add Invitations","Einladungen hinzufügen"
"Admin","Admin"
"Allow Customers to Add Custom Message to Invitation Email","Dem Kunden das Hinzufügen einer persönlichen Nachricht zur Einladungs-E-Mail ermöglichen"
"Are you sure you want to discard this invitation?","Sind Sie sicher, dass Sie diese Einladung verwerfen möchten?"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun möchten?"
"Available to All","Verfügbar für alle"
"Back","Zurück"
"Back to Invitations","Zurück zu den Einladungen"
"By Invitation Only","Nur auf Einladung"
"CSV","CSV"
"Conversion Rate","Umsetzungsquote"
"Customer Account Registration by Invitation Form","Formular für die Registrierung eines Kundenkontos auf Einladung"
"Customer Group","Kundengruppe"
"Customer ID","Kunden-ID"
"Customer Invitation","Kunden-Einladung"
"Customer Invitation Email Sender","E-Mail-Versender für Kunden-Einladung"
"Customer Invitation Email Template","E-Mail-Vorlage für Kunden-Einladung"
"Customer Invitations","Kunden-Einladungen"
"Customer My Account Invitations Form","Kunde Mein Konto Einladungsformular"
"Customer My Account Invitations List","Kunde Mein Konto Einladungsliste"
"Customer with email ""%s"" already exists.","Kunde mit E-Mail ""%s"" existiert bereits."
"Customers","Kunden"
"Default Customer Group from System Configuration","Standard-Kundengruppe aus der System-Konfiguration"
"Default from System Configuration","Standard aus der System-Konfiguration"
"Discard Invitation","Einladung verwerfen"
"Discard Rate","Verwerfungsquote"
"Discard Selected","Ausgewähltes verwerfen"
"Discarded","Verworfen"
"Email","E-Mail"
"Email is not specified.","E-Mail ist nicht angegeben."
"Enable Invitations Functionality","Einladungs-Funktion aktivieren"
"Enable Invitations on Frontend","Einladungs-Funktion im Frontend aktivieren"
"Enter Each Email on New Line","Jede E-Mail in einer neuen Zeile eingeben"
"Excel XML","Excel-XML"
"Failed to send %1$d of %2$d invitation(s).","%1$d von %2$d Einladung(en) konnten nicht versendet werden."
"Failed to send %d invitation(s).","%d Einladung(en) konnten nicht versendet werden."
"Failed to send email to %s.","E-Mail an %s konnte nicht versendet werden."
"First Name","Vorname"
"General","Allgemein"
"General Report","Allgemeiner Bericht"
"Group","Gruppe"
"ID","ID"
"Invalid invitation code.","Ungültiger Einladungs-Code."
"Invalid invitation email.","Ungültige Einladungs-E-Mail."
"Invalid or empty invitation email.","Ungültige oder leere Einladungs-E-Mail."
"Invalid value used for ""%s"" parameter. Previous value saved.","Ungültiger Wert für ""%s""-Parameter. Vorheriger Wert gespeichert."
"Invitation Form Before","Einladungsformular vorher"
"Invitation Information","Einladungs-Informationen"
"Invitation List Before","Einladungsliste vorher"
"Invitation Message","Einladungs-Nachricht"
"Invitation Report by Customers","Einladungsbericht nach Kunden"
"Invitation Report by Order Conversion Rate","Einladungs-Bericht nach Umwandlungsquote in Bestellungen"
"Invitation Section","Einladungs-Bereich"
"Invitation Url","Einladungs-URL"
"Invitation for %s has been sent.","Einladung für %s wurde versendet."
"Invitation has no ID.","Einladung hat keine ID."
"Invitation not found.","Einladung nicht gefunden."
"Invitation with status ""%s"" cannot be sent.","Einladung mit dem Status ""%s"" kann nicht gesendet werden."
"Invitations","Einladungen"
"Invitations Accepted","Angenommene Einladungen"
"Invitations Information","Informationen über Einladungen"
"Invitations Sent","Versendete Einladungen"
"Invite your friends by entering their email addresses below","Laden Sie Ihre Freunde ein, indem Sie deren E-Mail-Adressen unten angeben"
"Invitee","Eingeladene/r"
"Invitee Group","Gruppe der Eingeladenen"
"Invitee Information","Informationen über die Eingeladenen"
"Inviter Information","Informationen über den Einladenden"
"Last Name","Nachname"
"Link","Link"
"Manage Invitations","Einladungen verwalten"
"Max Invitations Allowed to be Sent at One Time","Maximale Anzahl von Einladungen, die zu einem Zeitpunkt versendet werden dürfen"
"Message","Nachricht"
"Message cannot be updated.","Nachricht kann nicht aktualisiert werden."
"My Invitations","Meine Einladungen"
"N/A","N/A"
"Name","Name"
"New Accounts Registration","Registrierung neuer Konten"
"New Invitations","Neue Einladungen"
"No customer group id specified.","Keine Kundengruppen-ID angegeben."
"No invitations have been resent","Keine Einladungen wurden nochmals versendet"
"Not Sent","Nicht versendet"
"Order Conversion Rate","Umwandlungsquote in Bestellungen"
"Please enter valid email addresses, separated by new line.","Bitte geben Sie gültige E-Mail-Adressen jeweils in einer neuen Zeile ein."
"Please select invitations.","Bitte wählen Sie Einladungen aus."
"Please specify at least one email.","Bitte geben Sie mindestens eine E-Mail-Adresse an."
"Referred Customer Group","Gruppe eingeladener Kunden"
"Registered","Registriert"
"Reports","Berichte"
"Same as Inviter","Identisch mit dem Einladenden"
"Save Invitation","Einladung speichern"
"Send At","Versenden am"
"Send From","Versenden von"
"Send Invitation","Einladung senden"
"Send Invitations","Einladungen senden"
"Send Selected","Ausgewählte senden"
"Sent","Versendet"
"Sign Up At","Anmelden am"
"Signed Up At","Angemeldet am"
"Status","Status"
"Status History","Status-Verlauf"
"Store View","Shop-Ansicht"
"The invitation has been saved.","Die Einladung wurde gespeichert."
"There are no sent invitations yet","Es gibt noch keine versendeten Einladungen."
"This invitation is not valid.","Diese Einladung ist nicht gültig."
"Unable to determine proper website.","Die richtige Webseite kann nicht bestimmt werden."
"Unable to generate encrypted code.","Verschlüsselter Code kann nicht generiert werden."
"Valid on Website","Gültig auf Webseite"
"Website","Webseite"
"Wrong store specified.","Falscher Shop angegeben."
"You cannot send more invitations","Sie können keine weiteren Einladungen versenden"
"Your invitation is not valid. Please contact us at %s.","Ihre Einladung ist nicht gültig. Bitte kontaktieren Sie uns über %s."
"Your invitation is not valid. Please create an account.","Ihre Einladung ist nicht gültig. Bitte erstellen Sie ein Konto."
