"%s & applied","%s & angewendet"
"1","1"
"Access denied","Zugang verweigert"
"Action","Aktion"
"Action Group","Aktion Gruppe"
"Admin Actions Log","Verwaltung Aktionen Protokoll"
"Admin Actions Log Archive","Verwaltung Aktionen Protokoll Archiv"
"Admin Actions Log Archiving","Verwaltung Aktionen Protokoll Archivierung"
"Admin Actions Logging","Verwaltung Aktionen Protokollierung"
"Admin Actions Logs","Verwaltung Aktionen Protokolle"
"Admin Logging","Verwaltung Protokollierung"
"Admin My Account","Mein Konto verwalten"
"Admin Permission Roles","Rollengenehmigungen verwalten"
"Admin Permission Users","Benutzergenehmigungen verwalten"
"Admin Sign In","Anmeldung verwalten"
"Admin User Data","Benutzerdaten verwalten"
"Admin User ID","Benutzer-ID verwalten"
"Admin User Name","Benutzername verwalten"
"Aggregated Information","Gesammelte Informationen"
"All Users","Alle Benutzer"
"Archive","Archiv"
"Archive File","Archivdatei"
"Attributes Updated","Attribute aktualisiert"
"Back","Zurück"
"CMS Blocks","CMS Blocks"
"CMS Pages","CMS Seiten"
"CMS Polls","CMS Umfragen"
"Cache Management","Cache-Verwaltung"
"Cache types: %s ","Cache Typen: %s"
"Catalog Attribute Sets","Katalog Attribut Einstellungen"
"Catalog Attributes","Katalog Attribute"
"Catalog Categories","Katalog Kategorien"
"Catalog Price Rules","Katalog Preisregeln"
"Catalog Product Tax Classes","Katalog Produkt Steuerklassen"
"Catalog Products","Katalog Produkte"
"Catalog Ratings","Katalog Bewertungen"
"Catalog Reviews","Katalog Prüfungen"
"Catalog Search","Katalog Suche"
"Catalog Tags","Katalog Tags"
"Checkout Terms and Conditions","Checkout Geschäftsbedingungen"
"Currency Rates Saved","Gespeicherte Devisenkurse"
"Custom Variables","Individuelle Variable"
"Customer Groups","Kundengruppen"
"Customer Tax Classes","Kunde Steuerklassen"
"Customers","Kunden"
"Daily","Täglich"
"Date","Datum"
"Enabled Actions","Aktivierte Aktionen"
"Error Message","Fehlermeldung"
"Failure","Störung"
"Full Action Name","Vollständiger Name der Aktion"
"Full Details","Vollständige Details"
"Google Base","Google Base"
"Google Sitemap","Google Sitemap"
"IP Address","IP-Adresse"
"IP-Address","IP-Adresse"
"Import/Export Profiles","Profile importieren/ exportieren"
"Index Management","Index Management"
"Item was deleted","Artikel wurde gelöscht"
"Log Archiving Frequency","Protokoll Archivierung Frequenz"
"Log Entry #%d","Protokoll Eintrag #%d"
"Log Entry Details","Protokoll Eintrag Details"
"Log Entry Lifetime, Days","Protokoll Eintrag Speicherdauer, Tage"
"Logging","Protokollierung"
"Manage Currency Rates","Devisenkurse verwalten"
"Manage Design","Design verwalten"
"Manage Store Views","Storeansichten verwalten"
"Manage Stores","Stores verwalten"
"Manage Websites","Websiten verwalten"
"Monthly","Monatlich"
"N/A","k/A"
"New","Neu"
"Newsletter Queue","Newsletter Schlange"
"Newsletter Subscribers","Newsletter Abonnenten"
"Newsletter Templates","Newsletter Vorlagen"
"No changes","Keine Änderungen"
"PayPal Settlement Reports","PayPal Abwicklungsberichte"
"Recurring Profiles","Wiederkehrende Profile"
"Related Changes","Dazugehörige Änderungen"
"Report","Bericht"
"Reports","Berichte"
"Result","Ergebnis"
"Sales Creditmemos","Verkäufe Gutschriften"
"Sales Invoices","Verkäufe Rechnungen"
"Sales Order Status","Verkäufe Bestellstatus"
"Sales Orders","Verkäufe Bestellungen"
"Sales Shipments","Verkäufe Sendungen"
"Shopping Cart Price Rules","Warenkorb Preisregeln"
"Short Details","Kurzdetails"
"Source Data","Ursprungsdaten"
"Success","Erfolg"
"System","System"
"System Backups","System Sicherungskopie"
"System Configuration","System Konfiguration"
"Tax Rates","Steuersätze"
"Tax Rates Export","Steuersätze exportieren"
"Tax Rates Import","Steuersätze importieren"
"Tax Rules","Steuervorschriften"
"Time","Zeit"
"Transactional Emails","Transaktions-E-Mails"
"Urlrewrites","Url Umschreibung"
"User is locked","Benutzer gesperrt"
"Username","Benutzername"
"Value After Change","Wert nach Änderung"
"Value Before Change","Wert vor Änderung"
"View","Anzeigen"
"View Entry","Eintrag anzeigen"
"Webservices API Roles","Webservices API Rollen"
"Webservices API Users","Webdienste API Benutzer"
"Weekly","Wöchentlich"
"Widget Instances","Widget Instanzen"
"X-Forwarded For","X-Weitergeleitet für"
