"Authorization transaction is required to void.","Autorisierungstransaktion erforderlich zur Aufhebung."
"Data Transfer Key","Datenübertragungsschlüssel"
"Debug","Fehler beheben"
"Enabled","Aktiviert"
"Gateway Basic URL","Gateway Basis-URL"
"Gives effect only when payment bridge is active.","Nur wirksam, wenn das Bezahlungsmodul Payment Bridge aktiv ist."
"IPN postback HTTP error: %s","IPN Postback HTTP Fehler: %s"
"IPN postback Validation error: %s","IPN Postback Validierungsfehler: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Es kann keine Erstattungstransaktion erstellt werden, weil die zu verrechnende Transaktion nicht existiert."
"Merchant Code","Händlercode"
"Merchant Key","Händlerschlüssel"
"Payment Bridge","Payment Bridge"
"Payment Bridge Selected","Payment Bridge ausgewählt"
"Payment Bridge authentication data is not present","Payment Bridge Authentifizierungsdaten nicht vorhanden"
"Payment Bridge service error.","Payment Bridge Dienstfehler."
"Payment Bridge service error: %s","Payment Bridge Dienstfehler: %s"
"Payment Method Code is not passed.","Zahlungsmethode Code nicht durchgeführt."
"Unable to communicate with Payment Bridge service.","Die Kommunikation mit dem Payment Bridge Dienst ist unterbrochen."
"Use via Payment Bridge","Nutzung über Payment Bridge"
