"* Required Fields","* Pflichtfelder"
"Address","Adresse"
"Address Information","Addressinformationen"
"Already registered?","Bereits registriert?"
"Back","Zurück"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Mit einem Konto bei unserem Shop geht der Bestell- und Bezahlprozess viel schneller, Sie können mehrere Versandadressen speichern, Ihre Bestellungen ansehen und verfolgen und vieles mehr."
"Checkout as Guest","Checkout als Gast"
"Checkout as a Guest","Als Gast weiter zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast weiter zur Kasse gehen oder registrieren"
"City","Stadt"
"Company","Unternehmen"
"Confirm Password","Passwort bestätigen"
"Continue","Weiter"
"Country","Land"
"Create an Account","Ein Konto anlegen"
"Easy access to your order history and status","Schneller Zugriff auf Ihre Bestellungen und Ihren Status"
"Email Address","E-Mail-Adresse"
"Fast and easy check out","Schnelles und einfaches Bezahlen"
"Fax","Fax"
"Forgot Your Password?","Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"If you have an account with us, log in using your email address.","Wenn Sie ein Konto bei uns haben, dann loggen Sie sich mit Ihrer E-Mail-Adresse ein."
"Loading next step...","Lade nächsten Schritt..."
"Login","Login"
"Login Information","Login-Informationen"
"Login or Create an Account","Einloggen oder Benutzerkonto erstellen"
"New Customers","Neue Kunden"
"Password","Passwort"
"Persist Comparison History","Fortdauernder Verlaufsvergleich"
"Persist Currently Compared Products","Fortdauernder aktueller Produktvergleich"
"Persist Customer Group Membership and Segmentation","Fortdauernde Kundengruppenmitgliedschaft und Segmentierung"
"Persist Recently Ordered Items","Fortdauernd zuletzt bestellte Artikel"
"Persist Recently Viewed Products","Fordauernd zuletzt angesehene Produkte"
"Persist Wishlist","Fortdauernde Wunschliste"
"Personal Information","Persönliche Angaben"
"Please log in below:","Bitte loggen Sie sich hier ein:"
"Please select region, state or province","Bitte Region, Staat oder Provinz auswählen."
"Register","Registrieren"
"Register and save time!","Registrieren und Zeit sparen!"
"Register to Create an Account","Registrieren, um ein Konto zu erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns, um den Einkauf so bequem wie möglich zu gestalten:"
"Registered Customers","Registrierte Kunden"
"Save in address book","Im Adressbuch speichern"
"Select State/Province...","Bundesland auswählen"
"Select a billing address from your address book or enter a new address.","Rechnungsadresse aus Ihrem Adressbuch auswählen oder neue Adresse eingeben"
"Ship to different address","An eine abweichende Adresse versenden"
"Ship to this address","An diese Adresse versenden"
"Sign Up for Newsletter","Melden Sie sich für unseren Newsletter an"
"State/Province","Staat/Bezirk"
"Street Address","Adresse"
"Submit","Übermitteln"
"Telephone","Telefon"
"Zip/Postal Code","Postleitzahl"
