"-- Not Selected --","-- Not Selected --"
"Active","Aktiv"
"Active From","Aktiv Von"
"Active To","Aktiv Bis"
"Add New Rule","Neue Regel hinzufügen"
"Are you sure you want to match this rule now?","Sind Sie sicher, diese Regel jetzt anwenden zu wollen?"
"Automated Email Marketing Reminder Rules","Automatisierte Regel für Marketing-E-Mail-Erinnerung"
"Automated Email Reminder Rules","Automatisierte Regel für E-Mail Erinnerung"
"Cart Line Items","Einkaufswagenartikel"
"Conditions","Bedingungen"
"Coupon","Gutschein"
"Coupon Code","Gutscheincode"
"Coupon Usage Limit","Gutschein-Nutzungsbegrenzung"
"Coupon Usage per Customer","Gutschein-Benutzung pro Kunde"
"Coupons can be auto-generated by reminder promotion rules.","Gutscheine können durch Regeln für Promotions-Erinnerungen automatisch erstellt werden."
"Default Titles and Description","Standardtitel und Beschreibung"
"Delete","Löschen"
"Description","Beschreibung"
"Edit Rule","Regel ändern"
"Edit Rule '%s'","Regel ‘%s’ ändern"
"Email","E-Mail"
"Email Reminder Rule","Regel für E-Mail-Erinnerung"
"Email Send Failure Threshold","Schwellenwert für E-Mail-Versandfehler"
"Email Templates","E-Mail-Vorlagen"
"Emails Failed","E-Mails nicht übermittelt"
"Emails Sent","E-Mails übermittelt"
"Emails and Labels","E-Mails und Kennsätze"
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","E-Mails werden nur für bestimmte Store-Views versendet. E-Mail-Store-View stimmt mit gespeichertem Kunden-Store-View überein."
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","Leerer Wert deaktiviert diese Beschränkung. Wenn nicht beschränkt, Aufhängung durch wiederholte Erinnerungs-E-Mails möglich."
"Enable Reminder Emails","Erinnerungs-E-Mails aktivieren"
"Failed to delete reminder rule.","Löschen der Erinnerungsregel fehlgeschlagen."
"Failed to save reminder rule.","Speichern der Erinnerungsregel fehlgeschlagen."
"Frequency","Häufigkeit"
"General Information","Allgemeine Information"
"ID","Benutzererkennung"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","In wievielen Tagen Erinnerungs-E-Mail wiederholen wenn Regelsbedingung noch zutrifft. Tragen Sie Tage ein, durch Komma getrennt."
"Inactive","Nicht aktiv"
"Interval","Intervall"
"Items Quantity","Artikelmenge"
"Items Subselection","Artikel-Subselektion"
"Last Sent At","Zuletzt versendet Um"
"Matched At","Gefunden Um"
"Matched Customers","Gefundene Kunden"
"Maximum Emails per One Run","Maximale E-Mails pro Einzelablauf"
"Minute of the Hour","Minute der Stunde"
"N/A","Nicht zutreffend"
"New Rule","Neue Regel"
"No","Nein"
"Number of Items","Artikelanzahl"
"Numeric Attribute","Numerische Eigenschaft"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Überschreibt Standardtitel und Beschreibungen. Beachten Sie, dass entsprechende variable Werte gelöscht werden, wenn E-Mail und Vorlage für diesen Store-View nicht angegeben sind."
"Please, specify correct minutes of hour.","Bitte geben Sie korrekte Minuten der Stunde an."
"Product %s","Produkt %s"
"Product Attributes","Produkteigenschaften"
"Promo Section","Promo-Bereich"
"Promotion rule this reminder will advertise.","Regel für Promotion, für die mit dieser Erinnerung geworben wird. "
"Promotions","Promotionen"
"Reminder Email Sender","Erinnerungs-E-Mail Sender"
"Reminder Rules","Regeln für Erinnerungen"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Erinnerungs-E-Mails können auf Einkaufswagen-Preis-Regel mit oder ohne Gutschein zutreffen. Wenn eine Einkaufswagen-Preis-Regel einen automatisch erstellten Gutschein definiert, wird diese Erinnerungs-Regel einen zufälligen Gutscheincode für jeden Kunden erstellen."
"Reminder rule matching error.","Keine passende Regel für Erinnerung gefunden."
"Repeat Schedule","Wiederholungszeitplan"
"Root shopping cart condition should have days value at least 0.","Der ursprüngliche Zustand des Einkaufswagens sollte einen Wert von mindestens 0 Tagen haben."
"Root wishlist condition should have days value at least 1.","Haupt-Wunschzettel-Bedingung soll Tageswert von mindestens 1 haben."
"Rule Description for All Store Views","Regelbeschreibung für Alle Store-Views"
"Rule Information","Regelinformation"
"Rule Name","Regelname"
"Rule Reminder","Regelerinnerung"
"Rule Title for All Store Views","Regeltitel für Alle Store-Views"
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","Regel-Kennsatz und Beschreibungen sind in E-Mail-Vorlagen in Form von Variablen zugreifbar, können pro Store-View definiert werden."
"Rule will work only if at least one condition is specified.","Regel funktioniert nur wenn mindestens eine Bedingung angegeben ist."
"Run Now","Jetzt Starten"
"SKU","Artikelnummer"
"Save","Speichern"
"Save and Continue Edit","Speichern und Ändern fortführen"
"Set this value not less than your cron.php launch period.","Diesen Wert nicht kürzer als Ihre cron.php Startphase einstellen."
"Sharing","Zugriff"
"Shopping Cart","Einkaufswagen"
"Shopping Cart Price Rule","Regel für Einkaufswagen-Preis"
"Start Time","Startzeit"
"Status","Status"
"Store View","Store-View"
"The reminder rule has been deleted.","Die Erinnerungs-Regel wurde gelöscht."
"The reminder rule has been matched.","Die Erinnerungs-Regel wurde gefunden."
"The reminder rule has been saved.","Die Erinnerungs-Regel wurde gespeichert."
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Diese Regel ist der (den) %s automatisierten Erinnerungs-Regel(n) zugewiesen. Durch das Löschen dieser Regel wir die Zuweisung automatisch aufgehoben."
"Thread Active","Teilprozess aktiv"
"Titles and Descriptions Per Store View","Titel und Beschreibungen Pro Store-View"
"Total Amount","Gesamtbetrag"
"Unknown attribute specified","Unbekannte Eigenschaft angegeben"
"Unknown operator specified.","Unbekannter Anwender angegeben."
"Unknown quote total specified","Unbekannte Angebotssumme angegeben"
"Up to %s customers may receive reminder email after this action.","Bis zu %s Kunden können nach dieser Aktion Erinnerungs-E-Mails erhalten."
"Valid range: 0-59 (default 0).","Gültiger Bereich; 0-59 (Standard 0)."
"Virtual Only","Nur Virtuell"
"Website","Webseite"
"Wishlist","Wunschzettel"
"Wrong reminder rule requested.","Falsche Erinnerungs-Regel aufgerufen."
"Yes","Ja"
"base cost","Grundkosten"
"base price","Grundpreis"
"does not have","hat nicht"
"found","gefunden"
"grand total","Endsumme"
"has","hat"
"is","ist"
"is not","ist nicht"
"not found","nicht gefunden"
"quantity","Menge"
"row weight","Zeilengewicht"
"subtotal","Zwischensumme"
"weight","Gewicht"
