"""Cap Reward Points Balance"" should be positive number or empty.","""Cap Bonuspunkte Bilanz"" sollte eine positive Zahl oder leer sein."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimum Bonuspunkte Bilanz"" sollte kleiner oder gleich ""Cap Bonuspunkte Bilanz"" sein."
"""Minimum Reward Points Balance"" should be positive number or empty.","""Minimum Bonuspunkte Bilanz"" sollte eine positive Zahl oder leer sein."
"%s Reward points","%s Prämienpunkte"
"%s Reward points (%s)","%s Prämienpunkte (%s)"
"Actions for Acquiring Reward Points by Customers","Aktionen zum Erwerb von Prämienpunkten durch Kunden"
"Add New Rate","Neuen Kurs hinzufügen"
"Add Reward Points","Prämienpunkte hinzufügen"
"Added for spent money according to reward exchange rates.","Für ausgegebenes Geld gemäß den Prämien-Wechselkursen hinzugefügt."
"After approval by administrator.","Nach Freigabe durch Administrator."
"All Customer Groups","Alle Kundengruppen"
"All Websites","Alle Webseiten"
"Amount","Betrag"
"Amount Balance","Guthaben-Betrag"
"Applies only to registered customers, may vary when logged in.","Gilt nur für registrierte Kunden, kann bei angemeldetem Status variieren."
"Balance","Guthaben"
"Balance History","Guthaben-Verlauf"
"Balance Update Email","Guthaben-Aktualisierungs-E-Mail"
"Balance is capped at %s.","Guthaben ist auf %s begrenzt."
"Balance limitations:","Guthaben-Begrenzungen:"
"Can Spend Reward Points","Ihre Bonuspunkte ausgeben"
"Cannot save Rate.","Kurs kann nicht gespeichert werden."
"Cap Reward Points Balance At","Prämienpunkte-Guthaben beschränken auf"
"Checkout now and earn %s for this order.","Jetzt zur Kasse gehen und %s für diese Bestellung verdienen."
"Comment","Kommentar"
"Converting Invitation to Customer","Umwandlung von Einladung in Kunde"
"Converting Invitation to Order","Umwandlung von Einladung in Bestellung"
"Created At","Erstellt am"
"Currency Amount","Währungsbetrag"
"Currency to Points","Währung in Punkte"
"Current exchange rates:","Aktuelle Wechselkurse:"
"Customer Group","Kundengruppe"
"Customer earned %s for the order.","Kunde hat %s für diese Bestellung verdient."
"Customer earned promotion extra %s.","Kunde hat Promotions-Zugabe %s verdient."
"Customers","Kunden"
"Customers May See Reward Points History","Kunden dürfen den Prämienpunkte-Verlauf sehen"
"Date","Datum"
"Delete Orphan Points","Verwaiste Punkte löschen"
"Direction","Richtung"
"Dynamic","Dynamisch"
"Each","Jeder"
"Each %s can be redeemed for %s.","Jeder %s kann für %s eingelöst werden."
"Each %s spent will earn %s.","Jeder ausgegebene %s bringt %s ein."
"Each earned reward points record expires in %s days.","Jede Aufzeichnung über verdiente Prämienpunkte verfällt in %s Tagen."
"Earn %s for purchases by your invitees.","Verdienen Sie %s für Einkäufe Ihrer Eingeladenen."
"Earned points for order #%s.","Verdiente Punkte für Bestellung #%s."
"Earned promotion extra points from order #%s.","Verdiente zusätzliche Promotions-Punkte für Bestellung #%s."
"Edit Reward Exchange Rate","Prämien-Wechselkurs bearbeiten"
"Email Notification Settings","E-Mail-Benachrichtigungs-Einstellungen"
"Email Sender","E-Mail-Absender"
"Empty value disables this limitation.","Ein leerer Wert deaktiviert diese Beschränkung."
"Empty value or value greater than expiration lifetime disables warning notification.","Ein leerer Wert oder ein Wert, der größer ist als die Verfallszeit, deaktiviert die Warnungs-Benachrichtigung."
"Enable Reward Points Functionality","Prämienpunkte-Funktion aktivieren"
"Enable Reward Points Functionality on Frontend","Aktivieren Sie die Bonuspunkte Funktionalität am Frontende"
"Enter a negative number to subtract from balance.","Negative Zahl eingeben, um etwas vom Guthaben abzuziehen."
"Expired reward.","Verfallene Prämie."
"Expires At","Verfällt am"
"Expires on %s","Verfällt am %s"
"Expiry Warning Before (days)","Vorherige Verfall-Warnung (Tage)"
"Failed to unsubscribe.","Abmelden fehlgeschlagen."
"First","Erster"
"For submitting a product review.","Für die Einreichung einer Produktbewertung."
"For submitting tag (%s).","Für die Einreichung eines Tags (%s)."
