"""%s"" exceeds the allowed length.","""%s"" überschreitet die vorgeschriebene Länge."
"""%s"" invalid type entered.","Ungültiger ""%s""-Typ eingegeben."
"""%s"" is not a valid email address.","""%s"" ist eine ungültige E-Mail-Adresse."
"""%s"" is not a valid hostname.","""%s"" ist eine ungültiger Hostname."
"#","#"
"%s RMA (s) have been closed.","%s RMA(s) wurde(n) geschlossen."
"%s RMA(s) cannot be closed","%s RMA(s) kann/können nicht geschlossen werden."
"%s for item %s cannot be empty.","%s für den Artikel %s darf nicht leer sein."
"About This Order:","Über diese Bestellung:"
"Action","Aktion"
"Add","Hinzufügen"
"Add Details","Details hinzufügen"
"Add Item To Return","Artikel zur Rücksendung hinzufügen"
"Add New Attribute","Neues Merkmal hinzufügen"
"Add Products","Produkte hinzufügen"
"Add Selected Product(s) to RMA","Ausgewählte(s) Produkt(e) zu RMA hinzufügen"
"All Items","Alle Artikel"
"An error occurred while deleting the RMA item attribute.","Beim Löschen des RMA-Artikelmerkmals ist ein Fehler aufgetreten."
"An error occurred while saving the RMA item attribute.","Beim Speichern des RMA-Artikelmerkmals ist ein Fehler aufgetreten."
"Answers","Antworten"
"Approved","Genehmigt"
"Approved Qty","Genehmigte Stckz."
"Are you sure you want to cancel this RMA?","Wollen Sie diese RMA wirklich abbrechen?"
"Are you sure you want to delete this tracking information?","Wollen Sie diese Tracking-Informationen wirklich löschen?"
"Attribute Information","Merkmal-Informationen"
"Attribute is no longer exists.","Das Attribut existiert nicht mehr."
"Attribute with the same code already exists","Ein Attribut mit dem gleichen Code existiert bereits."
"Authorized","Authorisiert"
"Authorized Qty","Authorisierte Menge"
"Back","Zurück"
"Cancel","Abbrechen"
"Cannot add RMA history.","RMA-Verlauf kann nicht hinzugefügt werden."
"Cannot add label.","Label kann nicht hinzugefügt werden."
"Cannot add message.","Mitteilung kann nicht hinzugefügt werden."
"Cannot add tracking number.","Trackingnummer kann nicht hinzugefügt werden."
"Cannot create New Return, try again later","Neue Retoure kann nicht hinzugefügt werden, bitte später nochmal versuchen"
"Cannot create rma for order #%s.","RMA kann für die Bestellung #%s nicht erstellt werden."
"Cannot delete label.","Label kann nicht gelöscht werden."
"Cannot delete tracking number.","Trackingnummer kann nicht gelöscht werden."
"Cannot display available shipping methods.","Verfügbare Liefermethoden können nicht angezeigt werden."
"Cannot display item attributes.","Produktattribute können nicht angezeigt werden."
"Cannot get product list.","Produktliste kann nicht aufgerufen werden."
"Cannot initialize rma for adding tracking number.","RMA kann nicht intialisiert werden, um die Trackingnummer hinzuzufügen."
"Cannot initialize rma for delete tracking number.","RMA kann nicht initialisiert werden, um die Trackingnummer zu löschen."
"Cannot load track with retrieving identifier.","Der Track kann mit Hilfe des abrufenden Bezeichners nicht geladen werden."
"Carrier","Carrier"
"City","Stadt"
"Click to change shipping method","Klicken Sie hier, um die Liefermethode zu löschen"
"Close","Schließen"
"Close Window","Fenster schließen"
"Closed","Geschlossen"
"Comma separated","Durch Komma getrennt"
"Comma-separated.","Durch Komma getrennt"
"Comment Text","Kommentartext"
"Comments","Kommentare"
"Condition","Zustand"
"Contact Email Address","Kontakt-E-Mailadresse"
"Contact Name","Kontaktname"
"Country","Land"
"Create New RMA","Neue RMA erstellen"
"Create New RMA for %s","Neue RMA für %s erstellen"
"Create New RMA for %s in %s","Neue RMA erstellen für %s in %s"
"Create New Return","Neue Retoure erstellen"
"Create RMA","RMA erstellen"
"Create Shipping Label","Versandlabel erstellen"
"Customer","Kunde"
"Customer My Account Order Returns View","Kunde Mein Konto Versandkosten anzeigen"
"Customer My Account Return View","Kunde Mein Konto Rückzahlung anzeigen"
"Customer My Return Create","Kunde Meine Rückzahlung erstellen"
"Customer My Returns History","Kunde Meine Rückzahlungen Verlauf"
"Customer Name","Kundenname"
"Customer Service","Kundenservice"
"Customs Value","Zollwert"
"Date","Datum"
"Date Requested","Datum benötigt"
"Delete","Löschen"
"Delete Attribute","Attribut löschen"
"Delete Line","Linie entfernen"
"Denied","Abgelehnt"
"Details","Details"
"Dropdown","Dropdown"
"Edit RMA Item Attribute","RMA Artikeleigenschaften bearbeiten"
"Edit RMA Item Attribute ""%s""","RMA Artikeleigenschaft ""%s"" bearbeiten"
"Email Address","E-Mail-Adresse"
"Email RMA Confirmation","E-Mail-RMA-Bestätigung"
"Enable RMA on Frontend","RMA im Frontend aktivieren"
"Enable RMA on Product Level","RMA auf der Produktebene aktivieren"
"Enabled","Aktiviert"
"Enabled for RMA","Für RMA aktiviert"
"Enabled when authorized items require a new shipment","Aktiviert, wenn autorisierte Artikel einen neuen Versand erfordern"
"Enter valid Tracking Number.","Gültige Trackingnummer eingeben"
"Enter valid message.","Gültige Nachricht eingeben."
"Failed to save RMA.","Speichern der RMA fehlgeschlagen."
"File Extensions","Dateierweiterungen"
"Forms to Use In","Formulare für die Nutzung"
"Frontend Properties","Frontend-Eigenschaften"
"General Information","Allgemeine Informationen"
"Guest Order Create Return","Gastbestellung Rückgabe"
"Guest Order Returns View","Gastbestellung Retouren ansehen"
"Guest Order View Return","Gastbestellung-Ansicht Retouren"
"Height","Höhe"
"Hide Details","Details ausblenden"
"ID","ID"
"Image File","Bilddatei"
"Individual Items","Individuelle Artikel"
"Input Type","Input Typ"
"Input Validation","Input Bestätigung"
"Input/Output Filter","Input/Output Filter"
"Invalid RMA.","Ungültige RMA."
"Invalid carrier: %s.","Ungültiger Spediteur: %s."
"Invalid order.","Ungültige Bestellung."
"It isn\'t valid order","Das ist eine/keine gültige Bestellung"
"Item","Artikel"
"Item Condition","Artikelzustand"
"Items","Artikel"
"Items Return Requested For","Artikelrückgabe gefordert für"
"Items in the Package","Artikel in der Sendung"
"Leave Comment","Bemerkungen"
"Length","Länge"
"Lines Count","Linienzählung"
"Manage Label / Options","Bearbeitung Label / Optionen"
"Manage RMA","Bearbeitung RMA"
"Manage RMA Item Attribute","Bearbeitung RMA Artikeleigenschaft"
"Manage RMA Item Attributes","Bearbeitung RMA Artikeleigenschaften"
"Manage RMA Items Attributes","Bearbeitung RMA Artikeleigenschaften"
"Maximum File Size (bytes)","Maximale Datengröße (Bytes)"
"Maximum Image Height (px)","Maximale Bildhöhe (Px)"
"Maximum Image Width (px)","Maximale Bildbreite (px)"
"Maximum Text Length","Maximale Textlänge"
"Minimum Text Length","Minimale Textlänge"
"My Returns","Meine Retouren"
"New Attribute","Neues Attribut"
"New RMA","Neues RMA"
"New RMA Item Attribute","Neues RMA Element-Attribut"
"New RMA Request","Neue RMA-Anfrage"
"New RMA for Guest","Neue RMA für Gast"
"New Return for Order %s","Neue Rücksendung für Bestellung %s"
"No","Nein"
"No authorized items or allowed shipping methods","Keine zugelassenen Artikel oder keine zugelassene Versandmethode."
"No detail for number ""%s""","Keine Details zur Nummer ""%s"""
"No items for bundle product.","Keine Artikel für Bündelprodukt."
"None","Keins"
"Not Notified","Nicht benachrichtigt"
"Notified","Benachrichtigt"
"Notify Customer by Email","Kunde per E-Mail benachrichtigen"
"Number","Nummer"
"OK","OK"
"Only one RMA is available for printing","Nur eine Rücksendenummer ist zum Drucken verfügbar"
"Order #","Bestell-Nr."
"Order # %s","Bestellung # %s"
"Order #%s - %s","Bestell-Nr.%s - %s"
"Order Date","Bestelldatum"
"Order Date: ","Bestelldatum"
"Order Date: %s","Bestelldatum: %s"
"Order ID","Bestellungsidentifizierung"
"Order Shipping Address","Lieferadresse anweisen"
"Packages","Verpackungen"
"Partially Approved","Teilweise genehmigt"
"Partially Authorized","Teilweise bewilligt"
"Partially Rejected","Teilweise abgelehnt"
"Pending","ausstehend / anhängig"
"Please Select Order","Bitte Bestellung auswählen"
"Please Select Products to Add","Bitte hinzuzufügende Produkte auswählen"
"Please select one of the options.","Bitte eine der Wahlmöglichkeiten wählen."
"Please wait, loading...","Bitte warten, lade...."
"Price","Preis"
"Print","Drucken"
"Print Shipping Label","Versandetikett drucken"
"Processed and Closed","Bearbeitet und geschlossen"
"Product","Produkt"
"Product Name","Produktbezeichnung"
"Properties","Eigenschaften"
"Qty","Menge"
"Qty:","Menge:"
"Quantity To Return","Menge der Retouren"
"Quantity of %s is greater than you can return.","Menge der %s übersteigt die Menge der erlaubten Retouren."
"Questions","Fragen"
"RMA","RMA"
"RMA #","RMA #"
"RMA Admin Comments","RMA Admin-Kommentare"
"RMA Admin Comments for Guest","RMA Admin-Kommentare für Gäste"
"RMA Authorization","RMA Autorisation"
"RMA Authorization Email Sender","RMA Autorisation Email-Sender"
"RMA Authorization Email Template","RMA Autorisation Email-Template"
"RMA Authorization Email Template for Guest","RMA Autorisation Email-Template für Gäste"
"RMA Authorization for Guest","RMA Autorisation für Gäste"
"RMA Comment Email Recipient","RMA Kommentar Email-Empfänger"
"RMA Comment Email Sender","RMA Kommentar Email-Sender"
"RMA Comment Email Template","RMA Kommentar Email-Template"
"RMA Comment Email Template for Guest","RMA Kommentar Email-Template für Gäste"
"RMA Confirmation","RMA Bestätigung"
"RMA Customer Comments","RMA Kundenkommentare"
"RMA Email Sender","RMA Email-Sender"
"RMA Email Template","RMA Email-Template"
"RMA Email Template for Guest","RMA Email-Template für Gäste"
"RMA History","RMA Verlauf"
"RMA Information","RMA Information"
"RMA Item Details","RMA Artikeldetails"
"RMA Items","RMA Artikel"
"RMA Items Requested for","RMA Artikelanforderung für"
"RMA Settings","RMA Einstellungen"
"Reason to Return","Rückgabegrund"
"Rejected","Abgelehnt"
"Remaining Qty","Verbleibende Menge"
"Remaining Qty:","Verbleibende Menge:"
"Remove","Löschen"
"Request Details","Einzelheiten anfordern"
"Request Information","Information anfordern"
"Request Qty","Angeforderte Menge"
"Requested Qty","Angeforderte Stückzahl"
"Resolution","Lösung"
"Return","Retoure / Rücksendung"
"Return #","Rücksendenummer"
"Return #%s has been submitted successfully","Rückgabe #%s wurde erfolgreich abgeschickt"
"Return Address","Rücksendeadresse"
"Return Address:","Rücksendeadresse:"
"Return Date: ","Rücksendedatum:"
