"%s order(s) have been archived.","%s Bestellung(en) wurden archiviert."
"%s order(s) have been canceled.","%s Bestellung(en) wurden storniert."
"%s order(s) have been put on hold.","%s Bestellung(en) wurden zurückgestellt."
"%s order(s) have been released from holding status.","%s Bestellung(en) wurden aus der Wartestellung freigegeben."
"%s order(s) have been removed from archive.","%s Bestellung(en) wurden aus dem Archiv entfernt."
"Archive","Archiv"
"Archive Orders Purchased","Archiv Abgeschlossene Bestellungen"
"Column not found","Spalte nicht gefunden"
"Creditmemos","Gutschriften"
"Creditmemos Archive","Gutschriften Archiv"
"Enable Archiving","Archivierung zulassen"
"Go to Archive (%s orders)","Zum Archiv (%s Bestellungen)"
"Invoices","Rechnungen"
"Invoices Archive","Rechnungen Archiv"
"Move to Archive","Ins Archiv verschieben"
"Move to Order Managment","Ins Bestellmanagement verschieben"
"Move to Orders Management","Ins Bestellmanagement verschieben"
"Order Statuses to be Archive","Bestellstatusmeldungen für Archiv"
"Orders","Bestellungen"
"Orders Archive","Bestellungen Archiv"
"Orders, Invoices, Shipments, Credit Memos Archiving","Bestellungen, Rechnungen, Sendungen, Gutschriften Archivierung"
"Please specify order id to be archived.","Bitte Bestellnummer der zur archivierenden Bestellung angeben."
"Please specify order id to be removed from archive.","Bitte Bestellnummer angeben, die aus dem Archiv gelöscht werden soll."
"Positioning column not found","Positionsspalte nicht gefunden"
"Restore from Archive","Wiederherstellen aus Archiv"
"Sales Archive","Verkäufe Archiv"
"Selected order(s) cannot be archived.","Die ausgewählte(n) Bestellung(en) können nicht archiviert werden."
"Shipments","Sendungen"
"Shipments Archive","Sendungen Archiv"
"Table not found","Verzeichnis nicht gefunden"
"The order has been archived.","Die Bestellung wurde archiviert."
"The order has been removed from the archive.","Die Bestellung wurde aus dem Archiv entfernt."
"There are %s orders in archive. All of them will be moved to regular table after archive is disabled.","Es sind %s Bestellungen im Archiv. Alle werden in ein reguläres Verzeichnis verschoben, sobald das Archiv deaktiviert wurde."
