"Action","Aktion"
"Add New Search Term","Neuen Suchbegriff hinzufügen"
"Display in Suggested Terms","In vorgeschlagenen Begriffen anzeigen"
"Edit","Bearbeiten"
"Enable Search Recommendations","Suchempfehlungen aktivieren"
"Enable Search Suggestions","Suchvorschläge aktivieren"
"Enable Solr Engine for Catalog Navigation","Solr Engine für Katalognavigation aktivieren"
"ID","ID"
"No","Nr."
"Note: Enabling this option affects the perfomance.","Hinweis: Das Aktivieren dieser Option wirkt sich auf die Leistung aus."
"Number of Uses","Anzahl der Einsätze"
"Redirect","Weiterleiten"
"Related Search Terms","Verwandte Suchbegriffe"
"Results","Ergebnisse"
"Search Engine","Suchmaschine"
"Search Query","Suchanfrage"
"Search Recommendations Count","Anzahl der Suchempfehlungen"
"Search Suggestions Count","Anzahl der Suchvorschläge"
"Show Results Count for Each Recommendation","Ergebniszahl für jede Empfehlung anzeigen"
"Show Results Count for Each Suggestion","Ergebniszahl für jeden Vorschlag anzeigen"
"Solr Server Hostname","Solr Server Hostname"
"Solr Server Password","Solr Server Passwort"
"Solr Server Path","Solr Server Pfad"
"Solr Server Port","Solr Server Port"
"Solr Server Timeout","Solr Server Timeout"
"Solr Server Username","Solr Server Benutzername"
"Store","Speichern"
"Synonym For","Synonym für"
"Test Connection","Testverbindung"
"Unable to perform search because of search engine missed configuration.","Suche konnte nicht durchgeführt werden, da die Suchmaschine nicht konfiguriert ist."
"Without starting and trailing slashes.","Ohne Start- und Trailing-Slahes."
"Yes","Ja"
"Enter search keyword","Tragen Sie das Schlüsselsuchwort ein"
