"(Staging Copy)","(Staging Kopie)"
"Accessible","Erreichbar"
"Action","Aktion"
"Action Before Resetting","Aktion vor dem Zurücksetzen"
"Add","Hinzufügen"
"Add Staging Website","Staging-Website hinzufügen"
"Add new store view map","Neue Store-Ansicht Übersicht hinzufügen"
"All automatically created entry points will reside in this folder. The folder should be writeable.","Alle automatisch erzeugten Zugangspunkte werden in diesem Ordner abgelegt. Dieser Ordner sollte beschreibbar sein."
"All backup items are outdated. The backup is read-only.","Alle Artikel der Sicherungskopie sind veraltet. Die Sicherungskopie ist schreibgeschützt."
"An error occurred while adding products that must be unlinked on merge with staging website.","Beim Hinzufügen von Produkten ist ein Fehler aufgetreten, der bei der Zusammenführung der Vorführ-Website rückgängig gemacht werden muss."
"An error occurred while merging. Please review log and try again.","Bei der Zusammenführung ist ein Fehler aufgetreten. Überprüfen Sie bitte das Protokoll und versuchen Sie es erneut."
"An error occurred while performing rollback. Please review the log and try again.","Bei der Durchführung des Rollbacks ist ein Fehler aufgetreten. Bitte überprüfen Sie das Protokoll und versuchen Sie es später noch einmal."
"An error occurred while removing products that must be unlinked on merge with staging website.","Beim Entfernen von Produkten ist ein Fehler aufgetreten, der bei der Zusammenführung der Vorführ-Website rückgängig gemacht werden muss."
"An error occurred while saving staging data. Please review log and try again.","Beim Speichern der Daten ist ein Fehler aufgetreten. Bitte überprüfen Sie den Log und versuchen Sie es erneut"
"An error occurred while validating data. Please review the log and try again.","Beim Bestätigen der Daten ist ein Fehler aufgetreten. Überprüfen Sie bitte das Protokoll und versuchen Sie es erneut."
"An exception occurred while performing an SQL query: %s. ","Beim Ausführen einer SQL-Abfrage ist ein Ausnahmefehler aufgetreten: %s."
"An exception occurred while performing an SQL query: %s. Query: %s","Bei der Durchführung einer SQL Abfrage ist ein Fehler aufgetreten: %s. Abfrage: %s"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun möchten?"
"Are you sure?","Sind Sie sicher?"
"Automatically Create Entry Points for Staging Websites","Automatisch Zugangspunkte für Staging-Webseiten generieren"
"Back","Zurück"
"Backup","Backup"
"Backup General Info","Backup Allgemeine Informationen"
"Backup Main Information","Backup Hauptinformationen"
"Backup Name","Backup Name"
"Backup version: ","Backup Version:"
"Backups","Backups"
"Base URL","Basis-URL"
"Before creating a staging website, please make sure that the base URLs of the source website are properly defined.","Bevor Sie eine darstellende Website erstellen, überprüfen Sie bitte die richtige Festlegung der Basis-URLs der Quell-Website."
"Bundles","Bundles"
"CMS Blocks","CMS Blocks"
"CMS Pages","CMS Seiten"
"Cannot perform create operation because reindexing process or another staging operation is running.","Operation Erstellen kann wegen einer Neuindizierung oder einer anderen laufenden Operation nicht ausgeführt werden."
"Cannot perform rollback operation because reindexing process or another staging operation is running.","Kann Befehl """"Rollback"""" nicht ausführen, da eine Neuindexierung oder ein sonstiger Staging-Prozess läuft."
"Cannot perform the create operation because reindexing process or another staging operation is running.","Die Operation Erstellen kann wegen einer Neuindizierung oder einer anderen laufenden Operation nicht ausgeführt werden."
"Cannot perform the merge operation because reindexing process or another staging operation is running.","Die Zusammenführung kann wegen einer Neuindizierung oder einer anderen laufenden Operation nicht ausgeführt werden."
"Cannot run the staging website.","Staging-Website kann nicht gestartet werden."
"Catalog Categories","Katalog Kategorien"
"Catalog Inventory","Katalog Inventar"
"Catalog Price Rules","Katalog Preisregeln"
"Catalog Search","Katalog Suche"
"Choose Store View","Store-Ansicht auswählen"
"Close Entire Frontend","Gesamtes Frontend schließen"
"Close Website During Merge or Rollback","Website während Zusammenführung oder Rollback schließen"
"Close only relevant websites","Nur relevante Webseiten schließen"
"Completed","Abschlossen"
"Content","Inhalt"
"Content Staging","Inhalt Staging"
"Continue","Fortsetzen"
"Could not remove the backup: #%s","Backup: #%s konnte nicht entfernt werden"
"Create","Erstellen"
"Create New Staging Store View","Neue Staging-Storeansicht erstellen"
"Create New Staging Website","Neue Staging-Website erstellen"
"Create a backup","Backup erstellen"
"Created At","Erstellt in"
"Created Date","Erstellt am (Datum)"
"Current: ","Aktuell:"
"Customers","Kunden"
"Delete","Löschen"
"Details","Details"
"Downloadable","Herunterladbar"
"Edit","Bearbeiten"
"Entry point will be built using the staging website code.","Zugangspunkt wird mithilfe des Codes der Staging-Website erstellt."
"Export to:","Exportieren nach:"
"Failed to unschedule merge.","Geplante Zusammenführung konnte nicht deaktiviert werden."
"Folder Name for Entry Points","Ordnername für Zugangspunkte"
"From","Von"
"Frontend Restriction","Frontend Restriktion"
"General Information","Allgemeine Informationen"
"Gift Cards","Geschenkkarten"
"HTTP Login","HTTP Anmeldung"
"HTTP Password","HTTP Passwort"
"ID","ID"
"If no store view mapping is specified, only website-related information will be merged.","Wenn kein Store View Mapping angegeben ist, werden nur Website-bezogene Informationen zusammengeführt."
"Incorrect ID","Falsche ID"
"Instant Merger","Sofort zusammenführen"
"Item model ""%s"" is not under backup","Artikel-Modell ""%s"" ist nicht im Backup"
"Items","Artikel"
"Items to Copy","Zu kopierende Artikel"
"Landing Page","Zielseite"
"Latest Event","Letztes Event"
"Log","Protokoll"
"Log Entry","Protokolleintrag"
"Logged At","Gespeichert in"
"Master Store Code","Master Store Code"
"Master Store ID","Master Store ID"
"Master Website","Master Website"
"Master Website Code","Master Website Code"
"Master Website ID","Master Website ID"
"Merge","Zusammenführen"
"Merge Now","Jetzt zusammenführen"
"Merge...","Zusammenführen..."
"Merger Scheduling","Zusammenführung planen"
"Merger Unscheduling","Geplante Zusammenführung deaktivieren"
"Merging","Führe zusammen"
"New Staging","Neues Staging"
"No","Nein"
"No information","Keine Information"
"No information available.","Keine Information verfügbar"
"Not accessible","Nicht erreichbar"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Bitte stellen Sie sicher, dass die Basis URL mit '/' (slash) endet, z.B. http://yourdomain/magento/"
"Please make sure that Base URL ends with '/' (slash), e.g. https://yourdomain/magento/","Bitte stellen Sie sicher, dass die Basis-URL mit '/' (slash) endet, z.B. https://yourdomain/magento/"
"Please make sure that folder %s exists and is writeable.","Bitte stellen Sie sicher, dass der Ordner %s existiert und nicht schreibgeschützt ist."
"Please, select a store view","Bitte eine Store-Ansicht auswählen"
"Polls","Umfragen"
"Processing","Verarbeitung"
"Ready","Fertig"
"Remove","Entfernen"
"Require HTTP Authentication","HTTP-Authentifizierung erforderlich"
"Reset","Zurücksetzen"
"Reset Status","Status zurücksetzen"
"Result","Ergebnis"
"Rollback","Rollback"
"Sales","Verkäufe"
"Save","Speichern"
"Schedule Date","Geplanter Termin"
"Schedule Merge","Zusammenführung planen"
"Scheduled Merger","Geplante Zusammenführung"
"Secure Base URL","Sichere Basis-URL"
"Secure Base Url","Sichere Basis URL"
"Select Items to be Merged","Artikel für Zusammenführung"
"Select Original Website Content to be Copied to the Staging Website","Wählen Sie den Originalinhalt der Website aus, der auf die Staging-Website kopiert werden soll"
"Select Original Website Store Views to be Copied to Staging Website","Wählen Sie die Store-Ansichten der Originalwebsite aus, die auf die Staging-Website kopiert werden sollen"
"Select website to map","Website auswählen, die abgebildet werden soll"
"Set Staging Merge Date","Staging Daten für Zusammenführung auswählen"
"Settings","Einstellungen"
"Shopping Cart Price Rules","Warenkorb Preisregeln"
"Source Website","Quellwebsite"
"Staging Merge Schedule Configuration","Staging Zusammenführung Plan Konfiguration"
"Staging Operations Log","Staging-Vorgänge Protokoll"
"Staging Store Code","Staging Store Code"
"Staging Store Name","Staging Store Name"
"Staging Store: ","Staging Store:"
"Staging Table ""%s"" and Master Tables ""%s"" has different fields","Vorführ-Tabelle ""% s"" und Master-Tabellen ""% s"" haben verschiedene Felder"
"Staging Table %s does not exist","Staging Verzeichnis %s existiert nicht"
"Staging Type","Staging Typ"
"Staging Website","Staging Website"
"Staging Website - Merge Configuration","Staging Website - Konfiguration zusammenführen"
"Staging Website Code","Staging Website Code"
"Staging Website Creation","Staging Website Erstellung"
"Staging Website Id","Staging Website Id"
"Staging Website Information","Staging Website Information"
"Staging Website Name","Staging Website Name"
"Staging Website Settings","Staging Website Einstellungen"
"Staging Website: ","Staging Website:"
"Staging Websites","Staging Websites"
"Staging has been unscheduled.","Das geplante Staging wurde rückgängig gemacht."
"Started","Gestartet"
"Status","Status"
"Status Reset","Status zurücksetzen"
"Store View Mapping","Store-Ansicht Abbildung"
"Store Views to Copy","Zu kopierende Store-Ansichten"
"Store: ","Store:"
"System","System"
"System Configuration","System Konfiguration"
"Table Prefix","Verzeichnis Präfix"
"Tags","Tags"
"Target","Ziel"
"Terms And Conditions","Allgemeine Geschäftsbedingungen"
"The base URL for this website will be created automatically.","Die Basis-URL für diese Webseite wird automatisch erstellt."
"The master website has been restored.","Die Master-Website wurde wiederhergestellt."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Das Passwort muss mindestens sechsstellig sein. Führende oder nachgestellte Leerzeichen werden ignoriert."
"The staging Website ""%s"" cannot be merged at this moment.","Die Vorführ-Website ""% s"" kann in diesem Moment nicht zusammengeführt werden."
"The staging website has been created.","Die Vorführ-Website wurde erstellt."
"The staging website has been merged.","Die Vorführ-Website wurde zusammengeführt."
"The staging website has been saved.","Die Vorführ-Website wurde gespeichert."
"The staging website has been scheduled to merge.","Die Vorführ-Website wurde für die Zusammenführung eingeplant."
"There are no items selected for rollback.","Es wurden keine Artikel für das Rollback ausgewählt."
"There are no store views for copying.","Es gibt keine Store-Ansichten zum Kopieren."
"There are no store views to be copied.","Es gibt keine Store-Ansichten zum Kopieren."
"There is wrong value in configuration for entry points folder name.","Es ist ein falscher Wert in der Konfiguration für den Ordnernamen des Zugangspunktes."
"There was no mapping defined for store views.","Für Store-Ansichten wurde keine Abbildung definiert."
"This backup is read-only, because a merge or a rollback is in progress.","Dieses Backup ist schreibgeschützt, da gerade eine Zusammenführung oder ein Rollback läuft."
"To","An"
"To create entry points, the folder %s must be writeable.","Um Einstiegspunkte zu erstellen, muss der Ordner %s beschreibbar sein."
"URL","URL"
"URL Rewrites","URL Rewrites"
"Unschedule","Deaktivieren"
"Unschedule Merge","Geplante Zusammenführung deaktivieren"
"Updated At","Aktualisiert am"
"Use All","Alle verwenden"
"Visitor Logs","Besucherprotokolle"
"Website","Website"
"Website From","Website von"
"Website Mapping","Website Abbildung"
"Website Name","Website Name"
"Website To","Website für"
"Website code is not defined.","Website Code ist nicht definiert."
"Website: ","Website:"
"Websites Backup Information","Websites Backup Information"
"Wishlist","Wunschliste"
"Wrong item resource adapter model.","Falsche Artikelquelle Adapter-Modell."
"[deleted]","[gelöscht]"
"available","verfügbar"
"click here","hier klicken"
"ok","ok"
"or","oder"
"unknown item","unbekannter Artikel"
"version mismatch","version stimmt nicht überein"
