"Active","Aktiv"
"Add Rule","Regel hinzufügen"
"Add to Cart","Zum Einkaufswagen hinzufügen"
"Add to Compare","Zum Vergleich hinzufügen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"An error occurred while saving Product Rule.","Ein Fehler ist beim Speichern der Produktregel aufgetreten."
"Applies To","Anwendbar auf"
"Apply To","Anwenden auf"
"Based on your selection, you may be interested in the following items:","Aufgrund Ihrer Auswahl könnten Sie sich für folgende Artikel interessieren:"
"Both Selected and Rule-Based","Sowohl ausgewählt als auch regelbasiert"
"Catalog","Katalog"
"Check items to add to the cart or","Artikel markieren um sie zum Einkaufswagen hinzuzufügen oder"
"Close","Schliessen"
"Conditions Combination","Kombination Bedingungen"
"Constant Value","Konstanter Wert"
"Cross-sells","Cross Sells"
"Date Ends","Datum endet"
"Date Starts","Datum beginnt"
"Delete Rule","Regel löschen"
"Edit Rule '%s'","Regel '%s' ändern"
"End Date should be greater than Start Date","Enddatum sollte grösser sein als Anfangsdatum"
"From Date","Von Datum"
"General Rule Information","Allgemeine Regelinformation"
"ID","Benutzererkennung"
"Inactive","Nicht aktiv"
"Invalid product list type","Unzulässiger Produktlistentyp"
"Manage Product Rules","Produktregeln verwalten"
"Matched Product %s","Zugeordnetes Produkt %s"
"Maximum Number of Products in Cross-Sell Product List","Maximale Anzahl von Produkten der Cross Sell Produktliste"
"Maximum Number of Products in Related Products List","Maximale Anzahl von Produkten der Liste Zugehörige Produkte"
"Maximum Number of Products in Upsell Product List","Maximale Anzahl von Produkten der Up Sell Produktliste"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maximale Anzahl von Produkten die dieser Regel zugeordnet werden können.  Höchstgrenze bei 20."
"New Rule","Neue Regel"
"Please choose a condition to add...","Bitte wählen Sie eine Bedingung zum Hinzufügen..."
"Please define product data object","Bitte definieren Sie das Produktdatenobjekt"
"Position Behavior","Positionsverhalten"
"Price (percentage)","Preis (Prozentsatz)"
"Priority","Priorität"
"Product %s%s%s%s%s%s%s","Produkt %s%s%s%s%s%s%s"
"Product Attributes","Produkteigenschaften"
"Product Match Conditions (leave blank for matching all products)","Bedingungen für Produktzuordnung (freilassen um alle Produkte zuzuordnen)"
"Product Result Conditions (leave blank for matching all products)","Bedingungen für Produktergebnis (freilassen um alle Produkte zuzuordnen)"
"Product Rule Information","Produktregel-Information"
"Product Special","Produkt Spezial"
"Product list type identifier does not defined","Produktlistentyp-Kennwort nicht definiert"
"Products to Display","Produkte zur Ansicht"
"Products to Match","Produkte zur Zuordnung"
"Related Products","Zugehörige Produkte"
"Result Limit","Ergebnis-Grenzwert"
"Rule Information","Regelinformation"
"Rule Name","Regelbezeichnung"
"Rule-Based Only","Nur regelbasiert"
"Rule-Based Product Relations","Regelbasierte Produktbeziehungen"
"Rule-based Positions","Regelbasierte Positionen"
"Rule-based Product Relations","Regelbasierte Produktbeziehungen"
"Rule-based Settings","Regelbasierte Einstellungen"
"Save Rule","Regel speichern"
"Save and Continue Edit","Speichern und Ändern fortführen"
"Selected Only","Nur Ausgewählte"
"Show Cross-Sell Products","Cross Sell Produkte anzeigen"
"Show Related Products","Zugehörige Produkte anzeigen"
"Show Upsell Products","Up Sell Produkte anzeigen"
"Status","Status"
"Target Product ","Zielprodukt"
"The rule has been deleted.","Die Regel wurde gelöscht."
"The rule has been saved.","Die Regel wurde gespeichert."
"This rule no longer exists","Diese Regel existiert nicht mehr"
"To Date","Bis Datum"
"Unable to find a page to delete","Keine Seite zum Löschen gefunden"
"Undefined Catalog Product List Type","Nicht definierter Katalog-Produktlistentyp"
"Up-sells","Up Sells"
"Use Config Settings","Config-Einstellungen benutzen"
"Wrong rule specified.","Falsche Regel angegeben."
"You may also be interested in the following product(s)","Sie könnten sich auch für folgende(s) Produkt(e) interessieren"
"[GLOBAL]","[GLOBAL]"
"equal to","gleich"
"equals or greater than","gleich oder grösser als"
"equals or less than","gleich oder kleiner als"
"less","weniger"
"more","mehr"
"select all","Alles auswählen"
"the Child of the Matched Product Categories","das Kind der Zugeordnete Produkte-Kategorien"
"the Same as Matched Product Categories","das Gleiche wie Zugeordnete Produkte-Kategorien"
"unselect all","Alles abwählen"
