"(Allow)","(Allow)"
"(Config)","(Config)"
"(Deny)","(Deny)"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"A permission with the same scope already exists.","A permission with the same scope already exists."
"Add to Cart","Add to Cart"
"Allow Adding to Cart","Allow Adding to Cart"
"Allow Browsing Category","Allow Browsing Category"
"Browsing Category","Browsing Category"
"Category Permissions","Category Permissions"
"Category Permissions Section","Category Permissions Section"
"Customer Groups","Customer Groups"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Display Product Prices","Display Product Prices"
"Enable","Enable"
"Landing Page","Landing Page"
"New Permission","New Permission"
"No","No"
"No, Redirect to Landing Page","No, Redirect to Landing Page"
"Permission with the same scope","Permission with the same scope"
"Remove Permission","Remove Permission"
"Yes, for Everyone","Yes, for Everyone"
"Yes, for Specified Customer Groups","Yes, for Specified Customer Groups"
