"Access denied.","Access denied."
"Action","Action"
"Add Products","Add Products"
"Add Selected Product(s) to Shopping Cart","Add Selected Product(s) to Shopping Cart"
"An error has occurred. See error log for details.","An error has occurred. See error log for details."
"Apply","Apply"
"Apply Coupon Code","Apply Coupon Code"
"Cancel","Cancel"
"Choose some products to add to shopping cart.","Choose some products to add to shopping cart."
"Coupon code ""%s"" is not valid","Coupon code ""%s"" is not valid"
"Customer not found","Customer not found"
"Customers","Customers"
"Discount","Discount"
"Excl. Tax","Excl. Tax"
"Failed to add a product of order item","Failed to add a product of order item"
"Failed to reorder item","Failed to reorder item"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid block: %s.","Invalid block: %s."
"Last ordered items (%s)","Last ordered items (%s)"
"Manage Customers","Manage Customers"
"Manage Shopping Cart","Manage Shopping Cart"
"Move to Wishlist","Move to Wishlist"
"No ordered items","No ordered items"
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Price","Price"
"Product","Product"
"Product Name","Product Name"
"Product name","Product name"
"Products","Products"
"Products in the Comparison List (%s)","Products in the Comparison List (%s)"
"Qty","Qty"
"Qty To Add","Qty To Add"
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"Recently Compared Products (%s)","Recently Compared Products (%s)"
"Recently Viewed Products (%s)","Recently Viewed Products (%s)"
"Remove","Remove"
"Remove Coupon Code","Remove Coupon Code"
"Row Subtotal","Row Subtotal"
"SKU","SKU"
"Shopping Cart","Shopping Cart"
"Shopping Cart Items","Shopping Cart Items"
"Shopping Cart Management","Shopping Cart Management"
"Shopping Cart for %s in %s","Shopping Cart for %s in %s"
"Shopping cart management disabled for this customer.","Shopping cart management disabled for this customer."
"Store not found.","Store not found."
"Subtotal","Subtotal"
"Subtotal:","Subtotal:"
"Total","Total"
"Total %d product(s)","Total %d product(s)"
"Total incl. tax","Total incl. tax"
"Update Items and Qty's","Update Items and Qty's"
"View Shopping Cart","View Shopping Cart"
"View and modify Shopping Cart","View and modify Shopping Cart"
"Wishlist (%s)","Wishlist (%s)"
"Wishlist item id is not received.","Wishlist item id is not received."
"Wishlist item is not loaded.","Wishlist item is not loaded."
