"* Required Fields","* Required Fields"
"Address","Address"
"Address Information","Address Information"
"Already registered?","Already registered?"
"Back","Back"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest","Checkout as a Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","City"
"Company","Company"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Country","Country"
"Create an Account","Create an Account"
"Easy access to your order history and status","Easy access to your order history and status"
"Email Address","Email Address"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Loading next step...","Loading next step..."
"Login","Login"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"New Customers","New Customers"
"Password","Password"
"Persist Comparison History","Persist Comparison History"
"Persist Currently Compared Products","Persist Currently Compared Products"
"Persist Customer Group Membership and Segmentation","Persist Customer Group Membership and Segmentation"
"Persist Recently Ordered Items","Persist Recently Ordered Items"
"Persist Recently Viewed Products","Persist Recently Viewed Products"
"Persist Wishlist","Persist Wishlist"
"Personal Information","Personal Information"
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Register","Register"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Registered Customers"
"Save in address book","Save in address book"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Sign Up for Newsletter","Sign Up for Newsletter"
"State/Province","State/Province"
"Street Address","Street Address"
"Street Address ","Street Address "
"Submit","Submit"
"Telephone","Telephone"
"Zip/Postal Code","Zip/Postal Code"
