Points,Miles
Point,Mile
"Not enough points for transaction. You have %s, but you need %s","Not enough points for transaction. You have %s, but you need %s"
"Sent points to a friend, ","Sent points to a friend, "
"Received points from a friend, ","Received points from a friend, "
"Not enough points for transaction. You have %s, but you need %s.","Not enough points for transaction. You have %s, but you need %s."
"You received %s for signing up!","You received %s for signing up!"
"Could not transfer points.","Could not transfer points."
"You received %s for signing up to a newsletter","You received %s for signing up to a newsletter"
"Could not interface with customer rewards system.","Could not interface with customer rewards system."
"You received %s for voting","You received %s for voting"
"Please log in, or sign up to apply point redemptions!","Please log in, or sign up to apply point redemptions!"
"Unable to load the redeem points hash","Unable to load the redeem points hash"
"You will receive %s upon approval of this review","You will receive %s upon approval of this review"
"You received %s for sending your friend this product","You received %s for sending your friend this product"
"No points","No miles"
"No Points","No Miles"
"You will receive %s upon approval of this tag.","You will receive %s upon approval of this tag."
"Click to see a breakdown of how your points affect this line item.","Click to see a breakdown of how your points affect this line item."
"Points Spent","Points Spent"
off,off
"No points.","No Miles."
"Points Earned","Miles Earned"
"as low as","as low as"
with,with
"Redeem Your Points","Redeem Your Points"
"Send Points to a Friend","Send Points to a Friend"
"Transfer Manager","Transfer Manager"
"Currency Manager","Currency Manager"
"Add Currency","Add Currency"
"Special Points Rules","Special Points Rules"
"Add New Special Rule","Add New Special Rule"
"Spends X Points","Spends X Points"
"Spends X points for every Y dollar amount in price","Spends X points for every Y dollar amount in price"
"[WARN:ALPHA] For every X points spent, discount Y from price","[WARN:ALPHA] For every X points spent, discount Y from price"
"--Don\'t Transfer Points--","--Don\'t Transfer Points--"
"Give X points to customer","Give X points to customer"
"For every Y dollar amount in price, give X points","For every Y dollar amount in price, give X points"
"Deduct X points from customer","Deduct X points from customer"
"For every Y amount spent, deduct X points","For every Y amount spent, deduct X points"
"An error occured trying to apply the redemption while adding the product to your cart: ","An error occured trying to apply the redemption while adding the product to your cart: "
"For every Z qty purchased, deduct X points","For every Z qty purchased, deduct X points"
" For every X points spent, discount Y from price"," For every X points spent, discount Y from price"
"For every Y amount spent, give X points","For every Y amount spent, give X points"
"For every Z qty purchased, give X points","For every Z qty purchased, give X points"
"Writes review","Writes review"
"Rates a product","Rates a product"
"Signs up","Signs up"
"Votes in poll","Votes in poll"
"Sends product to friend","Sends product to friend"
"Signs up for a newsletter","Signs up for a newsletter"
"Makes a new tag","Makes a new tag"
"Points Distribution","Points Distribution"
"Points Redeemed on Order","Points Redeemed on Order"
"System Adjustment","System Adjustment"
"Points Received From a Friend","Points Received From a Friend"
"Points Given To a Friend","Points Given To a Friend"
"Points Revoked","Points Revoked"
"Administrative Adjustment","Administrative Adjustment"
"WARNING: UNSPECIFIED REASON","WARNING: UNSPECIFIED REASON"
Poll,Poll
Rating,Rating
Transfer,Transfer
Signup,Signup
"To Friend","To Friend"
"From Friend","From Friend"
"A valid redemption id to apply to this cart was not selected.","A valid redemption id to apply to this cart was not selected."
"The rule ","The rule "
"You do have have enough %s Points.","You do have have enough %s Points."
"The rule entitled ","The rule entitled "
"All requested reward redemptions were applied to your cart","All requested reward redemptions were applied to your cart"
"An error occured while trying to apply the redemption to your cart.","An error occured while trying to apply the redemption to your cart."
"All requested reward redemptions were removed from your cart","All requested reward redemptions were removed from your cart"
"An error occured while trying to remove the redemption from your cart.","An error occured while trying to remove the redemption from your cart."
"Please log in or sign up to apply point redemptions!","Please log in or sign up to apply point redemptions!"
"An item was not selected or the item selected was invalid","An item was not selected or the item selected was invalid"
"A valid redemption id to apply to this product was not selected.","A valid redemption id to apply to this product was not selected."
"All requested reward redemptions were applied to the product.","All requested reward redemptions were applied to the product."
"All requested reward redemptions were removed from the product.","All requested reward redemptions were removed from the product."
"Sorry, you are not authorized to be access this section.","Sorry, you are not authorized to be access this section."
"There is no customer with that email address (%s).","There is no customer with that email address (%s)."
"%s is not allowed to use the %s points currency.","%s is not allowed to use the %s points currency."
