"All","Todo"
"Allowed Scopes","Ámbitos permitidos"
"An order cannot be created in disallowed store.","No se puede crear un pedido en una tienda no habilitada."
"Custom","Personalizado"
"None","Nada"
"Not enough permissions to delete this item.","No tiene suficientes permisos para borrar este artículo."
"Not enough permissions to save specified Combination of Store Scopes.","No hay suficientes permisos para guardar la Combinación especificada de Ámbitos de Tiendas."
"Not enough permissions to save this item.","No hay suficientes permisos para grabar este artículo."
"Not enough permissions to set All Scopes to a Role.","No hay suficientes permisos para asignar Todos los Ámbitos a un Perfil."
"Not enough permissions to view this item.","No hay suficientes permisos para ver este artículo."
"Please assign this entity to a store view.","Por favor, asigna esta entidad a una vista de tienda."
"Please specify at least one website or one store group.","Por favor, especifica al menos una página web o un grupo de tiendas."
"Role Scopes","Ámbitos de Perfiles"
"This item must be assigned to a store view.","Este artículo se tiene que asignar a una vista de tienda."
"This item must be assigned to a website.","Este artículo se tiene que asignar a una página web."
"Website ""%s"" is not allowed in your current permission scope.","El sitio web ""%s"" no está permitido en el ámbito de aplicación de su actual permiso."
"Wrong store ID: %d","ID de tienda incorrecto: %d"
"Wrong website ID: %d","ID de página web incorrecto: %d"
