"-- None --","Ninguno"
"Active","Activo"
"Add Banner","Añadir pancarta"
"An error occurred while deleting banner data. Please review log and try again.","Ha ocurrido un error mientras se eliminaba la pancarta. Por favor revise el registro y vuelva a intentarlo."
"An error occurred while mass deleting banners. Please review log and try again.","Se produjo un error mientras se eliminaban las pancartas en masa. Por favor revise el registro y vuelva a intentarlo."
"Any","Cualquier"
"Any Banner Type","Cualquier tipo de pancarta"
"Applies To","Se aplica a"
"Applies to Any of the Specified Customer Segments","Se aplica a cualquiera de los segmentos de clientes especificados"
"Are you sure you want to delete these banners?","¿Está seguro de que quiere eliminar estas pancartas?"
"Banner Block Template","Sección de plantillas para pancartas"
"Banner Default Content for All Store Views","Contenido por defecto de la pancarta para todas las vistas de la tienda"
"Banner Information","Información de la pancarta"
"Banner Inline Template","Plantilla de pancarta en línea"
"Banner Name","Nombre de la pancarta"
"Banner Properties","Propiedades de la pancarta"
"Banner Rotator","Pancarta rotatoria"
"Banner Types","Tipos de pancartas"
"Banners","Pancartas"
"Banners to Display","Pancartas para mostrar"
"CMS","CMS"
"Catalog Promotions Related","Catálogo de promociones relacionadas"
"Content","Contenido"
"Content Area","Contenido del área"
"Customer Segments","Sectores de clientes"
"Default Content","Contenido por defecto"
"Delete","Eliminar"
"Delete Banner","Eliminar pancarta"
"Displays Specified or Promotion Banners","Muestra especificada o pancartas de promoción"
"Do not rotate, display all at once","No rotar, exponer todo una vez"
"Edit Banner","Editar pancarta"
"Footer","Pie de página"
"Header","Encabezado"
"ID","Identificación"
"Left Column","Columna izquierda"
"Manage Banners","Administrar pancartas"
"Name must not be empty.","El nombre no debe estar vacío."
"New Banner","Nueva pancarta"
"No","No"
"No Default Content","No contenido por defecto"
"One at the time, Random","Uno a uno, al azar"
"One at the time, Series","Uno a uno, series"
"One at the time, Shuffle","Uno a uno, revolver"
"Please select banner(s).","Por favor seleccione la(s) pancarta(s)."
"Please specify default content for at least one store view.","Por favor especifique el contenido predeterminado al menos para una vista de la tienda."
"Position","Posición"
"Related Banners","Pancartas relacionadas"
"Related Catalog Price Rules","Reglas de los precios de los catálogos relacionados"
"Related Promotions","Promociones relacionadas"
"Related Shopping Cart Price Rules","Reglas del precio del carro de la compra relacionado"
"Restrict by Banner Types","Restringir por tipo de pancarta"
"Right Column","Columna derecha"
"Rotation Mode","Modo rotación"
"Save Banner","Guardar pancarta"
"Save and Continue Edit","Guardar y continuar editando"
"Shopping Cart Promotions Related","Carro de compra de promociones relacionadas"
"Specified","Especificado"
"Specified Banner Types","Tipos de pancartas especificados"
"Specified Banners","Pancartas especificadas"
"Specify Banners","Especificar pancartas"
"Specify Types","Especificar tipos"
"Store View Specific Content","Contenido específico de la vista de la tienda"
"The banner has been deleted.","La pancarta ha sido eliminada"
"The banner has been saved.","La pancarta ha sido guardada."
"This banner no longer exists.","Esta pancarta ya no existe."
"Total of %d record(s) have been deleted.","Total de % registrado se ha eliminado."
"Unable to find a banner to delete.","No se puede encontrar la pancarta para eliminar"
"Unable to save the banner.","No se puede guardar la pancarta"
"Use Default","El uso por defecto"
"Visible In","Visible en"
"Yes","Sí"
