"%s is required.","%s es necesario."
"Action","Acción"
"Add Catalog Event","Añadir Evento de Catálogo"
"Add Event...","Añadir Evento..."
"An error occurred while saving this event.","Ha ocurrido un error al grabar este evento."
"Back to Category","Volver a Categoría"
"Block Custom Width","Ancho Personalizado de Bloque"
"Catalog","Catálogo"
"Catalog Event Information","Información de Evento de Catálogo"
"Catalog Events","Eventos de Catálogo"
"Catalog Events Carousel","Carrusel de Eventos de Catálogo"
"Catalog Events Carousel Default Template","Plantilla por Defecto de Carrusel de Eventos de Catálogo"
"Categories","Categorías"
"Category","Categoría"
"Category ID","ID de Categoría"
"Category Page","Página de Categoría"
"Closed","Cerrado"
"Coming Soon","Próximamente"
"Default Values","Valores por Defecto"
"Default value. Override in CMS using limit=""x"" variable. If empty, there will be no limitation.","Valor por defecto. Anulación en el CMS usando limit=""x"" como variable. Si está vacío, no habrá ninguna limitación."
"Default value. Override in CMS using scroll=""x"" variable.","Valor por defecto. Anulación en el CMS usando scroll=""x"" como variable."
"Display Countdown Ticker On","Mostrar el Reloj de Cuenta Atrás"
"Edit","Editar"
"Edit Catalog Event","Editar Evento de Catálogo"
"Edit Event...","Editar Evento..."
"Enable Catalog Event Widget on the Frontend","Habilitar Widget de Evento de Catálogo en el frontal."
"Enable Catalog Events Functionality","Habilitar Funcionalidad de Eventos de Catálogo"
"End Date","Fecha de Fin"
"End date should be greater than start date.","La fecha de fin debe ser mayor que la fecha de inicio."
"Ends On","Termina En"
"Event for selected category","Evento para la categoría seleccionada"
"Event has been deleted.","Se ha borrado el evento."
"Event has been saved.","Se ha guardado el evento."
"Events","Eventos"
"Events to Scroll per Click in Event Slider Widget","Eventos para Desplazar por Click en el Widget de Desplazamiento de Evento"
"Frame Size","Tamaño de Marco"
"Go To Sale","Ir a Venta"
"ID","Identificación"
"Image","Imagen"
"Image was not uploaded.","La imagen no se ha cargado"
"List all open Catalog Events as a Paginated Carousel","Enumerar todos los Eventos del Catálogo como un Carrusel Paginado"
"Lister Block","Bloquear Lista"
"Manage Catalog Events","Gestión de Eventos de Catálogo"
"New Event","Nuevo Evento"
"Number of Events to be Displayed in Event Slider Widget","Número de Eventos a Mostrar en el Gráfico de Desplazamiento de Eventos"
"Number of Items to display at once","Número de Artículos a Mostrar cada vez"
"Number of Items to scroll per click","Número de Artículos a desplazar con cada click"
"Open","Abrir"
"Preview Sale","Vista Previa de la Venta"
"Product Page","Página del Producto"
"Sale Ends In","La Venta Termina En"
"Sale was closed for this product.","La venta para este producto se ha cerrado"
"Save and Continue Edit","Guardar y continuar editando"
"Scroll","Desplazar"
"Select Category","Seleccionar Categoría"
"Some products are not salable anymore.","Algunos productos ya no se pueden poner a la venta"
"Sort Order","Ordenar Pedido"
"Start Date","Fecha de Inicio"
"Starts On","Empieza En"
"Status","Estado"
"Upcoming","Próximamente"
"Use Default Value","Utilizar Valor por Defecto"
"View Sale","Ver Venta"
"Width in Pixels. If empty, will be determined automatically","Anchura en Píxeles. Si está vacío, se determinará automáticamente"
