"(Allow)","(Permitir)"
"(Config)","(Configurar)"
"(Deny)","(Denegar)"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">¡Cuidado!</strong> Por defecto esta funcionalidad limita todas las categorías."
"A permission with the same scope already exists.","Ya existe un permiso con el mismo ámbito."
"Add to Cart","Añadir al Carrito"
"Allow Adding to Cart","Permitir Añadir al Carrito"
"Allow Browsing Category","Permitir Consultar Categoría"
"Browsing Category","Consultar Categoría"
"Category Permissions","Permisos de la Categoría"
"Category Permissions Section","Sección de Permisos de la Categoría"
"Customer Groups","Grupos de Cliente"
"Disallow Catalog Search By","No Permitir la Búsqueda por Catálogo"
"Display Product Prices","Mostrar Precios de Productos"
"Enable","Habilitar"
"Landing Page","Página de Llegada"
"New Permission","Nuevo Permiso"
"No","No"
"No, Redirect to Landing Page","No, Redirigir a la Página de Llegada"
"Permission with the same scope","Permiso con el mismo ámbito"
"Remove Permission","Retirar Permiso"
"Yes, for Everyone","Sí, para Todos"
"Yes, for Specified Customer Groups","Sí, para los Grupos de Clientes Especificados"
