"Access denied.","Acceso denegado"
"Action","Acción"
"Add Products","Añadir productos"
"Add Selected Product(s) to Shopping Cart","Añadir producto(s) seleccionado(s) a la Cesta de la Compra"
"An error has occurred. See error log for details.","Ha ocurrido un error. Ver el registro de errores para conocer los detalles."
"Apply","Solicitar"
"Apply Coupon Code","Usar el Código del Cupón"
"Cancel","Cancelar"
"Choose some products to add to shopping cart.","Escoja algunos productos para añadirlos al carro de la compra."
"Coupon code ""%s"" is not valid","El código de cupón ""%s"" no es válido"
"Customer not found","Cliente no encontrado"
"Customers","Clientes"
"Discount","Descuento"
"Excl. Tax","Impuestos no incluidos"
"Failed to add a product of order item","Fallo al añadir un producto de la partida"
"Failed to reorder item","Fallo al volver a realizar un pedido de artículo"
"ID","Identificación"
"Incl. Tax","Impuestos incluidos"
"Invalid block: %s.","Bloque no válido: %s."
"Last ordered items (%s)","Últimos artículos pedidos (%s)"
"Manage Customers","Gestionar Clientes"
"Manage Shopping Cart","Gestionar la Cesta de la Compra"
"Move to Wishlist","Trasladar a la Lista de Deseos"
"No ordered items","No hay pedidos de artículos"
"Ordered item id is not received.","El id del artículo pedido no se ha recibido."
"Ordered item is not loaded.","El artículo pedido no está cargado."
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product name","Nombre de producto"
"Products","Productos"
"Products in the Comparison List (%s)","(%s) Productos en la Lista de Comparación"
"Qty","Cantidad"
"Qty To Add","Cantidad a añadir"
"Quote item id is not received.","El artículo indicado no se ha recibido."
"Quote item is not loaded.","El artículo indicado no está cargado."
"Recently Compared Products (%s)","Productos recientemente comparados (%s)"
"Recently Viewed Products (%s)","Productos vistos recientemente (%s)"
"Remove","Eliminar"
"Remove Coupon Code","Eliminar Código de Cupón"
"Row Subtotal","Fila Subtotal"
"SKU","Número de referencia"
"Shopping Cart","Cesta de la Compra"
"Shopping Cart Items","Elementos del Carro de la Compra"
"Shopping Cart Management","Gestión de la Cesta de la Compra"
"Shopping Cart for %s in %s","Cesta de la Compra para %s en %s"
"Shopping cart management disabled for this customer.","La gestión de la Cesta de la Compra para este cliente está desactivada."
"Store not found.","Tienda no encontrada."
"Subtotal","Subtotal"
"Subtotal:","Subtotal:"
"Total","Total"
"Total %d product(s)","%d producto(s) en total"
"Total incl. tax","Total con impuestos incluidos"
"Update Items and Qty's","Actualizar artículos y cantidades"
"View Shopping Cart","Ver la Cesta de la Compra"
"View and modify Shopping Cart","Ver y modificar la Cesta de la Compra"
"Wishlist (%s)","Lista de deseos (%s)"
"Wishlist item id is not received.","El artículo de la lista de intención de compra no se ha recibido."
"Wishlist item is not loaded.","El artículo de la lista de intención de compra no está cargado."
