"%s; rev #%s","%s; rev #%s"
"Access Level","Nivel de acceso"
"Add Node...","Añadir nodo"
"Add Selected Page(s) to Tree","Añadir página(s) seleccionada(s) al árbol"
"Add To Tree","Añadir al árbol"
"An error occurred while deleting revisions.","Se produjo un error mientras se eliminaban las revisiones"
"An error occurred while deleting the revision.","Se produjo un error mientras se eliminaba la revisión"
"An error occurred while deleting the version.","Se produjo un error mientras se eliminaba la versión"
"An error occurred while deleting versions.","Se produjo un error mientras se eliminaban las versiones"
"Anchor Custom Text","Texto personalizado del delimitador"
"Anchor Custom Title","Título personalizado del delimitador"
"Are you sure you want to break current lock?","¿Está seguro de que quiere romper el bloqueo actual?"
"Are you sure you want to delete this revision?","¿Está seguro de que quiere eliminar esta revisión?"
"Are you sure?","¿Está seguro?"
"Author","Autor"
"Author:","Autor:"
"CMS","CMS"
"CMS Content Wrapper","CMS contenedor de contenido"
"CMS Hierarchy","Jerarquía del CMS"
"CMS Hierarchy Node Link","Enlace al nodo de jerarquía del CMS"
"CMS Home Page","Página principal del CMS"
"CMS No-Route Page","Página sin ruta del CMS"
"CMS Page Default Versioning","Página predeterminada de control de versiones del CMS"
"CMS Page Hierarchy","Página de jerarquías del CMS"
"CMS Page Link Block Template","Plantilla en bloque de la página de enlaces del CMS"
"CMS Page Link Inline Template","Plantilla en línea de la página de enlaces del CMS"
"CMS Page Trees","Página de árboles del CMS"
"CMS Pages","Páginas del CMS"
"CMS Pages (All)","Páginas del CMS (Todas)"
"CMS Versioning","Control de versiones del CMS"
"Cancel","Cancelar"
"Cannot change version access level because it is the last public version for its page.","No es posible modificar el nivel de acceso a la versión porque es la última versión pública de la página."
"Cannot change version access level because its revision is published.","No es posible modificar el nivel de acceso a la versión porque su revisión ha sido publicada."
"Chapter/Section","Capítulo/Sección"
"Choose Revision","Elija revisión"
"Choose Store View","Elija vista de tienda"
"Circle","Círculo"
"Content","Contenido"
"Could not load specified revision.","No se pudo cargar la revisión especificada."
"Could not load specified version.","No se pudo cargar la versión especificada."
"Created","Creado"
"Created At","Creado en"
"Created:","Creado:"
"Current Modification","Modificación actual"
"Currently Published Revision","Revisión publicada actual"
"Default","Predeterminada"
"Default Layout for Hierarchy Menu","Diseño predeterminado para el menú de jerarquías"
"Delete","Eliminar"
"Delete Revision and Version","Eliminar revisión y versión"
"Disabled by Default","Deshabilitado por defecto"
"Disc","Disco"
"Edit Page '%s' New Revision","Editar la nueva revisión de la página '%'"
"Edit Page '%s' Revision #%s","Editar la revisión #%s de la página '%'"
"Edit Page '%s' Version '%s'","Editar la versión '%' de la página '%'"
"Edit Revision","Editar revisión"
"Edit Version","Editar versión"
"Enable Chapter/Section","Habilitar Capítulo/Sección"
"Enable Hierarchy Functionality","Habilitar funcionalidad de jerarquías"
"Enable Hierarchy Metadata","Habilitar metadatos de jerarquías"
"Enable Navigation Menu","Habilitar el menú de navegación"
"Enable Pagination","Habilitar paginación"
"Enabled by Default","Habilitado por defecto"
"Error in saving hierarchy.","Error al guardar jerarquía."
"Exclude from Navigation Menu","Excluir del menú de navegación"
"First","Primero"
"Frame","Marco"
"Frame Skip","Salto de Marco"
"Hierarchy","Jerarquía"
"Hierarchy Page Lock Timeout (seconds)","Tiempo hasta Finalizar Bloqueo de Página de Jerarquías (segundos)"
"How many Links to display at once","Cuántos Enlaces se deben mostrar a la vez"
"If empty, will use the Node or Page Name","En caso de estar vacío, se utilizará el Nodo o Nombre de la Página"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Si la Posición Actual del Marco no cubre las Páginas al Máximo, se le generará un Enlace a la Posición Actual más/menos este Valor."
"Invalid node data.","Datos de nodo inválidos."
"Label for version is a required field.","Etiqueta para versión es un campo obligatorio."
"Left Column","Columna izquierda"
"Link to Specified CMS Hierarchy Node","Enlace a Nodo Jerárquico CMS Especificado"
"List Style","Estilo de Lista"
