"* Required Fields","* Campos Requeridos"
"-- Please Select --","-- Seleccionar, por favor --"
"Account Information","Información de Cuenta"
"Add New Address","Añadir Nueva Dirección"
"Add New Attribute","Añadir Nuevo Atributo"
"Additional Address Entries","Anotaciones Adicionales de Dirección"
"Address","Dirección"
"Address Book","Libreta de Direcciones"
"Address Information","Información de Dirección"
"All Themes","Todos los Temas"
"An error occurred while deleting the customer address attribute.","Ha ocurrido un error al borrar el atributo de la dirección de cliente."
"An error occurred while deleting the customer attribute.","Ha ocurrido un error al borrar el atributo del cliente."
"An error occurred while deleting the form type.","Ha ocurrido un error al borrar el tipo de formulario."
"An error occurred while saving the customer address attribute.","Ha ocurrido un error al grabar el atributo de la dirección del cliente."
"An error occurred while saving the customer attribute.","Ha ocurrido un error al grabas el atributo del cliente."
"An error occurred while saving the form type.","Ha ocurrido un error al grabar el tipo de formulario."
"Are you sure you want to delete this address?","¿Estás seguro de querer borrar esta dirección?"
"Attribute Information","Información de Atributo"
"Attribute is no longer exists.","El atributo no existe."
"Attribute with the same code already exists","Ya existe un atributo con el mismo código"
"Attributes","Atributos"
"Back","Volver"
"Back to Login","Volver a Conexión"
"Based On","Basado en"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nuestra tienda podrás moverte más rápidamente por el proceso de pago, guardar múltiples direcciones de envío, ver y seguir el rastro de los pedidos de tu cuenta y más."
"Cancel","Cancelar"
"Change Billing Address","Cambiar la Dirección de Facturación"
"Change Password","Cambiar Contraseña"
"Change Shipping Address","Cambiar la Dirección de Envío"
"City","Ciudad"
"Comma separated","Separado por comas"
"Company","Compañía"
"Confirm New Password","Confirmar la Nueva Contraseña"
"Confirm Password","Confirma Contraseña"
"Contact Information","Información de Contacto"
"Country","País"
"Create an Account","Crear una Cuenta"
"Current Password","Contraseña Actual"
"Customer","Cliente"
"Customer Account Edit Form","Formulario de Edición de Cuenta del Cliente"
"Customer Account Login Form","Formulario de Conexión de Cuenta del Cliente"
"Customer Account Logout Success","Desconexión correcta de la Cuenta del Cliente"
"Customer Account Registration Form","Formulario de Registro de Cuenta del Cliente"
"Customer Forgot Password Form","Formulario de Contraseña Olvidada del Cliente"
"Customer My Account (All Pages)","Mi Cuenta de Cliente (Todas las Páginas)"
"Customer My Account Address Book","Libreta de Dirección de Mi Cuenta de Cliente"
"Customer My Account Address Edit Form","Formulario de Edición de Direcciones de Mi Cuenta de Cliente"
"Customer My Account Dashboard","Panel de Control de Mi Cuenta de Cliente"
"DD","DD"
"Date of Birth","Fecha de Nacimiento"
"Day","Día"
"Default Addresses","Dirección por Defecto"
"Default Billing Address","Dirección de Facturación por Defecto"
"Default Shipping Address","Dirección de Envío por Defecto"
"Default Values","Valores por Defecto"
"Delete Address","Borrar Dirección"
"Delete Attribute","Borrar Atributo"
"Edit","Editar"
"Edit Account Information","Cambiar la información de la cuenta"
"Edit Address","Cambiar la dirección"
"Edit Address Entry","Cambiar el registro de la dirección"
"Edit Customer Address Attribute","Cambiar el atributo de la dirección del cliente"
"Edit Customer Address Attribute ""%s""","Editar Atributo Dirección de Cliente ""%s"""
"Edit Customer Attribute","Cambiar el atributo del cliente"
"Edit Customer Attribute ""%s""","Editar Atributo Cliente ""%s"""
"Edit Form Type ""%s""","Editar Tipo de Formulario ""%s"""
"Edit Newsletters","Cambiar los boletines"
"Email Address","Dirección de email"
"Fax","Fax"
"File Extensions","Extensiones de archivo"
"For Theme","Para el tema"
"Forgot Your Password?","¿Ha olvidado la contraseña?"
"Form Code","Código del formulario"
"Form Fields Before","Campos de Formulario Antes de"
"Form Label","Etiqueta del formulario"
"Form Title","Título del formulario"
"Form Type Code","Código del tipo del formulario"
"Form Type Information","Información del tipo del formulario"
"Form type has been deleted.","El tipo de formulario ha sido borrado."
"Forms to Use In","Formularios para usar en"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde el «panel de control de mi cuenta» puede ver una instantánea de la actividad reciente en su cuenta y actualizar la información de su cuenta. Elija uno de los siguientes enlaces para ver o cambiar la información."
"Frontend Properties","Propiedades del frontend"
"General","General"
"General Information","Información general"
"General Subscription","Suscripción general"
"Go back","Volver"
"Hello, %s!","Hola, %s:"
"If you have an account with us, log in using your email address.","Si tiene una cuenta con nosotros, entre usando su dirección de correo electrónico."
"Input Type","Introducir tipo"
"Input Validation","Validación de la entrada"
"Input/Output Filter","Filtro de entrada/salida"
"Label","Etiqueta"
"Lines Count","Número de renglones"
"Login","Entrar"
"Login Information","Información de registro"
"Login or Create an Account","Entre o cree una cuenta"
"MM","MM"
"Manage Addresses","Gestionar las direcciones"
"Manage Customer Address Attributes","Gestionar los atributos de la dirección del cliente"
"Manage Customer Attributes","Gestionar los atributos del cliente"
"Manage Form Types","Gestionar los tipos de formulario"
"Manage Label / Options","Gestionar etiquetas y opciones"
"Maximum File Size (bytes)","Tamaño máximo del archivo (bytes)"
"Maximum Image Height (px)","Altura máxima de la imagen (px)"
"Maximum Image Width (px)","Anchura máxima de la imagen (px)"
"Maximum Text Length","Longitud máxima del texto"
"Maximum value","Valor Máximo"
"Minimal value","Valor mínimo"
"Minimum Text Length","Longitud mínima del texto"
"Month","Mes"
"My Account Wrapper","El Wrapper de mi Cuenta"
"My Dashboard","Mi panel de control"
"New Address Entry","Nueva Anotación de Dirección"
"New Attribute","Nuevo Atributo"
