"Action","Acción"
"Additional information","Información adicional"
"An amount on which to change the balance","Una cantidad sobre la que alterar el saldo"
"Balance","Saldo"
"Balance Change","Alteración del saldo"
"Balance History","Histórico de saldo"
"Balance history cannot be saved without existing balance.","El historial de balances no puede ser guardado sin que existan balances."
"By admin: %1$s. (%2$s)","Por administración: %1$s. (%2$s)"
"By admin: %s.","Por administración: %s."
"Comment","Comentario"
"Created","Creado"
"Customer ID must be specified.","Se debe especificar la ID del cliente."
"Customer My Account Store Credit","Crédito de tienda de mi cuenta de cliente."
"Customer is not set or does not exist.","El cliente no está configurado o no existe."
"Customer notified?","¿Ha sido notificado el cliente?"
"Date","Fecha"
"Delete Orphan Balances","Elimina los balances huérfanos"
"Enable Store Credit Functionality","Activar la función de Crédito de Tienda"
"Failed to initialize customer","Fallo al iniciar cliente"
"In order to send email notification, the Store ID must be set.","Se debe configurar una ID de Tienda para enviar una notificación por correo electrónico."
"No","No"
"Not enough Store Credit Amount to complete this Order.","No existe suficiente Crédito de Tienda para completar esta orden."
"Notified","Notificado"
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Order #%s","Pedido #%s"
"Please set store ID as well.","Por favor, configurar ID de tienda también."
"Refund Money to Store Credit","Reembolsar dinero al Crédito de Tienda"
"Refund Store Credit Automatically","Reembolsar el crédito automáticamente"
"Refund Store Credit to Store Credit","Reembolsar el Crédito de Tienda al propio Crédito de Tienda"
"Refund to Store Credit","Reembolsar al Crédito de Tienda"
"Refunded","Reembolsado"
"Refunded to Store Credit","Reembolsado al Crédito de Tienda"
"Remove","Eliminar"
"Reverted","Devuelto"
"Send Email Notification From the Following Store View","Enviar una notificación por Email desde la siguiente Vista de Tienda"
"Send Email from the Following Store View","Enviar EMail desde la siguiente Vista de Tienda"
"Show Store Credit History to Customers","Mostrar el histórico de crédito a los clientes"
"Store Credit","Crédito de Tienda"
"Store Credit (%s)","Crédito de tienda (%s)"
"Store Credit Balance","Saldo del Crédito de Tienda"
"Store Credit Balance and History Wrapper","Saldo de Crédito de Tienda y Cubierta del Historial"
"Store Credit Options","Opciones de Crédito de Tienda"
"Store Credit Update","Actualización del Crédito de Tienda"
"Store Credit Update Email Sender","Remitente del correo de actualización del Crédito de Tienda"
"Store Credit Update Email Template","Plantilla del correo de actualización del Crédito de Tienda"
"Store Credit payment is not being used in your shopping cart.","No se está usando el pago con Crédito de Tienda en su cesta de la compra."
"Store credit amount cannot exceed order amount.","La cantidad del crédito no puede exceder la suma del pedido."
"The store credit payment has been removed from shopping cart.","Se ha eliminado el pago mediante Crédito de Tienda de la cesta de la compra."
"There is no creditmemo set to balance model.","No existe ningún abono para equilibrar el modelo."
"There is no order set to balance model.","No existe ningún pedido para equilibrar el modelo."
"Unknown balance history action code","Código de acción del histórico de saldo desconocido"
"Update Balance","Actualizar saldo"
"Updated","Actualizado"
"Use Store Credit","Usar el Crédito de Tienda"
"Use Store Credit (%s available)","Usar el Crédito de tienda (%s disponible)"
"Used","Usado"
"Website","Sitio web"
"Website ID must be set.","Se debe configurar una ID de sitio web."
"Your current balance is:","Su saldo actual es:"
"available","disponible"
