"Active","Activo"
"Add Segment","Agregar segmento"
"Address Attributes","Atributos de la dirección"
"Address Type","Tipo de dirección"
"Any","Cualquier"
"Assigned to Website","Asignado al sitio Web"
"Average","Promedio"
"Back","Volver"
"Billing","Facturación"
"CSV","CSV"
"Conditions","Condiciones"
"Conditions Combination","Combinación de condiciones"
"Country","País"
"Customer","Cliente"
"Customer %s","Cliente %s"
"Customer Address","Dirección del cliente"
"Customer Address %s","Dirección del cliente %s"
"Customer Segment","Segmento del cliente"
"Customer Segment Report","Informe del segmento del cliente"
"Customer Segment Report \'%s\'","Informe del segmento del cliente '%s'"
"Customer Segment data has been refreshed.","Los datos del segmento del cliente han sido actualizados."
"Customer Segments","Sectores de clientes"
"Customer Segments Report","Informe de los segmentos del cliente"
"Customer Since","Cliente desde"
"Customer Store Credit Amount %s %s:","Cantidad de Crédito de Tienda del cliente %s %s:"
"Customer is %s to newsletter.","El cliente está %s al boletín de noticias."
"Customers","Clientes"
"Date Range","Rango de fecha"
"Date Ranges","Rangos de fechas"
"Default Address","Dirección por defecto"
"Delete","Eliminar"
"Description","Descripción"
"Details","Detalles"
"Edit Segment","Editar segmento"
"Edit Segment '%s'","Editar segmento '%s'"
"Email","Correo electrónico"
"Enable Customer Segment Functionality","Permitir funcionalidad del segmento del cliente"
"Excel XML","Excel XML"
"General Properties","Propiedades generales"
"Gift Card","Cheque regalo"
"Grand Total","Suma total"
"Group","Grupo"
"Has State/Province","Tiene Estado/Provincia"
"ID","Identificación"
"If Customer Address %s State/Province specified","Si la dirección del Cliente %s Estado/Provincia es especificada"
"Inactive","Inactivo"
"Intersection","Intersección"
"Manage Segments","Administrar segmentos"
"Matched %d Customers of Segment %s","Han coincidido %d clientes del segmento %s"
"Matched Customers (%d)","Clientes que coinciden (%d)"
"Name","Nombre"
"New Segment","Nuevo segmento"
"Newsletter Subscription","Suscripción al boletín de noticias"
"Number of Cart Line Items","Número de artículos en el carro"
"Number of Customers","Número de clientes"
"Number of Orders","Número de pedidos"
"Order Address","Dirección del pedido"
"Order Address %s","Dirección del pedido %s"
"Order Address Attributes","Atributos de la dirección del pedido"
"Order Status","Estado del pedido"
"Product %s","Producto %s"
"Product Attributes","Atributos del producto"
"Product History","Historial del producto"
"Product List","Lista de productos"
"Products","Productos"
"Products Quantity","Cantidad de productos"
"Purchased Quantity","Cantidad adquirida"
"Refresh Segment Data","Actualizar datos del segmento"
"Reports","Informes"
"Sales","Ventas"
"Sales Amount","Cantidad de ventas"
"Save","Guardar"
"Save and Continue Edit","Guardar y continuar editando"
"Segment Customers matching error.","Se ha encontrado un error en el segmento Clientes."
"Segment Information","Información del segmento"
"Segment Name","Nombre del segmento"
"Segments","Segmentos"
"Set","Conjunto"
"Shipping","Transporte"
"Shopping Cart","Cesta de la Compra"
"Shopping Cart Total","Total del carro de la compra"
"State/Province","Estado/Provincia"
"Status","Estado"
"Store Credit","Crédito de Tienda"
"Subtotal","Subtotal"
"Tax","Impuestos"
"Telephone","Teléfono"
"The segment has been deleted.","El segmento se ha eliminado."
"The segment has been saved.","El segmento se ha guardado."
"Total","Total"
"Unable to delete the segment.","No ha sido posible eliminar el segmento."
"Unable to save the segment.","No ha sido posible guardar el segmento."
"Union","Unión. "
"Unknown operator specified.","Operador desconocido especificado."
"Unknown quote total specified.","Total del presupuesto desconocido especificado."
"Up To Date","Actualizado"
"Use in Customer Segment","Usar en el segmento Cliente"
"View Combined Report","Ver informe combinado"
"Viewing combined ""%s"" report from segments: %s","Viendo informe combinado ""%s"" de los segmentos: %s"
"Viewing combined ""%s"" report from segments: %s.","Mostrando informe ""%s"" combinado del se
Viewing combined ""%s"" report from segments: %s."
"Website","Sitio web"
"Wishlist","Lista de deseos"
"Wrong customer segment requested.","requerida sección de cliente errónea"
"ZIP","Código postal"
"does not exist","No existe"
"does not have","No tiene"
"does not match","no coincide"
"exists","existe"
"has","tiene"
"is not one of","no es uno de"
"is one of","es uno de"
"matches","coincidencias"
"not subscribed","no suscrito"
"ordered","pedido"
"subscribed","suscrito"
"viewed","visto"
