"%d email(s) were sent.","%d email(s) ha(n) sido enviado(s)"
"%d item(s) have been added to gift registry.","%d artículo(s) ha(n) sido añadido(s) a la lista de regalos"
"%s","%s"
"* Required Fields","* Campos Requeridos"
"-- All --","-- Todo --"
"-- Please select --","-- Por favor seleccione --"
"Action","Acción"
"Actions","Acciones"
"Active","Activo"
"Add All To Gift Registry ","Añadir Todo a la Lista de Regalos"
"Add All to Cart","Añadir Todo al Carrito"
"Add Attribute","Añadir Atributo"
"Add Gift Registry Type","Añadir Tipo de Lista de Regalos"
"Add New","Añadir Nuevo"
"Add New Option","Añadir Nueva Opción"
"Add Recipient","Añadir Destinatario"
"Add to Cart","Añadir al Carrito"
"Add to Gift Registry","Añadir a la Lista de Regalos"
"Added On","Añadido"
"Adding more than one attribute with the same static input type is not allowed for the same gift registry type. Please select another input type for your attribute.","No está permitido añadir más de un atributo con el mismo tipo de entrada estático para una misma lista de regalos. Por favor seleccione otro tipo de entrada para su atributo."
"Address","Dirección"
"Address is empty.","La dirección está vacía"
"All Forms","Todos los Formularios"
"An error occurred while deleting gift registry.","Ha ocurrido un error al borrar el registro de regalo."
"An error occurred while editing gift registry.","Ha ocurrido un error al editar el registro de regalo."
"An error occurred while sending email(s).","Ha ocurrido un error al enviar el/los correo(s)."
"An error occurred while sharing gift registry.","Ha ocurrido un error al compartir el registro de regalos."
"An item option with code %s already exists.","Ya existe una selección de artículo con código %s."
"Are you sure you want to add these products?","¿Está seguro que desea añadir estos productos?"
"Are you sure you want to delete this gift registry?","¿Está seguro que desea eliminar esta lista de regalos?"
"Are you sure you want to remove this product from your wishlist?","¿Está seguro que desea retirar este producto de su lista de deseos?"
"Attribute Group","Grupo de Atributos"
"Attributes","Atributos"
"Back","Volver"
"Cannot add item to shopping cart","No se pudo añadir el artículo al carrito de compra"
"Cannot specify product.","No se pudo especificar producto."
"Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart.","No se puede cambiar la cantidad de artículos de la lista de regalos cuando se está revisando. Puede cambiar la cantidad del artículo en la página de Información de la Lista de Regalos o directamente en tu carrito de compra."
"City","Ciudad"
"Code","Código"
"Comment","Comentario"
"Company","Compañía"
"Country","País"
"Create Gift Registry","Crear Lista de Regalos"
"Created On","Creada"
"Created on","Creado el"
"Custom Types","Tipos Personalizados"
"Customer My Account GiftRegistry Add","Cliente Mi Cuenta ListaDeRegalos Añadir"
"Customer My Account GiftRegistry Edit","Cliente Mi Cuenta ListaDeRegalos Editar"
"Customers","Clientes"
"Customize and Add to Gift Registry","Personalice y Añada a Lista de Regalos"
"Date","Fecha"
"Date Format","Formato de Fecha"
"Default Template","Plantilla por Defecto"
"Delete","Eliminar"
"Delete Attribute","Borrar Atributo"
"Delete Option","Borrar Opción"
"Delete Registry","Borrar Registro"
"Deleting this gift registry type will also remove all customers' gift registries created based on it. Are you sure you want to proceed?","Eliminar este tipo de lista de regalos también eliminará todas las listas de regalos de clientes basadas en ella. ¿Está seguro que desea continuar?"
"Edit","Editar"
"Edit '%s' Gift Registry","Editar Lista de Regalos '%s'"
"Edit '%s' Gift Registry Type","Editar Tipo de Lista de Regalos '%s'"
"Edit Gift Registry","Editar Lista de Regalos"
"Edit Type","Editar Tipo"
"Email Address","Dirección de email"
"Email Address:","dirección de email:"
"Email Sender","Remitente del email"
"Email Template","Plantilla de email"
"Email:","Email:"
"Emails","Emails"
"Enable Gift Registry","Permitir Registro de Regalos"
"Enter at least two letters","Introducir al menos dos letras"
"Enter at least two letters of the name","Introducir al menos dos letras del nombre"
"Event","Evento"
"Event Country","País del evento"
"Event Date","Fecha del evento"
"Event Information","Información del evento"
"Event Location","Localización del evento"
"Event Region Id","Id de la región del evento"
"Event Region Text","Texto de la región del evento"
"Failed to add shopping cart items to gift registry.","Fallo al añadir los artículos de la cesta de la compra al registro de obsequios."
"Failed to add wishlist items to gift registry.","Fallo al añadir los artículos de la lista de deseos al registro de obsequios."
"Failed to delete gift registry entity.","Fallo al borrar la entrada del registro de obsequios."
"Failed to delete gift registry type.","Fallo al borrar el tipo de registro de obsequio."
"Failed to save gift registry type.","Fallo al guardar el tipo de registro de obsequio."
"Failed to save gift registry.","Fallo al guardar el registro de obsequio."
"Failed to send %1$d of %2$d email(s).","Fallo al enviar %1$d de %2$d correo(s) electrónico(s)."
"Failed to share gift registry.","Fallo al compartir el registro de obsequios."
"Failed to update gift registry items list.","Fallo al actualizar la lista de artículos del registro de obsequios."
"Failed to update gift registry items.","Fallo al actualizar los artículos del registro de obsequios."
"Fax","Fax"
"First Name","Nombre"
"First Name:","Nombre:"
"From","De"
"Fulfilled","Completado"
"Fulfilled Quantity","Cantidad Completada"
"Full","Completo"
"General Information","Información general"
"General Options","Opciones Generales"
"Gift Registry","Registro de obsequios"
"Gift Registry Entity","Entrada del Registro de Obsequios"
"Gift Registry ID","ID del Registro de Obsequios"
"Gift Registry ID Search","Búsqueda de ID en el Registro de Obsequios"
"Gift Registry Info","Información del Registro de Obsequios"
"Gift Registry Items","Artículos del Registro de Obsequios"
"Gift Registry Items Updated","Artículos del Registro de Obsequios actualizados"
"Gift Registry Owner Notification","Notificación al Propietario del Registro de Obsequios"
"Gift Registry Properties","Propiedades del Registro de Obsequios"
"Gift Registry Quick Search Form","Formulario de búsqueda rápida del Registro de Obsequios"
"Gift Registry Search","Búsqueda en el Registro de Obsequios"
