"%1$d of %2$d invitations were discarded.","Se han descartado %1$d de %2$d invitaciones."
"%1$d of %2$d invitations were sent.","Se han enviado %1$d de %2$d invitaciones."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","No se ha(n) podido enviar %d invitación(es) porque el cliente ya existe para sus direcciones de mail. Se han descartado estas invitaciones."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","No se ha(n) enviado %d invitación(es) porque ya existe una cuenta de cliente para la dirección de mail especificada."
"%d invitation(s) were sent.","Se ha(n) enviado %d invitación(es)."
"%d of selected invitation(s) were skipped.","Se ha(n) saltado %d invitación(es) seleccionadas."
"* Required Fields","* Campos Requeridos"
"Acceptance Rate","Ratio de Aceptación"
"Accepted","Aceptada"
"Accepted and Purchased","Aceptada y Comprada"
"Add Invitations","Añadir Invitaciones"
"Admin","Administrar"
"Allow Customers to Add Custom Message to Invitation Email","Permitir a los Clientes Añadir Mensajes Personalizados al Email de Invitación"
"Are you sure you want to discard this invitation?","¿Estás seguro de querer descartar esta invitación?"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
"Available to All","Disponible para Todos"
"Back","Volver"
"Back to Invitations","Volver a Invitaciones"
"By Invitation Only","Solo mediante Invitación"
"CSV","CSV"
"Conversion Rate","Ratio de Conversión"
"Customer Account Registration by Invitation Form","Formulario de Registro de Cuenta de Cliente mediante Invitación"
"Customer Group","Grupo de Clientes"
"Customer ID","ID de Cliente"
"Customer Invitation","Invitación de Cliente"
"Customer Invitation Email Sender","Emisor de Email de Invitación de Cliente"
"Customer Invitation Email Template","Plantilla de Email de Invitación de Cliente"
"Customer Invitations","Invitaciones de Cliente"
"Customer My Account Invitations Form","Formulario de Invitaciones de Mi Cuenta de Cliente"
"Customer My Account Invitations List","Lista de Invitaciones de Mi Cuenta de Cliente"
"Customer with email ""%s"" already exists.","Ya existe un cliente con la dirección de correo electrónico ""%s""."
"Customers","Clientes"
"Default Customer Group from System Configuration","Grupo de Cliente por Defecto de la Configuración del Sistema"
"Default from System Configuration","Por defecto de Configuración del Sistema"
"Discard Invitation","Invitación descartada"
"Discard Rate","Ratio de Descartes"
"Discard Selected","Descarte Seleccionado"
"Discarded","Descartada"
"Email","Correo electrónico"
"Email is not specified.","No se ha especificado Email."
"Enable Invitations Functionality","Habilitar Funcionalidad de Invitaciones"
"Enable Invitations on Frontend","Habilitar Invitaciones en Primer Plano"
"Enter Each Email on New Line","Indicar Cada Email en una Nueva Línea"
"Excel XML","Excel XML"
"Failed to send %1$d of %2$d invitation(s).","Error al enviar %1$d de %2$d invitación(es)."
"Failed to send %d invitation(s).","Error al enviar %d invitación(es)."
"Failed to send email to %s.","Error al enviar el email a %s."
"First Name","Nombre"
"General","General"
"General Report","Informe General"
"Group","Grupo"
"ID","Identificación"
"Invalid invitation code.","Código erróneo de invitación."
"Invalid invitation email.","Email erróneo de invitación."
"Invalid or empty invitation email.","Email de invitación erróneo o vacío."
"Invalid value used for ""%s"" parameter. Previous value saved.","Valor no válido utilizado para el parámetro ""%s"". Se ha guardado el valor anterior."
"Invitation Form Before","Formulario de invitación antes de"
"Invitation Information","Información de Invitación."
"Invitation List Before","Lista de invitaciones antes de"
"Invitation Message","Mensaje de Invitación."
"Invitation Report by Customers","Informe de Invitaciones de Clientes"
"Invitation Report by Order Conversion Rate","Informe de Invitaciones por Ratio de Conversión de Pedido."
"Invitation Section","Sección de invitaciones"
"Invitation Url","Url de invitación"
"Invitation for %s has been sent.","Se ha enviado una invitación para %s"
"Invitation has no ID.","La invitación no tiene ID"
"Invitation not found.","Invitación no encontrada."
