"%s & applied","%s & aplicado"
"1","1"
"Access denied","Acceso denegado"
"Action","Acción"
"Action Group","Acción de Grupo"
"Admin Actions Log","Diario de Acciones Administrativas"
"Admin Actions Log Archive","Archivo del Diario de Acciones Administrativas"
"Admin Actions Log Archiving","Archivando el Diario de Acciones Administrativas"
"Admin Actions Logging","Registrando las Acciones Administrativas"
"Admin Actions Logs","Diarios de Acciones Administrativas"
"Admin Logging","Administración de Registro"
"Admin My Account","Administrar Mi Cuenta"
"Admin Permission Roles","Administrar Perfiles de Autorización"
"Admin Permission Users","Administrar Permisos de Usuarios"
"Admin Sign In","Administrar Entrada al Sistema"
"Admin User Data","Administrar Datos de Usuario"
"Admin User ID","Administrar Identificación de Usuario"
"Admin User Name","Administrar Nombre de Usuario"
"Aggregated Information","Información en Conjunto"
"All Users","Todos los Usuarios"
"Archive","Archivo"
"Archive File","Fichero de Archivos"
"Attributes Updated","Atributos Actualizados"
"Back","Volver"
"CMS Blocks","Bloqueos de CMS"
"CMS Pages","Páginas del CMS"
"CMS Polls","Sondeos de CMS"
"Cache Management","Gestión de Caché."
"Cache types: %s ","Tipos de caché: %s"
"Catalog Attribute Sets","Configuración de Catálogo de Atributos"
"Catalog Attributes","Catálogo de Atributos"
"Catalog Categories","Catálogo de Categorías"
"Catalog Price Rules","Catálogo de Normas sobre Precios"
"Catalog Product Tax Classes","Catálogo de clases de tasas del producto"
"Catalog Products","Catálogo de productos"
"Catalog Ratings","Catáologo de calificaciones"
"Catalog Reviews","Catálogo de comentarios"
"Catalog Search","Catálogo de búsquedas"
"Catalog Tags","Catálogo de etiquetas"
"Checkout Terms and Conditions","Verificar términos y condiciones"
"Currency Rates Saved","Tasas de cambio guardadas"
"Custom Variables","Variables personalizadas"
"Customer Groups","Grupos de Cliente"
"Customer Tax Classes","Tipos de impuestos del cliente"
"Customers","Clientes"
"Daily","Diario"
"Date","Fecha"
"Enabled Actions","Acciones habilitadas"
"Error Message","Mensaje de error"
"Failure","Fallo"
"Full Action Name","Nombre completo de la acción"
"Full Details","Detalles completos"
"Google Base","Google Base  [[It's used the same way in Spanish]]"
"Google Sitemap","Google Sitemap      [[It's used the same way in Spanish]]"
"IP Address","Dirección IP"
"IP-Address","Dirección-IP"
"Import/Export Profiles","Importar/Exportar Perfiles"
"Index Management","Gestión de Índices"
"Item was deleted","No se ha borrado el artículo."
"Log Archiving Frequency","Frecuencia de Archivado de Log"
"Log Entry #%d","Entrada #%d en el Log"
"Log Entry Details","Detalles de Entrada en Log"
"Log Entry Lifetime, Days","Duración, Días de Entrada de Log"
"Logging","Registrando"
"Manage Currency Rates","Gestionar Tasa de Moneda"
"Manage Design","Gestionar Diseño"
"Manage Store Views","Gestionar Vistas de Tienda"
"Manage Stores","Gestionar Tiendas"
"Manage Websites","Gestionar Páginas Web"
"Monthly","Mensualmente"
"N/A","N/A"
"New","Nuevo"
"Newsletter Queue","Cola de Boletín de Noticias"
"Newsletter Subscribers","Suscriptores de Boletín de Noticias"
"Newsletter Templates","Plantillas de Boletín de Noticias"
"No changes","Sin Cambios"
"PayPal Settlement Reports","Informes de Contrato de PayPal"
"Recurring Profiles","Perfiles recurrentes"
"Related Changes","Cambios Relacionados"
"Report","Informe"
"Reports","Informes"
"Result","Resultado"
"Sales Creditmemos","Memorando de Crédito de Ventas"
"Sales Invoices","Facturas de Ventas"
"Sales Order Status","Estado de Pedido de Ventas"
"Sales Orders","Pedidos de Ventas"
"Sales Shipments","Envíos de Ventas"
"Shopping Cart Price Rules","Reglas de Precio de Carro de Compra"
"Short Details","Detalles Reducidos"
"Source Data","Datos de Fuente"
"Success","Éxito"
"System","Sistema"
"System Backups","Copias seguridad de Sistema"
"System Configuration","Configuración de Sistema"
"Tax Rates","Tarifa de Impuestos"
"Tax Rates Export","Exportar Tarifa de Impuestos"
"Tax Rates Import","Importar Tarifa de Impuestos"
"Tax Rules","Reglas de Impuestos"
"Time","Tiempo"
"Transactional Emails","Emails Transaccionales"
"Urlrewrites","Reescritura de URL"
"User is locked","El usuario está bloqueado"
"Username","Nombre de Usuario"
"Value After Change","Valor Después del Cambio"
"Value Before Change","Valor Antes del Cambio"
"View","Ver"
"View Entry","Ver Entrada"
"Webservices API Roles","Roles web service de API"
"Webservices API Users","Usuarios de API de Web Services"
"Weekly","Semanalmente"
"Widget Instances","Instancias de Widget"
"X-Forwarded For","X-Reenviado Para"
