"Authorization transaction is required to void.","Para anular se requiere la transacción de autorización."
"Data Transfer Key","Clave de Transferencia de Datos"
"Debug","Depurar"
"Enabled","Habilitado"
"Gateway Basic URL","URL Básica de Puerta de Enlace"
"Gives effect only when payment bridge is active.","Surte efecto solamente cuando la pasarela de pago está activa."
"IPN postback HTTP error: %s","Error HTTP de devolución de Notificación de Pago Instantánea (IPN): %s"
"IPN postback Validation error: %s","Error de Validación de devolución de Notificación de Pago Instantánea (IPN): %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Imposible emitir una transacción de reembolso, porque la transacción de captura no existe."
"Merchant Code","Código de Comerciante"
"Merchant Key","Clave de Comerciante"
"Payment Bridge","Pasarela de Pago"
"Payment Bridge Selected","Pasarela de Pago Seleccionada"
"Payment Bridge authentication data is not present","No están presentes los datos de autenticación de la Pasarela de Pago"
"Payment Bridge service error.","Error del servicio de Pasarela de Pago"
"Payment Bridge service error: %s","Error del servicio de Pasarela de Pago: %s"
"Payment Method Code is not passed.","No se ha pasado el Código de Método de Pago."
"Unable to communicate with Payment Bridge service.","No se puede comunicar con el servicio de Pasarela de Pago."
"Use via Payment Bridge","Uso a través de la Pasarela de Pago"
