"* Required Fields","* Campos obligatorios"
"Address","Dirección"
"Address Information","Información de dirección"
"Already registered?","¿Ya registrado?"
"Back","Volver"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nuestra tienda, podrás moverte por el proceso de compra más rápido, almacenar varias direcciones de envío, ver y seguir tus pedidos en tu cuenta y más."
"Checkout as Guest","Paga como Invitado"
"Checkout as a Guest","Comprar como Invitado"
"Checkout as a Guest or Register","Comprar como Invitado o Registrarse"
"City","Ciudad"
"Company","Empresa"
"Confirm Password","Confirmar Contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Crear una Cuenta"
"Easy access to your order history and status","Fácil acceso a tu estado e historial de pedidos"
"Email Address","Dirección de correo electrónico"
"Fast and easy check out","Rápido y sencillo proceso de compra"
"Fax","Fax"
"Forgot Your Password?","¿Olvidaste Tu Contraseña?"
"Forgot your password?","¿Olvidaste tu contraseña?"
"If you have an account with us, log in using your email address.","Si tienes una cuenta con nosotros, accede usando tu dirección de email."
"Loading next step...","Cargando paso siguiente..."
"Login","Iniciar sesión"
"Login Information","Información de inicio de sesión"
"Login or Create an Account","Identifíquese o cree una cuenta"
"New Customers","Nuevos clientes"
"Password","Contraseña"
"Persist Comparison History","Conservar el Historial de comparaciones"
"Persist Currently Compared Products","Conservar los productos actualmente comparados"
"Persist Customer Group Membership and Segmentation","Conservar la pertenencia al Grupo de Clientes y la Segmentación"
"Persist Recently Ordered Items","Conservar los artículos recientemente pedidos"
"Persist Recently Viewed Products","Conservar los productos recientemente vistos"
"Persist Wishlist","Conservar la lista de deseos"
"Personal Information","Información personal"
"Please log in below:","Por favor indentifíquese abajo:"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Register","Registrarse"
"Register and save time!","¡Regístrese y ahorre tiempo!"
"Register to Create an Account","Registrarse para crear una cuenta"
"Register with us for future convenience:","Regístrese con nosotros para mayor comodidad en el futuro:"
"Registered Customers","Clientes registrados"
"Save in address book","Guardar en la libreta de direcciones"
"Select State/Province...","Seleccionar Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccionar una dirección de facturación de su agenda o introducir una dirección nueva."
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Sign Up for Newsletter","Suscribirse al boletín de noticias"
"State/Province","Estado/Provincia"
"Street Address","Número"
"Submit","Enviar"
"Telephone","Teléfono"
"Zip/Postal Code","Código postal"
