"""Cap Reward Points Balance"" should be positive number or empty.","El ""Balance de Puntos de Premio Límite"" debería ser un número positivo o estar vacío."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","El ""Balance de Puntos de Premio Mínimo"" debería ser menor o igual que el ""Balance de Puntos de Premio Límite""."
"""Minimum Reward Points Balance"" should be positive number or empty.","El ""Balance de Puntos de Premio Mínimo"" debería ser un número positivo o estar vacío."
"%s Reward points","%s puntos de recompensa"
"%s Reward points (%s)","%s puntos de recompensa (%s)"
"Actions for Acquiring Reward Points by Customers","Acciones para que los clientes obtengan puntos de recompensa"
"Add New Rate","Agregar nueva tarifa"
"Add Reward Points","Agregar puntos de recompensa"
"Added for spent money according to reward exchange rates.","Se agregan de acuerdo a sumas de dinero gastadas, de acuerdo a las tarifas de cambio de recompensas."
"After approval by administrator.","Después de recibir aprobación de un administrador."
"All Customer Groups","Todos los grupos de clientes"
"All Websites","Todos los Sitios Web"
"Amount","Importe"
"Amount Balance","Monto de saldo"
"Applies only to registered customers, may vary when logged in.","Sólo se aplica a los clientes registrados. Puede variar después de iniciar sesión."
"Balance","Saldo"
"Balance History","Histórico de saldo"
"Balance Update Email","Correo electrónico de actualización de saldo"
"Balance is capped at %s.","El saldo máximo es de %s."
"Balance limitations:","Límites de saldo:"
"Can Spend Reward Points","Puede Gastar Puntos de Gratificación"
"Cannot save Rate.","No se puede guardar la tarifa."
"Cap Reward Points Balance At","Saldo máximo de puntos de recompensa"
"Checkout now and earn %s for this order.","Termine su compra ahora y gane %s por este pedido."
"Comment","Comentario"
"Converting Invitation to Customer","Convirtiendo invitación a cliente"
"Converting Invitation to Order","Convirtiendo invitación a pedido"
"Created At","Creado en"
"Currency Amount","Monto"
"Currency to Points","Monto a puntos"
"Current exchange rates:","Tarifas de cambio actuales:"
"Customer Group","Grupo de Clientes"
"Customer earned %s for the order.","El cliente obtuvo %s por el pedido."
"Customer earned promotion extra %s.","El cliente obtuvo un adicional de promoción de %s."
"Customers","Clientes"
"Customers May See Reward Points History","Los clientes pueden ver el historial de puntos de recompensa"
"Date","Fecha"
"Delete Orphan Points","Eliminar puntos huérfanos"
"Direction","Dirección"
"Dynamic","Dinámico"
"Each","Cada"
"Each %s can be redeemed for %s.","Cada %s puede canjearse por %s."
"Each %s spent will earn %s.","Con cada %s que se gaste se obtendrán %s."
"Each earned reward points record expires in %s days.","Todos los registros de puntos de recompensa ganados vencen en %s días."
"Earn %s for purchases by your invitees.","Obtenga %s por las compras de sus invitados."
