"""%s"" exceeds the allowed length.","""%s"" excede la extensión permitida."
"""%s"" invalid type entered.","""%s"" introducido inválido."
"""%s"" is not a valid email address.","""%s"" no es una dirección de e-mail válida."
"""%s"" is not a valid hostname.","""%s"" no es un servidor válido."
"#","#"
"%s RMA (s) have been closed.","%s RMA (s) se han cerrado"
"%s RMA(s) cannot be closed","%s RMA(s) no se puede cerrar"
"%s for item %s cannot be empty.","%s para el artículo %s no puede estar vacio."
"About This Order:","Sobre este pedido:"
"Action","Acción"
"Add","Añadir"
"Add Details","Añadir detalles"
"Add Item To Return","Añadir artículo a devolver"
"Add New Attribute","Añadir nuevo atributo"
"Add Products","Añadir productos"
"Add Selected Product(s) to RMA","Añadir producto(s) seleccionado(s) a la RMA"
"All Items","Todos los artículos"
"An error occurred while deleting the RMA item attribute.","Se produjo un error al borrar el atributo de artículo RMA."
"An error occurred while saving the RMA item attribute.","Se produjo un error al guardar el atributo de artículo RMA."
"Answers","Respuestas"
"Approved","Aprobado"
"Approved Qty","Cantidad aprobada"
"Are you sure you want to cancel this RMA?","¿Está seguro de querer cancelar esta RMA?"
"Are you sure you want to delete this tracking information?","¿Está seguro de querer borrar esta información de seguimiento?"
"Attribute Information","Información del atributo"
"Attribute is no longer exists.","El atributo ya no existe."
"Attribute with the same code already exists","El atributo con el mismo código ya existe"
"Authorized","Autorizado"
"Authorized Qty","Cantidad autorizada"
"Back","Volver"
"Cancel","Cancelar"
"Cannot add RMA history.","No se puede añadir historia de RMA."
"Cannot add label.","No se puede añadir etiqueta."
"Cannot add message.","No se puede añadir mensaje"
"Cannot add tracking number.","No se puede añadir número de seguimiento."
"Cannot create New Return, try again later","No se puede crear una nueva devolución, inténtelo de nuevo más tarde."
"Cannot create rma for order #%s.","No se puede crear RMA para el pedido #%s."
"Cannot delete label.","No se puede borrar la etiqueta."
"Cannot delete tracking number.","No se puede borrar el número de seguimiento."
"Cannot display available shipping methods.","No se pueden mostrar las formas de envío."
"Cannot display item attributes.","No se pueden mostrar los atributos del artículo."
"Cannot get product list.","No se puede obtener la lista de productos."
"Cannot initialize rma for adding tracking number.","No se puede inicializar la RMA para añadir el número de seguimiento."
"Cannot initialize rma for delete tracking number.","No se puede inicializar la RMA para borrar el número de seguimiento."
"Cannot load track with retrieving identifier.","No se puede cargar el seguimiento recuperando el identificador."
"Carrier","Compañía de transportes"
"City","Ciudad"
"Click to change shipping method","Haga clic para cambiar la forma de envío"
"Close","Cerrar"
"Close Window","Cerrar ventana"
"Closed","Cerrado"
"Comma separated","Separado por comas"
"Comma-separated.","Separado por comas."
"Comment Text","Texto del comentario"
"Comments","Comentarios"
"Condition","Condición"
"Contact Email Address","Dirección de correo electrónico de contacto"
"Contact Name","Persona de contacto"
"Country","País"
"Create New RMA","Crear nuevo RMA"
"Create New RMA for %s","Crear nuevo RMA para %s"
"Create New RMA for %s in %s","Crear nuevo RMA para %s en %s"
"Create New Return","Crear nueva devolución"
"Create RMA","Crear RMA"
"Create Shipping Label","Crear Etiqueta de Envío"
"Customer","Cliente"
"Customer My Account Order Returns View","Vista de Devolución de Pedidos en Mi Cuenta de Cliente"
"Customer My Account Return View","Vista de Devoluciones en Mi Cuenta de Cliente"
"Customer My Return Create","Crear Mi Devolución de Cliente"
"Customer My Returns History","Historial de Mis Devoluciones de Cliente"
"Customer Name","Nombre de Cliente"
"Customer Service","Servicio al cliente"
"Customs Value","Valor en Aduana"
"Date","Fecha"
"Date Requested","Fecha de solicitud"
"Delete","Eliminar"
"Delete Attribute","Borrar atributo"
"Delete Line","Borrar línea"
"Denied","Denegado"
"Details","Detalles"
"Dropdown","Desplegable"
"Edit RMA Item Attribute","Editar atributo de artículo RMA"
"Edit RMA Item Attribute ""%s""","Editar el atributo ""%s"" del artículo RMA"
"Email Address","Dirección de correo electrónico"
"Email RMA Confirmation","Enviar por email confirmación de RMA"
"Enable RMA on Frontend","Activar RMA en Panel Delantero"
"Enable RMA on Product Level","Activar RMA en Nivel de Productos"
"Enabled","Habilitado"
"Enabled for RMA","Activar para RMA"
"Enabled when authorized items require a new shipment","Activado cuando artículos autorizados requieran un nuevo envío"
"Enter valid Tracking Number.","Introducir Número de Seguimiento válido."
"Enter valid message.","Introducir mensaje válido."
"Failed to save RMA.","No se ha podido guardar RMA"
"File Extensions","Extensiones de Fichero"
"Forms to Use In","Formularios para utilizar"
"Frontend Properties","Propiedades del Panel Delantero"
"General Information","Información General"
"Guest Order Create Return","Resultado de Creación de Pedido de Invitado"
"Guest Order Returns View","Ver Resultado de Pedido de Invitado"
"Guest Order View Return","Resultado de Vista de Pedido de Invitado"
"Height","Altura"
"Hide Details","Esconder los detalles"
"ID","ID"
"Image File","Archivo de Imagen"
"Individual Items","Artículos individuales"
"Input Type","Tipo de Entrada"
"Input Validation","Validación de Entrada"
"Input/Output Filter","Filtro Entrada/Salida"
"Invalid RMA.","RMA no válido."
"Invalid carrier: %s.","Transportista no válido: %s."
"Invalid order.","Orden  no válida."
"It isn\'t valid order","No es una orden válida."
"Item","Artículo"
"Item Condition","Estado del artículo"
"Items","Artículos"
"Items Return Requested For","Devolución de artículos solicitados"
"Items in the Package","Artículos en el Paquete"
"Leave Comment","Dejar comentario"
"Length","Longitud"
"Lines Count","Recuento de líneas"
"Manage Label / Options","Gestión de etiquetas / opciones"
"Manage RMA","Gestión de RMA"
"Manage RMA Item Attribute","Gestión de atributo del artículo RMA"
"Manage RMA Item Attributes","Gestión de atributos del artículo RMA"
"Manage RMA Items Attributes","Gestión de atributos de los artículos RMA"
"Maximum File Size (bytes)","Tamaño máximo de archivo (bytes)"
"Maximum Image Height (px)","Altura máxima de imagen (px)"
"Maximum Image Width (px)","Anchura máxima de imagen (px)"
"Maximum Text Length","Longitud máxima del texo"
"Minimum Text Length","Longitud mínima del texto"
"My Returns","Mis devoluciones"
"New Attribute","Nuevo atributo"
"New RMA","Nuevo RMA"
"New RMA Item Attribute","Nueva característica del artículo RMA"
"New RMA Request","Nueva petición de RMA"
"New RMA for Guest","Nuevo RMA para clientes"
"New Return for Order %s","Nueva devolución para el pedido %s"
"No","No"
"No authorized items or allowed shipping methods","No hay artículos autorizados o métodos de envío permitidos"
"No detail for number ""%s""","Sin detalles del número ""%s"""
"No items for bundle product.","No hay artículos para paquete de productos"
"None","Ninguno"
"Not Notified","No notificado"
"Notified","Notificado"
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Number","Número"
"OK","Aceptar"
"Only one RMA is available for printing","Solo se permite imprimir un RMA"
"Order #","Pedido #"
"Order # %s","Pedido # %s"
"Order #%s - %s","Pedido #%s - %s"
"Order Date","Fecha de Pedido"
"Order Date: ","Fecha del pedido:"
"Order Date: %s","Fecha del pedido: %s"
"Order ID","ID de Pedido"
"Order Shipping Address","Dirección de envío"
"Packages","Paquetes"
"Partially Approved","Aprobado parcialmente"
"Partially Authorized","Parcialmente autorizado"
"Partially Rejected","Parcialmente denegado"
"Pending","Pendiente"
"Please Select Order","Por favor, elija un pedido"
"Please Select Products to Add","Por favor, elija los productos que desea añadir"
"Please select one of the options.","Por favor, elija una de las opciones."
"Please wait, loading...","Espere, por favor. Cargando..."
"Price","Precio"
"Print","Imprimir"
"Print Shipping Label","Imprimir Etiqueta de Envío"
"Processed and Closed","Procesado y cerrado"
"Product","Producto"
"Product Name","Nombre de Producto"
"Properties","Propiedades"
"Qty","Cant."
"Qty:","Cant.:"
"Quantity To Return","Cantidad a devolver"
"Quantity of %s is greater than you can return.","Cantidad de %s es mayor de lo que puede devolver"
"Questions","Preguntas"
"RMA","RMA"
"RMA #","RMA #"
"RMA Admin Comments","Comentarios de administración de RMA"
"RMA Admin Comments for Guest","Comentarios de administración de RMA para Invitado"
"RMA Authorization","Autorización de RMA"
"RMA Authorization Email Sender","Remitente del e-mail de la autorización de RMA"
"RMA Authorization Email Template","Plantilla de correo electrónico de autorización RMA"
