"%s order(s) have been archived.","Se ha(n) archivado %s pedido(s)."
"%s order(s) have been canceled.","Se ha(n) cancelado %s pedidos."
"%s order(s) have been put on hold.","Se ha(n) puesto en espera %s pedido(s)."
"%s order(s) have been released from holding status.","%s pedido(s) se ha(n) liberado de su estado de espera."
"%s order(s) have been removed from archive.","Se ha(n) eliminado %s pedido(s) del archivo."
"Archive","Archivo"
"Archive Orders Purchased","Pedidos del Archivo Adquiridos"
"Column not found","Columna no encontrada"
"Creditmemos","Memorandos de Crédito"
"Creditmemos Archive","Archivo de Memorandos de Crédito"
"Enable Archiving","Habilitar Archivado"
"Go to Archive (%s orders)","Ir a Archivo (%s pedidos)"
"Invoices","Facturas"
"Invoices Archive","Archivo de Facturas"
"Move to Archive","Mover a Archivo"
"Move to Order Managment","Mover a Gestión de Pedidos"
"Move to Orders Management","Mover a Gestión de Pedidos"
"Order Statuses to be Archive","Estados de Pedido a Archivar"
"Orders","Pedidos"
"Orders Archive","Archivo de Pedidos"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archivo de Pedidos, Facturas, Envíos, Memorandos de Créditos"
"Please specify order id to be archived.","Por favor, especifica un id de pedido para archivar."
"Please specify order id to be removed from archive.","Por favor, especifica un id de pedido para eliminar del archivo."
"Positioning column not found","Columna de posicionamiento no encontrada."
"Restore from Archive","Recuperar del Archivo"
"Sales Archive","Archivo de Ventas"
"Selected order(s) cannot be archived.","No se ha(n) podido archivar el/los pedido(s) seleccionado(s)"
"Shipments","Envíos"
"Shipments Archive","Archivo de Envíos"
"Table not found","Tabla no encontrada"
"The order has been archived.","El pedido se ha archivado."
"The order has been removed from the archive.","Se ha eliminado el pedido del archivo."
"There are %s orders in archive. All of them will be moved to regular table after archive is disabled.","Hay %s pedidos en el archivo. Se moverán todos a una tabla común después de deshabilitar el archivo."
