"Action","Acción"
"Add New Search Term","Añadir Nueva Cláusula de Búsqueda"
"Display in Suggested Terms","Mostrar Cláusulas Sugeridas"
"Edit","Editar"
"Enable Search Recommendations","Habilitar Recomendaciones de Búsqueda"
"Enable Search Suggestions","Habilitar Sugerencias de Búsqueda"
"Enable Solr Engine for Catalog Navigation","Habilitar Motor Solr para Navegación de Catálogo"
"ID","ID"
"No","No"
"Note: Enabling this option affects the perfomance.","Aviso: Habilitar esta opción afecta al rendimiento."
"Number of Uses","Número de Usos"
"Redirect","Redirigir"
"Related Search Terms","Cláusulas de Búsqueda Relacionadas"
"Results","Resultados"
"Search Engine","Motor de Búsqueda"
"Search Query","Query de Búsqueda"
"Search Recommendations Count","Contador de Recomendaciones de Búsqueda"
"Search Suggestions Count","Contador de Sugerencias de Búsqueda"
"Show Results Count for Each Recommendation","Mostrar el Contador de Resultados para Cada Recomendación"
"Show Results Count for Each Suggestion","Mostrar el Contador de Resultados para Cada Sugerencia"
"Solr Server Hostname","Hostname del Servidor de Solr"
"Solr Server Password","Contraseña del Servidor de Solr"
"Solr Server Path","Path del Servidor de Solr"
"Solr Server Port","Puerto del Servidor de Solr"
"Solr Server Timeout","Timeout del Servidor de Solr"
"Solr Server Username","Usuario del Servidor de Solr"
"Store","Tienda"
"Synonym For","Sinónimo para"
"Test Connection","Prueba de Conexión"
"Unable to perform search because of search engine missed configuration.","No ha sido posible realizar la búsqueda debido a la falta de configuración del motor de búsqueda."
"Without starting and trailing slashes.","Sin Starting ni Trailing Slashes"
"Yes","Sí"
"Enter search keyword","Introducir término de búsqueda"
