"(Staging Copy)","(Preparando copia)"
"Accessible","Accesible"
"Action","Acción"
"Action Before Resetting","Acción antes de restablecer"
"Add","Agregar"
"Add Staging Website","Agregar sitio web de preparación"
"Add new store view map","Agregar nueva asignación de vista de tienda"
"All automatically created entry points will reside in this folder. The folder should be writeable.","Todos los puntos de entrada creados automáticamente se almacenarán en esta carpeta. Debe ser posible escribir en ella."
"All backup items are outdated. The backup is read-only.","Todos los artículos de respaldo son obsoletos. La copia de respaldo es de sólo lectura."
"An error occurred while adding products that must be unlinked on merge with staging website.","Ha ocurrido un error al añadir productos que no deben estar enlazados en la fusión con la página web intermedia."
"An error occurred while merging. Please review log and try again.","Ha ocurrido un error al fusionar. Por favor, revisa el registro e inténtalo de nuevo."
"An error occurred while performing rollback. Please review the log and try again.","Se produjo un error al llevar a cabo la anulación. Consulte el registro y vuelva a intentarlo."
"An error occurred while removing products that must be unlinked on merge with staging website.","Ha ocurrido un error al quitar productos que no deben estar enlazados en la fusión con la página web intermedia."
"An error occurred while saving staging data. Please review log and try again.","Ha ocurrido un error al guardar datos intermedios. Por favor, revisa el registro e inténtalo de nuevo."
"An error occurred while validating data. Please review the log and try again.","Ha ocurrido un error al validar datos. Por favor, revisa el registro e inténtalo de nuevo."
"An exception occurred while performing an SQL query: %s. ","Ha ocurrido una excepción al efectuar una consulta de SQL: %s."
"An exception occurred while performing an SQL query: %s. Query: %s","Se produjo una excepción al llevar a cabo una consulta SQL: %s. Consulta: %s"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
"Are you sure?","¿Está seguro?"
"Automatically Create Entry Points for Staging Websites","Crear automáticamente puntos de entrada para sitios web de preparación"
"Back","Volver"
"Backup","Copia de respaldo"
"Backup General Info","Información general de copia de respaldo"
"Backup Main Information","Información principal de copia de respaldo"
"Backup Name","Nombre de copia de respaldo"
"Backup version: ","Versión de copia de respaldo:"
"Backups","Copias de seguridad"
"Base URL","Dirección URL básica"
"Before creating a staging website, please make sure that the base URLs of the source website are properly defined.","Antes de crear una página web intermedia, asegúrate de que las URL base de la página web fuente están correctamente definidas."
"Bundles","Lotes"
"CMS Blocks","Bloqueos de CMS"
"CMS Pages","Páginas del CMS"
