"Active","Activo"
"Add Rule","Regla de añadir."
"Add to Cart","Añadir al Carrito"
"Add to Compare","Añadir para comparar."
"Add to Wishlist","Añadir a lista que quieres."
"An error occurred while saving Product Rule.","Ha ocurrido un error mientras se guardaba la regla del producto."
"Applies To","Se aplica a"
"Apply To","Aplicar a."
"Based on your selection, you may be interested in the following items:","Basándonos en tu selección, puede que estés interesado(a) en los siguientes artículos."
"Both Selected and Rule-Based","Ambos seleccionados y basados en la regla."
"Catalog","Catálogo"
"Check items to add to the cart or","Comprueba los productos para añadir al carro o."
"Close","Cerrar"
"Conditions Combination","Combinación de condiciones"
"Constant Value","Valor constante."
"Cross-sells","Ventas cruzadas."
"Date Ends","Fecha límite."
"Date Starts","Fecha de comienzo."
"Delete Rule","Eliminar Regla"
"Edit Rule '%s'","Editar Regla '%s'"
"End Date should be greater than Start Date","La fecha límite debe ser mayor a la fecha de comienzo."
"From Date","A partir de la fecha"
"General Rule Information","Información de reglas generales."
"ID","ID"
"Inactive","Inactivo"
"Invalid product list type","Tipo de lista de producto invalida."
"Manage Product Rules","Administrar las reglas del producto."
"Matched Product %s","Porcentage de combinación de producto."
"Maximum Number of Products in Cross-Sell Product List","Número máximo de productos en lista de venta cruzada de productos."
"Maximum Number of Products in Related Products List","Maxímo número de productos en lista relacionada de productos."
"Maximum Number of Products in Upsell Product List","Número máximo de productos en lista de sobrecompra de productos."
"Maximum number of products that can be matched by this Rule. Capped to 20.","Número máximo de productos  que pueden ser combinados por esta regla. Hastas un máximo de 20."
"New Rule","Nueva Regla"
"Please choose a condition to add...","Por favor, elige una condición para añadir..."
"Please define product data object","Por favor, define el objeto de los datos del producto."
"Position Behavior","Comprotamiento de posición."
"Price (percentage)","Precio (porcentage)."
"Priority","Prioridad"
"Product %s%s%s%s%s%s%s","Producto %s%s%s%s%s%s%s"
"Product Attributes","Atributos del producto"
"Product Match Conditions (leave blank for matching all products)","Condiciones de Correspondencia de Producto (dejar en blanco para hacer coincidir con todos los productos)"
"Product Result Conditions (leave blank for matching all products)","Condiciones de Resultado de Producto (dejar en blanco para hacer coincidir con todos los productos)"
"Product Rule Information","Información de Regla de Producto"
"Product Special","Producto Especial"
"Product list type identifier does not defined","No se ha definido el identificador de tipo de lista de producto"
"Products to Display","Productos a Mostrar"
"Products to Match","Productos a Comparar"
"Related Products","Productos Relacionados"
"Result Limit","Límite de Resultado"
"Rule Information","Información sobre la Regla"
"Rule Name","Nombre de la Regla"
"Rule-Based Only","Solo Basado en Reglas"
"Rule-Based Product Relations","Relaciones de Producto Basado en Reglas"
"Rule-based Positions","Posiciones Basadas en Reglas"
"Rule-based Product Relations","Relaciones de productos basadas en reglas"
"Rule-based Settings","Configuración Basada en Reglas"
"Save Rule","Guardar Regla"
"Save and Continue Edit","Guardar y continuar editando"
"Selected Only","Solo lo seleccionado"
"Show Cross-Sell Products","Mostrar Productos de Venta Cruzada"
"Show Related Products","Mostrar Productos Relacionados"
"Show Upsell Products","Mostrar Productos de Venta Sugestiva"
"Status","Estado"
"Target Product ","Producto Objetivo"
"The rule has been deleted.","La regla ha sido eliminada."
"The rule has been saved.","La regla ha sido guardada."
"This rule no longer exists","Esta regla ya no existe"
"To Date","Hasta la fecha"
"Unable to find a page to delete","No se ha podido encontrar una página para borrar"
"Undefined Catalog Product List Type","Tipo de Lista de Producto de Catálogo no Definido"
"Up-sells","Ventas Sugestivas"
"Use Config Settings","Usar Opciones de Configuración"
"Wrong rule specified.","Regla especificada incorrecta."
"You may also be interested in the following product(s)","Te podría(n) interesar también el/los siguiente(s) producto(s)"
"[GLOBAL]","[GLOBAL]"
"equal to","igual a"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"less","menor"
"more","más"
"select all","seleccionar todo"
"the Child of the Matched Product Categories","el Hijo de las Categorías de Productos Coincidentes"
"the Same as Matched Product Categories","el Mismo que las Categorías de Productos Coincidentes"
"unselect all","Deseleccionar todo"
