"All","Tous"
"Allowed Scopes","Ampleurs permises"
"An order cannot be created in disallowed store.","Une commande ne peut être crée dans une boutique rejetée."
"Custom","Sur mesure"
"None","Aucune"
"Not enough permissions to delete this item.","Pas assez de permissions pour effacer cet article."
"Not enough permissions to save specified Combination of Store Scopes.","Pas assez de permissions pour sauvegarder la combinaison spécifiée d'ampleurs de boutique."
"Not enough permissions to save this item.","Pas assez de permissions pour sauvegarder cet article."
"Not enough permissions to set All Scopes to a Role.","Pas assez de permissions pour attribuer toutes les ampleurs à un Rôle."
"Not enough permissions to view this item.","Pas assez de permissions pour voir cet article."
"Please assign this entity to a store view.","Veuillez assigner cette entité à une vue de boutique."
"Please specify at least one website or one store group.","Veuillez au moins spécifier un site internet ou un groupe de boutiques."
"Role Scopes","Ampleurs du Rôle"
"This item must be assigned to a store view.","Cet article doit être assigné à une vue de boutique."
"This item must be assigned to a website.","Cet article doit être assigné à un site internet."
"Website ""%s"" is not allowed in your current permission scope.","Votre étendue des autorisations actuelle ne vous donne pas accès au site Web ""%s""."
"Wrong store ID: %d","Mauvaise identification de boutique: %d"
"Wrong website ID: %d","Mauvaise identification de site internet: %d"
