"-- None --","-- Aucun --"
"Active","Actif"
"Add Banner","Ajouter bannière"
"An error occurred while deleting banner data. Please review log and try again.","Une erreur s'est produite lors de l'effacement des données de la bannière. Veuillez vérifier le registre d'activités et essayer à nouveau."
"An error occurred while mass deleting banners. Please review log and try again.","Une erreur s'est produite lors de l'effacement en masse des bannières. Veuillez vérifier le registre d'activités et essayer à nouveau."
"Any","Toute"
"Any Banner Type","Tout type de bannière"
"Applies To","S'applique "
"Applies to Any of the Specified Customer Segments","S'applique à tous segments du client spécifié"
"Are you sure you want to delete these banners?","Êtes-vous sûr(e) de vouloir effacer ces bannières?"
"Banner Block Template","Modèle de bloc bannière"
"Banner Default Content for All Store Views","Contenu par défaut de bannière pour toutes les vues de boutique"
"Banner Information","Information de bannière"
"Banner Inline Template","Modèle conforme de bannière"
"Banner Name","Nom de bannière"
"Banner Properties","Propriétés de bannière"
"Banner Rotator","Tourneur de bannière"
"Banner Types","Types de bannière"
"Banners","Bannières"
"Banners to Display","Bannières à afficher"
"CMS","CMS"
"Catalog Promotions Related","En relation aux promotions du catalogue"
"Content","Contenu"
"Content Area","Zone de contenu"
"Customer Segments","Segments client"
"Default Content","Contenu par défaut"
"Delete","Effacer"
"Delete Banner","Effacer bannière"
"Displays Specified or Promotion Banners","Affiche les bannières promotionnelles ou spécifiées"
"Do not rotate, display all at once","Ne pas tourner, affiche tout en même temps"
"Edit Banner","Changer bannière"
"Footer","Pied"
"Header","Chapeau"
"ID","Identification"
"Left Column","Colonne gauche"
"Manage Banners","Gérer bannières"
"Name must not be empty.","Le nom ne doit pas être vide"
"New Banner","Nouvelle bannière"
"No","Non"
"No Default Content","Pas de contenu par défaut"
"One at the time, Random","Une à la fois, au hasard"
"One at the time, Series","Une à la fois, séries"
"One at the time, Shuffle","Une à la fois, mélange"
"Please select banner(s).","Veuillez sélectionner la (les) bannière(s)."
"Please specify default content for at least one store view.","Veuillez spécifier un contenu par défaut au moins pour une vue de boutique."
"Position","Position"
"Related Banners","Bannières en rapport"
"Related Catalog Price Rules","Règles en rapport de prix catalogue"
"Related Promotions","Promotions en rapport"
"Related Shopping Cart Price Rules","Règles en rapport de prix du caddy"
"Restrict by Banner Types","Limiter par types de bannière"
"Right Column","Colonne droite"
"Rotation Mode","Mode rotatif"
"Save Banner","Sauvegarder bannière"
"Save and Continue Edit","Sauvegarder et continuer à changer"
"Shopping Cart Promotions Related","En rapport aux promotions du caddy"
"Specified","Spécifié"
"Specified Banner Types","Types de bannière spécifiés"
"Specified Banners","Bannières spécifiées"
"Specify Banners","Spécifier bannières"
"Specify Types","Types de spécification"
"Store View Specific Content","Vue d'un contenu spécifique de la boutique"
"The banner has been deleted.","La bannière a été effacée."
"The banner has been saved.","La bannière a été sauvegardée."
"This banner no longer exists.","Cette bannière n'existe plus."
"Total of %d record(s) have been deleted.","Un total de %d enregistrements ont été effacés."
"Unable to find a banner to delete.","Ne peut trouver de bannière à effacer."
"Unable to save the banner.","Ne peut sauvegarder la bannière."
"Use Default","Utiliser défaut"
"Visible In","Visible dans"
"Yes","Oui"
