"Access denied.","Accès dénié."
"Action","Action"
"Add Products","Ajouter des produits"
"Add Selected Product(s) to Shopping Cart","Ajouter les produits sélectionnés au caddy"
"An error has occurred. See error log for details.","Une erreur s'est produite. Consultez le journal de bord pour les détails."
"Apply","Appliquer"
"Apply Coupon Code","Appliquer le code du coupon"
"Cancel","Annuler"
"Choose some products to add to shopping cart.","Choisissez des produits à ajouter à votre panier."
"Coupon code ""%s"" is not valid","Le code coupon ""%s"" n'est pas valable"
"Customer not found","Client non trouvé"
"Customers","Clients"
"Discount","Remise"
"Excl. Tax","TVA exclue"
"Failed to add a product of order item","Échec pour ajouter un produit de la commande"
"Failed to reorder item","Échec pour commander à nouveau l'article"
"ID","Identification"
"Incl. Tax","TVA incluse"
"Invalid block: %s.","Bloc invalide : %s."
"Last ordered items (%s)","Derniers articles commandés (%s)"
"Manage Customers","Gérer les clients"
"Manage Shopping Cart","Gérer le caddy"
"Move to Wishlist","Passer à la liste de vœux"
"No ordered items","Pas d'articles commandés"
"Ordered item id is not received.","L'identifiant de l'article commandé n'a pas été reçu."
"Ordered item is not loaded.","L'article commandé n'a pas été chargé."
"Price","Prix"
"Product","Produit"
"Product Name","nom du produit"
"Product name","Nom du produit"
"Products","Produits"
"Products in the Comparison List (%s)","Produits dans la liste de comparaison (%s)"
"Qty","Qté"
"Qty To Add","Qté à ajouter"
"Quote item id is not received.","L'identifiant de l'article évalué n'a pas été reçu."
"Quote item is not loaded.","L'article évalué n'a pas été chargé."
"Recently Compared Products (%s)","Produits comparés récemment (%s)"
"Recently Viewed Products (%s)","Produits vus récemment (%s)"
"Remove","Enlever"
"Remove Coupon Code","Enlever le code du coupon"
"Row Subtotal","Rangée sous-total"
"SKU","UGS"
"Shopping Cart","Caddy"
"Shopping Cart Items","Articles du caddy"
"Shopping Cart Management","Gestion du caddy"
"Shopping Cart for %s in %s","Caddy pour %s en %s"
"Shopping cart management disabled for this customer.","Gestion du caddy désactivée pour ce client."
"Store not found.","Magasin introuvable."
"Subtotal","Sous-total"
"Subtotal:","Sous-total:"
"Total","Total"
"Total %d product(s)","Total %d produit(s)"
"Total incl. tax","Total, TVA incluse"
"Update Items and Qty's","Mettre à jour les articles et Qté"
"View Shopping Cart","Voir le caddy"
"View and modify Shopping Cart","Voir et modifier le caddy"
"Wishlist (%s)","Liste de vœux (%s)"
"Wishlist item id is not received.","L'identifiant de l'article désiré n'a pas été reçu."
"Wishlist item is not loaded.","L'article désiré n'a pas été chargé."
