"* Required Fields","*champs obligatoires"
"-- Please Select --","Sélectionnez"
"Account Information","InformationS du compte"
"Add New Address","Ajouter nouvelle adresse"
"Add New Attribute","Ajouter nouvel attribut"
"Additional Address Entries","Complément d'adresse"
"Address","Adresse"
"Address Book","Carnet d'adresses"
"Address Information","Informations adresse"
"All Themes","Tous les thèmes"
"An error occurred while deleting the customer address attribute.","Une erreur s'est produite lors de la suppression de l'attribut de l'adresse client."
"An error occurred while deleting the customer attribute.","Une erreur s'est produite lors de la suppression de l' attribut du client."
"An error occurred while deleting the form type.","Une erreur s'est produite lors de la suppression du type de formulaire."
"An error occurred while saving the customer address attribute.","Une erreur s'est produite lors de la sauvegarde de l'attribut de l'adresse client."
"An error occurred while saving the customer attribute.","Une erreur s'est produite lors de la sauvegarde des attributs du client."
"An error occurred while saving the form type.","Une erreur s'est produite lors de la sauvegarde du type de formulaire."
"Are you sure you want to delete this address?","Etes-vous sûr de vouloir supprimer cette adresse?"
"Attribute Information","Informations de l'attribut"
"Attribute is no longer exists.","L'attribut n'existe plus."
"Attribute with the same code already exists","Un attribut avec le même code existe déjà."
"Attributes","Attributs"
"Back","Retour"
"Back to Login","Retour à la page de connexion"
"Based On","Basé sur"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte dans notre boutique, vous pourrez finaliser vos transactions plus rapidement, enregistrer plusieurs adresses d'expédition, consulter et suivre vos commandes dans votre compte, et bien plus encore,"
"Cancel","Annuler"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Password","Modifier le mot de passe"
"Change Shipping Address","Modifier l'adresse de livraison"
"City","Ville"
"Comma separated","Séparés par une virgule"
"Company","Entreprise"
"Confirm New Password","Confirmer nouveau mot de passe"
"Confirm Password","Confirmer mot de passe"
"Contact Information","Informations de contact"
"Country","Pays"
"Create an Account","Créer un compte"
"Current Password","Mot de passe actuel"
"Customer","Client"
"Customer Account Edit Form","Compte client: formulaire d'édition"
"Customer Account Login Form","Compte client: formulaire login"
"Customer Account Logout Success","Compte client: déconnexion réussie"
"Customer Account Registration Form","Compte client: formulaire d'enregistrement"
"Customer Forgot Password Form","Client: formulaire mot de passe oublié"
"Customer My Account (All Pages)","Client: Mon compte (Toutes les pages)"
"Customer My Account Address Book","Client: Mon compte Carnet d'adresses"
"Customer My Account Address Edit Form","Client: Mon compte Formulaire d'édition adresse"
"Customer My Account Dashboard","Client: Mon compte Tableau de bord"
"DD","JJ"
"Date of Birth","Date de naissance"
"Day","Jour"
"Default Addresses","Adresses par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Default Values","Valeurs par défaut"
"Delete Address","Supprimer adresse"
"Delete Attribute","Supprimer attribut"
"Edit","Editer"
"Edit Account Information","Editer informations du compte"
"Edit Address","Editer adresse"
"Edit Address Entry","Editer entrée adresse"
"Edit Customer Address Attribute","Editer attribut adresse client"
"Edit Customer Address Attribute ""%s""","Modifier l'attribut adresse client ""%s"""
"Edit Customer Attribute","Editer attribut client"
"Edit Customer Attribute ""%s""","Modifier l'attribut utilisateur ""%s"""
"Edit Form Type ""%s""","Modifier type de forme ""%s"""
"Edit Newsletters","Editer newsletters"
"Email Address","Adresse email"
"Fax","Fax"
"File Extensions","Extensions fichier"
"For Theme","Pour thème"
"Forgot Your Password?","Mot de passe oublié?"
"Form Code","Code formulaire"
"Form Fields Before","Champs des formulaires avant"
"Form Label","Etiquette formulaire"
"Form Title","Titre formulaire"
"Form Type Code","Code type de formulaire"
"Form Type Information","Informations type de formulaire"
"Form type has been deleted.","Le type de formulaire a été supprimé."
"Forms to Use In","Formulaires à utiliser dans"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","A partir du tableau de bord de votre compte, vous avez la possibilité de voir un aperçu de l'activité récente de votre compte et de mettre à jour les informations de votre compte. Sélectionnez un lien ci-dessous pour voir ou éditer vos informations."
"Frontend Properties","Propriétés du profil"
"General","Général"
"General Information","Informations générales"
"General Subscription","Souscription générale"
"Go back","Retourner"
"Hello, %s!","Bonjour, %s!"
"If you have an account with us, log in using your email address.","Si vous avez un compte chez nous, connectez-vous à l'aide de votre adresse email."
"Input Type","Type d'entrée"
"Input Validation","Validation entrée"
"Input/Output Filter","Filtre entrée/sortie"
"Label","Etiquette"
"Lines Count","Décompte des lignes"
"Login","Connexion"
"Login Information","Informations de connexion"
"Login or Create an Account","Connectez-vous ou créez un compte"
"MM","MM"
"Manage Addresses","Gérer les adresses"
"Manage Customer Address Attributes","Gérer les attributs de l' adresse client"
"Manage Customer Attributes","Gérer les attributs client"
"Manage Form Types","Gérer les types de formulaires"
"Manage Label / Options","Gérer étiquettes / options"
"Maximum File Size (bytes)","Taille maxi du fichier (bytes)"
"Maximum Image Height (px)","Hauteur maxi de l'image (px)"
"Maximum Image Width (px)","Largeur maxi de l'image (px)"
"Maximum Text Length","Longueur maxi du texte"
"Maximum value","Valeur max."
"Minimal value","Valeur min."
"Minimum Text Length","Longueur mini du texte"
"Month","Mois"
"My Account Wrapper","Mon compte"
"My Dashboard","Mon tableau de bord"
"New Address Entry","Nouvelle adresse"
"New Attribute","Nouvel attribut"
"New Customer Address Attribute","Nouvel attribut de l'adresse client"
"New Customer Attribute","Nouvel attribut client"
"New Customers","Nouveaux clients"
"New Fieldset","Nouveau champ"
"New Form Type","Nouveau type de formulaire"
"New Password","Nouveau mot de passe"
"Newsletter Subscription","Abonnement à la newsletter"
"Newsletters","Newsletters"
"No","Non"
"None","Aucun"
"Password","Mot de passe"
"Personal Information","Informations personnelles"
"Please enter your email below and we will send you the confirmation link for it.","Merci de rentrer votre adresse email ci-dessous et nous vous enverrons un lien pour la confirmer."
"Please enter your email below and we\'ll send you a new password.","Merci de rentrer votre adresse email ci-dessous et nous vous enverrons un nouveau mot de passe."
"Please select region, state or province","Sélectionnez votre région, état ou province"
"Properties","Propriétés"
"Register","Enregistrer"
"Registered Customers","Clients enregistrés"
"Remove","Supprimer"
"Save","Sauvegarder"
"Save Address","Sauvegarder adresse"
"Save Attribute","Sauvegarder attribut"
"Save Password","Sauvegarder mot de passe"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Send confirmation link","Envoyer lien de confirmation"
"Show on Frontend","Montrer sur le profil"
"Sign Up for Newsletter","Souscrire à la newsletter"
"Sort Order","Modifier l'ordre"
"State/Province","Etat/Province"
"Store Credit","Crédit"
"Store View","Vue boutique"
"Street Address","Rue"
"Submit","Soumettre"
"System","Système"
"System form type cannot be deleted.","Le type de formulaire ne peut être supprimé."
"Telephone","Téléphone"
"The customer address attribute has been deleted.","L'attribut de l'adresse client a été supprimé."
"The customer address attribute has been saved.","L'attribut de l'adresse client a été sauvegardé."
"The customer attribute has been deleted.","L'attribut client a été supprimé."
"The customer attribute has been saved.","L'attribut client a été sauvegardé."
"This is My Default %s Address","Ceci est mon adresse %s par défaut."
"To use this attribute in address template you should edit it here.","Pour utiliser cet attribut comme modèle d'adresse, vous devriez d'abord l'éditer."
"Use Store Credit (%s available)","Utiliser mon crédit (%s disponible)"
"Use as My Default %s Address","Utiliser comme adresse %s par défaut"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de livraison par défaut"
"Use helper with defined EAV entity","Utilisez le système d'aide avec l'entité EAV définie"
"Valid range 2-20","Données valides: 2-20"
"Visible on Frontend","Visible sur le profil"
"YYYY","AAAA"
"Year","Année"
"Yes","Oui"
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune newsletter."
"You are currently subscribed to 'General Subscription'.","Vous avez souscrit à l' """"Abonnement général""""."
"You are currently subscribed to our newsletter.","Vous êtes abonné à notre newsletter."
"You cannot delete this attribute.","Vous ne pouvez pas supprimer cet attribut."
"You cannot edit this attribute.","Vous ne pouvez pas éditer cet attribut."
"You have no additional address entries in your address book.","Vous n'avez pas d'autres adresses dans votre carnet d'adresses."
"You have no default billing address in your address book.","Vous n'avez pas enregistré d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default shipping address in your address book.","Vous n'avez pas enregistré d'adresse de livraison par défaut dans votre carnet d'adresses."
"Zip/Postal Code","Code postal"
