"Action","Action"
"Additional information","Information additionnelle"
"An amount on which to change the balance","Un montant sur lequel changer le solde"
"Balance","Solde"
"Balance Change","Changement solde"
"Balance History","Historique solde"
"Balance history cannot be saved without existing balance.","Historique de la balance ne peut être sauvegardé sans le solde existant"
"By admin: %1$s. (%2$s)","Par l'admin: %1$s. (%2$s)"
"By admin: %s.","Par l'admin: %s."
"Comment","Commentaire"
"Created","Créé"
"Customer ID must be specified.","Identification du client doit être spécifiée."
"Customer My Account Store Credit","Avoir du client Comptes de ma boutique"
"Customer is not set or does not exist.","Client non rentré ou n'existe pas"
"Customer notified?","Client averti?"
"Date","Date"
"Delete Orphan Balances","Effacer les soldes orphelins"
"Enable Store Credit Functionality","Activer la fonction Avoir de la boutique"
"Failed to initialize customer","N'a pu initialisé le client"
"In order to send email notification, the Store ID must be set.","Pour envoyer une notification par courriel, l'identification de la boutique doit être rentré."
"No","Non"
"Not enough Store Credit Amount to complete this Order.","Pas assez d'avoir dans la boutique pour réaliser cette commande."
"Notified","Averti"
"Notify Customer by Email","Avertir le client par courriel"
"Order #%s","Commande %s."
"Please set store ID as well.","Veuillez aussi entrer l'identification boutique."
"Refund Money to Store Credit","Rembourser l'argent à l'Avoir de la boutique"
"Refund Store Credit Automatically","Rembourser le crédit de magasin automatiquement"
"Refund Store Credit to Store Credit","Rembourser l'Avoir de la boutique à l'Avoir de la boutique"
"Refund to Store Credit","Rembourser à l'Avoir de la boutique"
"Refunded","Remboursé"
"Refunded to Store Credit","Remboursé à l'Avoir de la boutique"
"Remove","Enlever"
"Reverted","Rétrocédé"
"Send Email Notification From the Following Store View","Envoyer un courriel de notification depuis la vue de boutique suivante"
"Send Email from the Following Store View","Envoyer courriel depuis la vue de boutique suivante"
"Show Store Credit History to Customers","Montrer l'historique de l'Avoir de la boutique aux clients"
"Store Credit","Avoir de la boutique"
"Store Credit (%s)","Crédit de magasin (%s)"
"Store Credit Balance","Solde de l'Avoir de la boutique"
"Store Credit Balance and History Wrapper","Résumé du Solde de l'Avoir de la boutique et de l'historique"
"Store Credit Options","Options de l'Avoir de la boutique"
"Store Credit Update","Mise à jour de l'Avoir de la boutique"
"Store Credit Update Email Sender","Envoyeur de courriels pour mise à jour de l'Avoir de la boutique"
"Store Credit Update Email Template","Modèle de courriel de mise à jour de l'Avoir de la boutique"
"Store Credit payment is not being used in your shopping cart.","Le paiement de l'Avoir de la boutique n'est pas utilisé dans votre caddy."
"Store credit amount cannot exceed order amount.","Le montant du crédit de magasin ne peut pas excéder le montant de la commande."
"The store credit payment has been removed from shopping cart.","Le paiement de l'Avoir de la boutique a été enlevé du caddy."
"There is no creditmemo set to balance model.","Il n'y a pas d'Avoir mis en place au modèle de solde."
"There is no order set to balance model.","Il n'y a pas de commande mise en place au modèle de solde."
"Unknown balance history action code","Code d'action d'historique de solde inconnu"
"Update Balance","Mettre à jour le solde"
"Updated","Mise à jour"
"Use Store Credit","Utiliser l'Avoir de la boutique"
"Use Store Credit (%s available)","Utiliser l'Avoir de la boutique (%s disponible)"
"Used","Utilisé"
"Website","Site internet"
"Website ID must be set.","L'identification du site internet doit être entrée."
"Your current balance is:","Votre solde actuel est:"
"available","disponible"
