"Active","Actif"
"Add Segment","Ajouter segment"
"Address Attributes","Attributs de l'adresse"
"Address Type","Type d'adresse"
"Any","Tout"
"Assigned to Website","Assigné au site internet"
"Average","Moyenne"
"Back","Retour"
"Billing","Facturation"
"CSV","CSV"
"Conditions","Conditions"
"Conditions Combination","Combinaison des conditions"
"Country","Pays"
"Customer","Client"
"Customer %s","%s Client"
"Customer Address","Adresse client"
"Customer Address %s","Adresse client %s"
"Customer Segment","Segment client"
"Customer Segment Report","Rapport sur segment client"
"Customer Segment Report \'%s\'","Rapport sur segment client '%s'"
"Customer Segment data has been refreshed.","Les données du segment client ont été rafraîchies."
"Customer Segments","Segments client"
"Customer Segments Report","Rapport sur segments client"
"Customer Since","Client depuis"
"Customer Store Credit Amount %s %s:","Montant de l'avoir de la boutique client %s %s:"
"Customer is %s to newsletter.","Client est %s à la lettre d'informations."
"Customers","Clients"
"Date Range","Fourchette dates"
"Date Ranges","Fourchettes dates"
"Default Address","Adresse par défaut"
"Delete","Effacer"
"Description","Description"
"Details","Coordonnées"
"Edit Segment","Changer segment"
"Edit Segment '%s'","Changer segment '%s'"
"Email","Courriel"
"Enable Customer Segment Functionality","Active la fonction de segment client"
"Excel XML","Excel XML"
"General Properties","Propriétés générales"
"Gift Card","Carte cadeau"
"Grand Total","Total"
"Group","Groupe"
"Has State/Province","A Région/Département"
"ID","Identification"
"If Customer Address %s State/Province specified","Si l'adresse du client %s Région/Département est spécifié"
"Inactive","Inactif"
"Intersection","Intersection"
"Manage Segments","Gérer les segments"
"Matched %d Customers of Segment %s","Clients %d correspondants du segment %s"
"Matched Customers (%d)","Clients correspondants (%d)"
"Name","Nom"
"New Segment","Nouveau segment"
"Newsletter Subscription","Souscription à la lettre d'informations"
"Number of Cart Line Items","Nombre d'éléments dans la ligne panier"
"Number of Customers","Nombre de clients"
"Number of Orders","Nombre de commandes"
"Order Address","Adresse de commande"
"Order Address %s","Adresse de commande %s"
"Order Address Attributes","Attributs de l'adresse de commande"
"Order Status","État de la commande"
"Product %s","Produit %s"
"Product Attributes","Attributs du produit"
"Product History","Historique du produit"
"Product List","Liste de produit"
"Products","Produits"
"Products Quantity","Quantité de produits"
"Purchased Quantity","Quantité achetée"
"Refresh Segment Data","Rafraîchir les données du segment"
"Reports","Rapports"
"Sales","Ventes"
"Sales Amount","Montant des ventes"
"Save","Sauvegarder"
"Save and Continue Edit","Sauvegarder et continuer à changer"
"Segment Customers matching error.","Erreur correspondante du segment clients"
"Segment Information","Information du segment"
"Segment Name","Nom du segment"
"Segments","Segments"
"Set","Rentré"
"Shipping","Envoyé"
"Shopping Cart","Caddy"
"Shopping Cart Total","Total du caddy"
"State/Province","Région/Département"
"Status","État"
"Store Credit","Avoir de la boutique"
"Subtotal","Sous-total"
"Tax","TVA"
"Telephone","Téléphone"
"The segment has been deleted.","Le segment a été effacé."
"The segment has been saved.","Le segment a été sauvegardé."
"Total","Total"
"Unable to delete the segment.","Ne peut effacer le segment."
"Unable to save the segment.","Ne peut sauvegarder le segment."
"Union","Union"
"Unknown operator specified.","Opérateur spécifié inconnu."
"Unknown quote total specified.","Total de devis spécifié inconnu."
"Up To Date","A jour"
"Use in Customer Segment","Utiliser dans le segment Client"
"View Combined Report","Voir le rapport combiné"
"Viewing combined ""%s"" report from segments: %s","Affichage du rapport ""%s"" combiné des segments : %s"
"Viewing combined ""%s"" report from segments: %s.","Voir rapport combiné ""%s"" des segments : %s. "
"Website","Site internet"
"Wishlist","Liste de vœux"
"Wrong customer segment requested.","Mauvais segment client demandé."
"ZIP","Code postal"
"does not exist","n'existe pas"
"does not have","n'a pas"
"does not match","ne correspond pas"
"exists","existe"
"has","a"
"is not one of","n'est pas l'un"
"is one of","est l'un"
"matches","correspondances"
"not subscribed","non inscris"
"ordered","commandé"
"subscribed","inscris"
"viewed","vu"
