"Alpha Only","Lettres seulement"
"Alphanumeric","Alphanumérique"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Le code d'attribut est invalide. Veuillez n'utiliser que des lettres (a-z), chiffres (0-9) ou underscores (_) dans ce champ, le premier caractère devant être une lettre."
"Current module XML block name is undefined","Le nom du bloc XML du modèle actuel n'est pas défini"
"Current module form model pathname is undefined","Le chemin du modèle de formulaire du module actuel n'est pas défini"
"Date","Date"
"Default EAV Form","Formulaire EAV par défaut"
"Dropdown","Déroulant"
"Email","Email"
"Escape HTML Entities","Eviter entités HTML"
"File (attachment)","Fichier (pièce jointe)"
"Image File","Fichier image"
"Multiple Line","Plusieurs lignes"
"Multiple Select","Sélection multiple"
"No","Non"
"Normalize Date","Normaliser la date"
"Numeric Only","Chiffres seulement"
"Strip HTML Tags","Enlever tags HTML"
"Text Area","Zone de texte"
"Text Field","Champ de texte"
"URL","URL"
"Use helper with defined EAV entity","Utilisez le système d'aide avec l'entité EAV définie"
"Yes","Oui"
"Yes/No","Oui/non"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[APERÇU DU MAGASIN]"
"[WEBSITE]","[SITE WEB]"
