"%d email(s) were sent.","%d courriel(s) a(ont) été envoyé(s)."
"%d item(s) have been added to gift registry.","%d articles ont été ajoutés au registre des cadeaux."
"%s","%s"
"* Required Fields","* Champs obligatoires"
"-- All --","-- Tous --"
"-- Please select --","-- Veuillez sélectionner --"
"Action","Action"
"Actions","Actions"
"Active","Actif"
"Add All To Gift Registry ","Ajouter tout au Registre des cadeaux"
"Add All to Cart","Ajouter tout au caddy"
"Add Attribute","Ajouter attribut"
"Add Gift Registry Type","Ajouter Type de registre de cadeaux"
"Add New","Ajouter Nouveau"
"Add New Option","Ajouter nouvelle option"
"Add Recipient","Ajouter Destinataire"
"Add to Cart","Ajouter au panier"
"Add to Gift Registry","+ carte cadeau"
"Added On","Ajouté"
"Adding more than one attribute with the same static input type is not allowed for the same gift registry type. Please select another input type for your attribute.","Ajouter plus d'un attribut avec le même type d'entrée statique n'est pas permis pour le même type de registre de cadeaux. Veuillez sélectionner un autre type d'entrée pour votre attribut."
"Address","Adresse"
"Address is empty.","Adresse est vide"
"All Forms","Tous les formulaires"
"An error occurred while deleting gift registry.","Une erreur est survenue lors de la suppression du registre de cadeaux."
"An error occurred while editing gift registry.","Une erreur est survenue lors de l'édition du registre de cadeaux."
"An error occurred while sending email(s).","Une erreur est survenue lors de l'envoi d'emails."
"An error occurred while sharing gift registry.","Une erreur est survenue lors du partage du registre de cadeaux."
"An item option with code %s already exists.","Une option d'objet avec le code %s existe déjà."
"Are you sure you want to add these products?","Êtes-vous sûr(e) de vouloir ajouter ces produits?"
"Are you sure you want to delete this gift registry?","Êtes-vous sûr(e) de vouloir effacer ce registre de cadeaux?"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr(e) de vouloir enlever ce produit de votre liste de vœux?"
"Attribute Group","Groupe d'attribut"
"Attributes","Attributs"
"Back","Retour"
"Cannot add item to shopping cart","Ne peut ajouter cet article au caddy"
"Cannot specify product.","Ne peut spécifier le produit."
"Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart.","Changer la quantité pour des articles du Registre de cadeaux n'est pas autorisé à la caisse. Vous pouvez changer le nombre d'articles sur la page d'information du Registre de cadeaux ou directement dans votre caddy."
"City","Ville"
"Code","Code"
"Comment","Commentaire"
"Company","Compagnie"
"Country","Pays"
"Create Gift Registry","Créer un Registre de cadeaux"
"Created On","Créé Le"
"Created on","Créé le"
"Custom Types","Types sur mesure"
"Customer My Account GiftRegistry Add","Ajouter un RegistreCadeaux au compte du client"
"Customer My Account GiftRegistry Edit","Changer un RegistreCadeaux au compte du client"
"Customers","Clients"
"Customize and Add to Gift Registry","Ajuster et ajouter au Registre cadeaux"
"Date","Date"
"Date Format","Format de date"
"Default Template","Modèle par défaut"
"Delete","Effacer"
"Delete Attribute","Effacer attribut"
"Delete Option","Effacer option"
"Delete Registry","Effacer registre"
"Deleting this gift registry type will also remove all customers' gift registries created based on it. Are you sure you want to proceed?","Effacer ce type de Registre de cadeaux va aussi effacer tous les Registres de cadeaux du client basé sur celui-ci. Êtes-vous sûr(e) de vouloir le faire?"
"Edit","Changer"
"Edit '%s' Gift Registry","Changer '%s' du Registre de cadeaux"
"Edit '%s' Gift Registry Type","Changer '%s' du type de Registre de cadeaux"
"Edit Gift Registry","Changer le Registre de cadeaux"
"Edit Type","Editer le type"
"Email Address","Adresse courriel"
"Email Address:","Adresse courriel:"
"Email Sender","Expéditeur courriel"
"Email Template","Modèle de courriel"
"Email:","Courriel:"
"Emails","Courriels"
"Enable Gift Registry","Active Registre de cadeaux"
"Enter at least two letters","Entrer au moins deux lettres"
"Enter at least two letters of the name","Entrer au moins deux lettres du nom"
"Event","Évènement"
"Event Country","Pays de l'évènement"
"Event Date","Date événement"
"Event Information","Information événement"
"Event Location","Lieu événement"
"Event Region Id","Identification région événement"
"Event Region Text","Texte région événement"
"Failed to add shopping cart items to gift registry.","Échec pour ajouter des articles du caddy au registre de cadeaux."
"Failed to add wishlist items to gift registry.","Échec pour ajouter des articles de la liste de voeux au registre de cadeaux."
"Failed to delete gift registry entity.","Échec pour effacer entité du registre de cadeaux."
"Failed to delete gift registry type.","Échec pour effacer type de registre de cadeaux."
"Failed to save gift registry type.","Échec pour sauvegarder type de registre de cadeaux."
"Failed to save gift registry.","Échec pour sauvegarder registre de cadeaux."
"Failed to send %1$d of %2$d email(s).","Échec pour envoyer %1$d de %2$d courriel(s)."
"Failed to share gift registry.","Échec pour partager le registre de cadeaux."
"Failed to update gift registry items list.","Échec pour mettre à jour la liste d'articles du registre de cadeaux."
"Failed to update gift registry items.","Échec pour mettre à jour les articles du registre de cadeaux."
"Fax","Fax"
"First Name","Prénom"
"First Name:","Prénom:"
"From","De"
"Fulfilled","Réalisé"
"Fulfilled Quantity","Quantité réalisée"
"Full","Plein"
"General Information","Infos générales"
"General Options","Options générales"
