"Action","Action"
"Add Gift Wrapping","Ajouter un emballage cadeau"
"Add Printed Card","Ajouter une carte imprimée"
"Allow Gift Receipt","Permettre réception cadeau"
"Allow Gift Wrapping for Order Items","Permettre emballage cadeau pour articles commande"
"Allow Gift Wrapping on Order Level","Permettre emballage cadeau pour niveau commande"
"Allow Printed Card","Permettre carte imprimée"
"An error occurred while updating the wrapping(s) status.","Une erreur s'est produite lors de la mise à jour du statut du/des papier(s) cadeau"
"Are you sure you want to delete the selected gift wrappings?","Êtes-vous sûr de vouloir supprimer les emballages cadeau sélectionnés ?"
"Are you sure you want to delete this gift wrapping?","Êtes-vous sûr de vouloir supprimer l'emballage cadeau ?"
"Change status","Changer statut"
"Default Price for Printed Card","Prix par défaut pour carte imprimée"
"Delete","Supprimer"
"Design","Design"
"Disabled","Désactivé"
"Display Gift Wrapping Prices","Afficher prix emballages cadeau"
"Display Printed Card Prices","Afficher prix cartes imprimées"
"Edit","Éditer"
"Edit Gift Wrapping ""%s""","Éditer emballage cadeau ""%s"""
"Enabled","Actif"
"Excl. Tax","H.T."
"Failed to save gift wrapping.","Échec de la sauvegarde de l'emballage cadeau."
"Gift Wrapping","Emballage cadeau"
"Gift Wrapping Design","Design emballage cadeau"
"Gift Wrapping Information","Information emballage cadeau"
"Gift Wrapping for Items","Emballage cadeau pour articles"
"Gift Wrapping for Items (Excl. Tax)","Emballage cadeau pour les objets (HT)"
"Gift Wrapping for Items (Incl. Tax)","Emballage cadeau pour les objets (TTC)"
"Gift Wrapping for Order","Emballage cadeau pour la commande"
"Gift Wrapping for Order (Excl. Tax)","Emballage cadeau pour la commande (HT)"
"Gift Wrapping for Order (Incl. Tax)","Emballage cadeau pour la commande (TTC)"
"Gift Wrapping for the Entire Order","Emballage cadeau pour l'ensemble de la commande"
"ID","ID"
"Image","Image"
"Image has not been uploaded.","L’image n'a pas été téléchargée."
"Image was not uploaded.","L’image n'a pas été téléchargée."
"Incl. Tax","TTC"
"Manage Gift Wrapping","Gérer l'emballage cadeau"
"New Gift Wrapping","Nouvel emballage cadeau"
"Please select","Veuillez sélectionner"
"Please select items.","Veuillez sélectionner des objets."
"Price","Prix"
"Price Excl. Tax","Prix HT"
"Price Incl. Tax","Prix TTC"
"Printed Card","Carte imprimée"
"Printed Card (Excl. Tax)","Carte imprimée (HT)"
"Printed Card (Incl. Tax)","Carte imprimée (TTC)"
"Sales","Ventes"
"Save and Continue Edit","Enregistrer et continuer la modification"
"Send Gift Receipt","Envoyer un accusé de réception pour le cadeau"
"Status","Statut"
"Tax Class for Gift Options","Catégories de taxes pour les options cadeaux"
"The gift wrapping has been deleted.","L'emballage cadeau a été supprimé."
"The gift wrapping has been saved.","L'emballage cadeau a été enregistré."
"Total of %d record(s) have been deleted.","Un total de %d article(s) a/ont été supprimé(s)."
"Total of %d record(s) have been updated.","Un total de %d article(s) a/ont été mis à jour."
"Upload File","Télécharger le fichier"
"Use Default Value","Utiliser la valeur par défaut"
"Websites","Sites Web"
"Wrong gift wrapping requested.","Mauvais choix d'emballage cadeau."
"You can leave a box blank if you don\'t wish to add a gift wrap for whole order","Vous pouvez laisser une case vide si vous ne souhaitez pas ajouter un emballage cadeau pour l'ensemble de la commande"
