"%1$d of %2$d invitations were discarded.","%1$d sur %2$d invitations ont été annulées."
"%1$d of %2$d invitations were sent.","%1$d sur %2$d invitations ont été envoyées."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d invitations(s) ne peuvent pas être envoyées, car un/des client(s) avec le même email existe(nt) déjà. Les invitations ont été annulées."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d invitation(s) n'ont pas été envoyées, car des comptes clients avec les mêmes adresses email existent déjà."
"%d invitation(s) were sent.","%d invitation(s) ont été envoyées."
"%d of selected invitation(s) were skipped.","%d des invitation(s) sélectionnées ont été refusées."
"* Required Fields","* champs obligatoires"
"Acceptance Rate","Taux d'acceptation"
"Accepted","Accepté"
"Accepted and Purchased","Accepté et Acheté"
"Add Invitations","Ajouter Invitations"
"Admin","Administrateur"
"Allow Customers to Add Custom Message to Invitation Email","Autoriser les Clients à ajouter un message personnalisé à l'email d'invitation"
"Are you sure you want to discard this invitation?","Etes-vous sûr de vouloir annuler cette invitation?"
"Are you sure you want to do this?","Etes-vous sûr de vouloir faire cela?"
"Available to All","Accessible à Tous"
"Back","Retour"
"Back to Invitations","Retour aux Invitations"
"By Invitation Only","Seulement Sur Invitation"
"CSV","CSV"
"Conversion Rate","Taux de Conversion"
"Customer Account Registration by Invitation Form","Enregistrement Compte Client par Formulaire d'Invitation"
"Customer Group","Groupe Clients"
"Customer ID","Identifiant Client"
"Customer Invitation","Invitation Client"
"Customer Invitation Email Sender","Expéditeur de l'Email Invitation Client"
"Customer Invitation Email Template","Modèle d'Email Invitation Client"
"Customer Invitations","Invitations Client"
"Customer My Account Invitations Form","Client Mon Compte Formulaire d'Invitations"
"Customer My Account Invitations List","Client Mon Compte Liste d'Invitations"
"Customer with email ""%s"" already exists.","Un client avec le courriel ""%s"" existe déjà."
"Customers","Clients"
"Default Customer Group from System Configuration","Groupe Clients par défaut de la Configuration Système"
"Default from System Configuration","Valeur par défaut de la Configuration Système"
"Discard Invitation","Supprimer Invitation"
"Discard Rate","Supprimer Taux"
"Discard Selected","Supprimer Sélection"
"Discarded","Supprimé"
"Email","Email"
"Email is not specified.","L'Email n'est pas renseigné."
"Enable Invitations Functionality","Activer la Fonctionnalité Invitations"
"Enable Invitations on Frontend","Activer les Invitations sur le Profil"
"Enter Each Email on New Line","Entrez Chaque Email sur une Nouvelle Ligne"
"Excel XML","Excel XML"
"Failed to send %1$d of %2$d invitation(s).","Echec de l'envoi de %1$d sur %2$d invitation(s)."
"Failed to send %d invitation(s).","Echec de l'envoi de(s) %d invitation(s)."
"Failed to send email to %s.","Echec de l'envoi de l'email à %s."
"First Name","Prénom"
"General","Général"
"General Report","Rapport Général"
"Group","Groupe"
"ID","Identifiant"
"Invalid invitation code.","Code d'invitation invalide."
"Invalid invitation email.","Email d'invitation invalide."
"Invalid or empty invitation email.","Email d'invitation invalide ou inexistant."
"Invalid value used for ""%s"" parameter. Previous value saved.","Valeur invalide utilisée pour le paramètre ""%s"". Valeur précédente sauvegardée."
"Invitation Form Before","Formulaire d'invitation avant"
"Invitation Information","Informations Invitation"
"Invitation List Before","Liste d'invitation avant"
"Invitation Message","Message d'Invitation"
"Invitation Report by Customers","Rapport d'Invitations par Clients"
"Invitation Report by Order Conversion Rate","Rapport d'Invitations par Ordre Taux de Conversion"
"Invitation Section","Section Invitations"
"Invitation Url","Url Invitation"
"Invitation for %s has been sent.","L'Invitation pour %s a été envoyée."
"Invitation has no ID.","L'invitation n'a pas d'identifiant."
"Invitation not found.","Invitation non trouvée."
