"%s & applied","%s et appliqué"
"1","1"
"Access denied","Accès dénié"
"Action","Action"
"Action Group","Groupe action"
"Admin Actions Log","Journal de bord des actions de l'Admin"
"Admin Actions Log Archive","Archive du journal de bord des actions de l'Admin"
"Admin Actions Log Archiving","En train d'archiver le journal de bord des actions de l'Admin"
"Admin Actions Logging","Connexion aux actions de l'Admin"
"Admin Actions Logs","Journaux de bord des actions de l'Admin"
"Admin Logging","Connexion Admin"
"Admin My Account","Admin de Mon Compte"
"Admin Permission Roles","Rôles de permissions de l'Admin"
"Admin Permission Users","Utilisateurs de permissions de l'Admin"
"Admin Sign In","Entrée de l'Admin"
"Admin User Data","Données utilisateurs de l'Admin"
"Admin User ID","Identification utilisateur de l'Admin"
"Admin User Name","Nom utilisateur de l'Admin"
"Aggregated Information","Infos rassemblées"
"All Users","Tous utilisateurs"
"Archive","Archive"
"Archive File","Fichier archive"
"Attributes Updated","Attributs mis à jour"
"Back","Retour"
"CMS Blocks","Blocs CMS"
"CMS Pages","Pages CMS"
"CMS Polls","Sondages CMS"
"Cache Management","Gestion cache"
"Cache types: %s ","Types de cache: %s"
"Catalog Attribute Sets","Jeux d'attributs du catalogue"
"Catalog Attributes","Attributs du catalogue"
"Catalog Categories","Catégories du catalogue"
"Catalog Price Rules","Règles de prix du catalogue"
"Catalog Product Tax Classes","Classes de taxes produit du catalogue"
"Catalog Products","Produits du catalogue"
"Catalog Ratings","Classements du catalogue"
"Catalog Reviews","Commentaires sur catalogue"
"Catalog Search","Recherche sur catalogue"
"Catalog Tags","Étiquettes du catalogue"
"Checkout Terms and Conditions","Termes et conditions à la caisse"
"Currency Rates Saved","Taux de devise sauvegardé"
"Custom Variables","Variables sur mesure"
"Customer Groups","Groupes client"
"Customer Tax Classes","Classes de taxes client"
"Customers","Clients"
"Daily","Quotidien"
"Date","Date"
"Enabled Actions","Actions activées"
"Error Message","Message d'erreur"
"Failure","Échec"
"Full Action Name","Nom complet de l'Action"
"Full Details","Coordonnées complètes"
"Google Base","Base Google"
"Google Sitemap","Plan du site Google"
"IP Address","Adresse IP"
"IP-Address","Adresse-IP"
"Import/Export Profiles","Importe/Exporte profils"
"Index Management","Gestion index"
"Item was deleted","Article a été effacé"
"Log Archiving Frequency","Fréquence d'archivage du journal de bord"
"Log Entry #%d","Entrée #%d au journal de bord"
"Log Entry Details","Infos de l'entrée au journal de bord"
"Log Entry Lifetime, Days","Durée de vie du journal de bord, jours"
"Logging","Connexion"
"Manage Currency Rates","Gère taux de devise"
"Manage Design","Gère dessin"
"Manage Store Views","Gère vues de boutique"
"Manage Stores","Gère boutiques"
"Manage Websites","Gère sites internet"
"Monthly","Mensuel"
"N/A","N/D"
"New","Nouveau"
"Newsletter Queue","Queue Lettre d'information"
"Newsletter Subscribers","Abonnés Lettre d'information"
"Newsletter Templates","Modèles Lettre d'information"
"No changes","Pas de changements"
"PayPal Settlement Reports","Rapports de contrats PayPal"
"Recurring Profiles","Profils récurrents"
"Related Changes","Changes en rapport"
"Report","Rapport"
"Reports","Rapports"
"Result","Résultat"
"Sales Creditmemos","Avoirs des ventes"
"Sales Invoices","Factures de ventes"
"Sales Order Status","Statut de commande des ventes"
"Sales Orders","Commandes des ventes"
"Sales Shipments","Envois des ventes"
"Shopping Cart Price Rules","Règles de prix du caddy"
"Short Details","Coordonnées brèves"
"Source Data","Donnée source"
"Success","Succès"
"System","Système"
"System Backups","Sauvegardes Système"
"System Configuration","Configuration Système"
"Tax Rates","Taux de taxe"
"Tax Rates Export","Export des taux de taxe"
"Tax Rates Import","Import des taux de taxe"
"Tax Rules","Règles de taxe"
"Time","Heure"
"Transactional Emails","Courriels de transaction"
"Urlrewrites","RéécrisUrl"
"User is locked","Utilisateur est bloqué"
"Username","Nom d'utilisateur"
"Value After Change","Valeur après change"
"Value Before Change","Valeur avant change"
"View","Vue"
"View Entry","Entrée vue"
"Webservices API Roles","Rôles des API de services web"
"Webservices API Users","Utilisateurs des services internet API"
"Weekly","Hebdomadaire"
"Widget Instances","Instances du gadget"
"X-Forwarded For","X-Acheminé pour"
