"Authorization transaction is required to void.","Autorisation de transaction requise pour annuler"
"Data Transfer Key","Clé de transfert de données"
"Debug","Débogage"
"Enabled","Activé"
"Gateway Basic URL","Passerelle"
"Gives effect only when payment bridge is active.","Valide uniquement lorsque passerelle de paiement active."
"IPN postback HTTP error: %s","Erreur IPN postback HTTP: %s"
"IPN postback Validation error: %s","Erreur de validation IPN postback: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossible de procéder au remboursement de la transaction, car la transaction n'existe pas."
"Merchant Code","Code marchant"
"Merchant Key","Clé marchant"
"Payment Bridge","Passerelle de paiement"
"Payment Bridge Selected","Passerelle de paiement sélectionnée"
"Payment Bridge authentication data is not present","Données d'authentification de la passerelle de paiement absentes"
"Payment Bridge service error.","Passerelle de paiement: Erreur de service"
"Payment Bridge service error: %s","Passerelle de paiement: Erreur de service %s"
"Payment Method Code is not passed.","Code de méthode de paiement refusé."
"Unable to communicate with Payment Bridge service.","Impossible de communiquer avec le service Passerelle de paiement"
"Use via Payment Bridge","Utiliser via la passerelle de paiment"
