"-- Not Selected --","-- Non sélectionné --"
"Active","Actif"
"Active From","Actif depuis"
"Active To","Actif jusqu'"
"Add New Rule","Ajouter nouvelle règle"
"Are you sure you want to match this rule now?","Êtes-vous sûr(e) de vouloir égaler cette règle maintenant?"
"Automated Email Marketing Reminder Rules","Règles du rappel de courriel commercial automatisé"
"Automated Email Reminder Rules","Règles du rappel de courriel automatisé"
"Cart Line Items","Articles de la ligne panier"
"Conditions","Conditions"
"Coupon","Coupon"
"Coupon Code","Code du coupon"
"Coupon Usage Limit","Limite d'utilisation du coupon"
"Coupon Usage per Customer","Utilisation du coupon par client"
"Coupons can be auto-generated by reminder promotion rules.","Coupons peuvent être automatiquement générés par les règles du rappel de promotion."
"Default Titles and Description","Titres par défaut et description"
"Delete","Effacer"
"Description","Description"
"Edit Rule","Change règle"
"Edit Rule '%s'","Change règle '%s'"
"Email","Courriel"
"Email Reminder Rule","Règle du rappel de courriel"
"Email Send Failure Threshold","Seuil d'échec de courriel envoyé"
"Email Templates","Modèles de courriel"
"Emails Failed","Échec des courriels"
"Emails Sent","Courriels envoyés"
"Emails and Labels","Courriels et étiquettes"
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","Les courriels seront envoyés seulement pour les vues de boutique spécifiées. Courriel de vue de la boutique correspond à la vue de boutique à laquelle le client s'était inscrit."
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","Une valeur vide désactive cette limitation. Si non limités, les courriels de rappel pourraient être envoyés sans fin."
"Enable Reminder Emails","Active courriels de rappel"
"Failed to delete reminder rule.","Échec pour effacer la règle du rappel."
"Failed to save reminder rule.","Échec pour sauvegarder la règle du rappel."
"Frequency","Fréquence"
"General Information","Infos générales"
"ID","Identification"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","Dans combien de jours renvoyer le courriel de rappel, si la condition de la règle correspond toujours. Entrez des jours, séparation par virgule."
"Inactive","Inactif"
"Interval","Intervalle"
"Items Quantity","Quantité d'articles"
"Items Subselection","Sous-sélection d'articles"
"Last Sent At","Dernier envoi "
"Matched At","Correspond "
"Matched Customers","Clients correspondants"
"Maximum Emails per One Run","Maximum de courriels par envoi"
"Minute of the Hour","Minute de l'heure"
"N/A","N/D"
"New Rule","Nouvelle règle"
"No","Non"
"Number of Items","Nombre d'articles"
"Numeric Attribute","Attribut numérique"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Écrase les titres par défaut et les descriptions. Notez que si un courriel et modèle ne sont pas spécifiés pour cette vue de boutique, les valeurs de variables respectives seront effacés."
"Please, specify correct minutes of hour.","Veuillez spécifier des minutes exactes."
"Product %s","Produit %s"
"Product Attributes","Attributs du produit"
"Promo Section","Section promo"
"Promotion rule this reminder will advertise.","Règle de promotion pour laquelle ce rappel fait de publicité."
"Promotions","Promotions"
"Reminder Email Sender","Expéditeur du courriel de rappel"
"Reminder Rules","Règles du rappel"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Les courriels de rappel peuvent faire la promotion d'une règle de prix de caddy avec ou sans coupon. Si une règle de prix de caddy définit un coupon automatiquement généré, la règle du rappel va générer un code de coupon au hasard pour chaque client."
"Reminder rule matching error.","Erreur correspondante de la règle de rappel."
"Repeat Schedule","Répète programmation"
"Root shopping cart condition should have days value at least 0.","La condition racine du panier devrait avoir une valeur ""jours"" d'au moins 0."
"Root wishlist condition should have days value at least 1.","Condition de liste de vœux à la racine doit avoir une valeur de jours au moins égale à 1."
"Rule Description for All Store Views","Description de la règle pour toutes les vues de boutique"
"Rule Information","Infos de règle"
"Rule Name","Nom de la règle"
"Rule Reminder","Rappel de la règle"
"Rule Title for All Store Views","Titre de la règle pour toutes les vues de boutique"
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","Étiquette de la règle et descriptions sont accessibles dans les modèles de courriel en tant que variables, peuvent être définies par vues de boutique."
"Rule will work only if at least one condition is specified.","Règle marche seulement si au moins une condition est spécifiée."
"Run Now","Lancer maintenant"
"SKU","UGS"
"Save","Sauvegarder"
"Save and Continue Edit","Sauvegarder et continuer à changer"
"Set this value not less than your cron.php launch period.","Ne pas mettre cette valeur à moins que votre période de lancement cron.php."
"Sharing","Partage"
"Shopping Cart","Caddy"
"Shopping Cart Price Rule","Règle de prix du caddy"
"Start Time","Heure de commencement"
"Status","Statut"
"Store View","Vue boutique"
"The reminder rule has been deleted.","La règle du rappel a été effacée."
"The reminder rule has been matched.","La règle du rappel a été égalée."
"The reminder rule has been saved.","La règle du rappel a été sauvegardée."
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Cette règle est assignée à %s règles automatiques de rappel. Effacer cette règle va automatiquement la désaffecter."
"Thread Active","Fil actif"
"Titles and Descriptions Per Store View","Titres et descriptions par vue de boutique"
"Total Amount","Montant total"
"Unknown attribute specified","Attribut spécifié inconnu."
"Unknown operator specified.","Opérateur spécifié inconnu."
"Unknown quote total specified","Total de devis spécifié inconnu"
"Up to %s customers may receive reminder email after this action.","Jusqu'à %s clients peuvent recevoir le courriel de rappel après cette action."
"Valid range: 0-59 (default 0).","Fourchette valide: 0-59 (défaut 0)."
"Virtual Only","Seulement virtuel"
"Website","Site internet"
"Wishlist","Liste de vœux"
"Wrong reminder rule requested.","Mauvaise règle de rappel demandée."
"Yes","Oui"
"base cost","coût de base"
"base price","prix de base"
"does not have","n'a pas"
"found","trouvé"
"grand total","total"
"has","a"
"is","est"
"is not","n'est pas"
"not found","non trouvé"
"quantity","quantité"
"row weight","poids de la rangée"
"subtotal","sous-total"
"weight","poids"
