"""Cap Reward Points Balance"" should be positive number or empty.","""Le solde plafond de points de récompense"" doit être un nombre positif ou doit être vide."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Le solde minimum de points de récompense"" doit être inférieur ou égal au ""solde plafond de points de récompense""."
"""Minimum Reward Points Balance"" should be positive number or empty.","""Le solde minimum de points de récompense"" doit être un nombre positif ou doit être vide."
"%s Reward points","%s points de fidélité"
"%s Reward points (%s)","%s points de fidélité (%s)"
"Actions for Acquiring Reward Points by Customers","Actions Clients pour Recevoir des Points de Fidélité"
"Add New Rate","Ajouter Nouvelle Note"
"Add Reward Points","Ajouter Points de Fidélité"
"Added for spent money according to reward exchange rates.","Ajouté pour argent dépensé conformément aux taux de conversion en points de fidélité."
"After approval by administrator.","Après accord de l'administrateur."
"All Customer Groups","Tous les Groupes Clients"
"All Websites","Tous les sites internet"
"Amount","Montant"
"Amount Balance","Solde montant"
"Applies only to registered customers, may vary when logged in.","S'applique uniquement aux clients enregistrés, peut varier en mode connecté."
"Balance","Solde"
"Balance History","Historique du solde"
"Balance Update Email","Email d'actualisation du solde"
"Balance is capped at %s.","Plafond du solde: %s"
"Balance limitations:","Limitations du solde:"
"Can Spend Reward Points","Peut dépenser les points de récompense"
"Cannot save Rate.","Ne peut pas sauvegarder la note"
"Cap Reward Points Balance At","Plafonner points de fidélité "
"Checkout now and earn %s for this order.","Validez votre panier et gagnez %s pour cette commande"
"Comment","Commentaires"
"Converting Invitation to Customer","Invitation client conversion"
"Converting Invitation to Order","Invitation conversion en commande"
"Created At","Créé "
"Currency Amount","Montant devises"
"Currency to Points","Devises en Points"
"Current exchange rates:","Taux de change actuels:"
"Customer Group","Groupe Clients"
"Customer earned %s for the order.","Le client a gagné %s pour cette commande."
"Customer earned promotion extra %s.","Le client a gagné %s de bonus."
"Customers","Clients"
"Customers May See Reward Points History","Les clients peuvent consulter l'historique de leurs points de fidélité"
"Date","Date"
"Delete Orphan Points","Supprimer les Points isolés"
"Direction","Direction"
"Dynamic","Dynamique"
"Each","Chaque"
"Each %s can be redeemed for %s.","Chaque %s peut être échangé contre %s."
"Each %s spent will earn %s.","Chaque %s dépensé rapporte %s."
"Each earned reward points record expires in %s days.","Les points de fidélité acquis ont une validité de %s jours."
"Earn %s for purchases by your invitees.","Gagnez %s lorsque vos invités passent commande."
"Earned points for order #%s.","Points gagnés pour la commande #%s."
"Earned promotion extra points from order #%s.","Points bonus gagnés pour la commande #%s."
"Edit Reward Exchange Rate","Editer taux de conversion en points de fidélité"
"Email Notification Settings","Paramètres de notification emails"
"Email Sender","Expéditeur de l'email"
"Empty value disables this limitation.","Laisser le champ vide désactive cette limitation."
"Empty value or value greater than expiration lifetime disables warning notification.","Laisser le champ vide ou entrer une valeur supérieure à la date d'échéance désactive l'alerte."
"Enable Reward Points Functionality","Activer la fonctionnalité points de fidélité"
"Enable Reward Points Functionality on Frontend","Activer la fonctionnalité points de récompense sur Frontend"
"Enter a negative number to subtract from balance.","Entrer un chiffre négatif pour soustraire au solde."
"Expired reward.","Points de fidélité expirés."
"Expires At","Expire "
"Expires on %s","Expire le %s"
"Expiry Warning Before (days)","Alerte d'expiration avant (jours)"
"Failed to unsubscribe.","Echec de la désinscription."
"First","Premier"
"For submitting a product review.","Pour avoir soumis un commentaire sur un produit."
"For submitting tag (%s).","Pour avoir soumis un tag (%s)."
"Given action ID has to be an integer value.","L' identifiant de l'action doit être un nombre entier."
"ID","Identifiant"
"Invitation Conversion to Order Reward","Invitation Conversion en commande gratuite"
"Invitation to %s converted into a customer.","Invitation: conversion de %s en client"
"Invitation to %s converted into an order.","Invitation: conversion de %s en commande"
"Invitation to Customer Conversions Quantity Limit","Invitation: limites de conversions client"
"Invitation to Order Conversions Quantity Limit","Invitation: limites de conversions commande"
"Landing Page","Landing page"
"Learn more...","En savoir plus…"
"Log in now and earn %s for this order.","Connectez-vous et gagnez %s pour cette commande."
"Manage Reward Exchange Rates","Gérer taux de conversion en points de fidélité"
"Manage Reward Points Balances","Gérer les soldes de points de récompense"
"Maximum balance is reached.","Solde maximum atteint."
"Minimum Balance in order to redeem: %s.","Solde minimum pour échanger: %s."
"Minimum Reward Points Balance to Be Able to Redeem","Solde minimum de points de récompense pour être en mesure de les racheter"
"Minimum Reward Points Balance to be able to Redeem","Solde minimum de points fidélité requis pour pouvoir échanger"
"Minimum balance for redeeming points is not reached.","Le solde minimum requis pour pouvoir échanger les points n'est pas atteint."
"New Rate","Nouveau taux"
"New Reward Exchange Rate","Nouveau taux de conversion en points de fidélité"
"New Tag Submission","Nouvelle soumission de tag"
"Newsletter Signup","Souscrire à la newsletter"
"None.","Aucun."
"Not enough Reward Points to complete this Order.","Nombre de points de fidélité insuffisant pour finaliser cette commande."
"Only if customer and only on first subscription.","A la condition d'être client et seulement à la première souscription."
"Please enter a positive integer number in the left rate field.","Entrez un nombre entier positif dans le champ gauche du taux."
"Please enter a positive integer number in the right rate field.","Entrez un nombre entier positif dans le champ droit du taux."
