"""%s"" exceeds the allowed length.","""%s"" dépasse la longueur autorisée."
"""%s"" invalid type entered.","Type ""%s"" invalide entré"
"""%s"" is not a valid email address.","""%s"" n'est pas une adresse email valide"
"""%s"" is not a valid hostname.","""%s"" n'est pas un nom valide"
"#","#"
"%s RMA (s) have been closed.","%s RMA (s) ont été fermés."
"%s RMA(s) cannot be closed","%s RMA (s) ne peuvent pas être fermés"
"%s for item %s cannot be empty.","%s pour l'objet %s ne peut pas être vide."
"About This Order:","A propos de cette commande :"
"Action","Action"
"Add","Ajouter"
"Add Details","Ajouter détails"
"Add Item To Return","Ajouter un objet à renvoyer"
"Add New Attribute","Ajouter nouvel attribut"
"Add Products","Ajouter produits"
"Add Selected Product(s) to RMA","Ajouter les produits sélectionnés à RMA"
"All Items","Tous les objets"
"An error occurred while deleting the RMA item attribute.","Une erreur est survenue lors de la suppression de l'attribut d'objet RMA."
"An error occurred while saving the RMA item attribute.","Une erreur est survenue lors de l'enregistrement de l'attribut d'objet RMA."
"Answers","Réponses"
"Approved","Approuvé"
"Approved Qty","Quantité approuvée"
"Are you sure you want to cancel this RMA?","Etes-vous sûr de vouloir annuler ce RMA ?"
"Are you sure you want to delete this tracking information?","Etes-vous sûr de vouloir supprimer ces informations de suivi ?"
"Attribute Information","Informations de l'attribut"
"Attribute is no longer exists.","L'attribut n'existe plus."
"Attribute with the same code already exists","Un attribut disposant du même code existe déjà"
"Authorized","Autorisé"
"Authorized Qty","Qté autorisée"
"Back","Retour"
"Cancel","Annuler"
"Cannot add RMA history.","Impossible d'ajouter l'historique de l'ARM."
"Cannot add label.","Impossible d'ajouter un nom."
"Cannot add message.","Impossible d'ajouter un message."
"Cannot add tracking number.","Impossible d'ajouter un numéro de suivi."
"Cannot create New Return, try again later","Impossible de créer un nouveau retour, veuillez réessayer plus tard"
"Cannot create rma for order #%s.","Impossible de créer une ARM pour la commande #%s."
"Cannot delete label.","Impossible d'effacer le nom."
"Cannot delete tracking number.","Impossible d'effacer le numéro de suivi."
"Cannot display available shipping methods.","Impossible d'afficher les méthodes d'envoi disponibles."
"Cannot display item attributes.","Impossible d'afficher les attributs."
"Cannot get product list.","Impossible d'obtenir la liste de produits."
"Cannot initialize rma for adding tracking number.","Impossible d'initialiser l'ARM pour ajouter un numéro de suivi."
"Cannot initialize rma for delete tracking number.","Impossible d'initialiser l'ARM pour supprimer un numéro de suivi."
"Cannot load track with retrieving identifier.","Impossible de charger le suivi avec l'identifiant de récupération."
"Carrier","Transporteur"
"City","Ville"
"Click to change shipping method","Cliquer pour modifier la méthode d'envoi"
"Close","Fermer"
"Close Window","Fermer la fenêtre"
"Closed","Fermé"
"Comma separated","Valeurs séparées par des virgules"
"Comma-separated.","Valeurs séparées par des virgules."
"Comment Text","Texte de commentaire"
"Comments","Commentaires"
"Condition","Condition"
"Contact Email Address","Courrier électronique"
"Contact Name","Nom"
"Country","Pays"
"Create New RMA","Créer une nouvelle ARM"
"Create New RMA for %s","Créer une nouvelle ARM pour %s"
"Create New RMA for %s in %s","Créer une nouvelle ARM pour %s dans %s"
"Create New Return","Créer nouveau retour"
"Create RMA","Créer RMA"
"Create Shipping Label","Créer label d'expédition"
"Customer","Client"
"Customer My Account Order Returns View","Client Mon compte Commande Retours Vue"
"Customer My Account Return View","Client Mon compte Retour Vue"
"Customer My Return Create","Client Mon retour Créer"
"Customer My Returns History","Client Mes retours Historique"
"Customer Name","Nom du client"
"Customer Service","Service clients"
"Customs Value","Valeurs personnalisées"
"Date","Date"
"Date Requested","Date requise"
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Line","Supprimer la ligne"
"Denied","Refusé"
"Details","Détails"
"Dropdown","Déroulant"
"Edit RMA Item Attribute","Modifier l'attribut d'objet RMA"
"Edit RMA Item Attribute ""%s""","Modifier l'attribut d'objet RMA ""%s"""
"Email Address","Adresse email"
"Email RMA Confirmation","Mail de confirmation RMA"
"Enable RMA on Frontend","Activer RMA"
"Enable RMA on Product Level","Activer RMA pour les produits"
"Enabled","Actif"
"Enabled for RMA","Activé pour ARM"
"Enabled when authorized items require a new shipment","Activé lorsque les éléments sélectionnés nécessitent un nouvel envoi"
"Enter valid Tracking Number.","Entrer un numéro de suivi valide."
"Enter valid message.","Entrer un message valide."
"Failed to save RMA.","Échec de la sauvegarde du RMA"
"File Extensions","Extensions de fichiers"
"Forms to Use In","Formulaires à utiliser dans"
