"Action","Action"
"Add New Search Term","Ajouter Nouveau Terme de Recherche"
"Display in Suggested Terms","Afficher dans les Termes Suggérés"
"Edit","Editer"
"Enable Search Recommendations","Activer les Recommandations de Recherche"
"Enable Search Suggestions","Activer les Suggestions de Recherche"
"Enable Solr Engine for Catalog Navigation","Activer le moteur de recherche Solr pour la Navigation dans le Catalogue"
"ID","Identifiant"
"No","N°"
"Note: Enabling this option affects the perfomance.","Note: Activer cette option peut affecter la performance."
"Number of Uses","Nombre d'Utilisations"
"Redirect","Rediriger"
"Related Search Terms","Termes de Recherche proches"
"Results","Résultats"
"Search Engine","Moteur de Recherche"
"Search Query","Requête de recherche"
"Search Recommendations Count","Total des Recommandations de Recherche"
"Search Suggestions Count","Total des Suggestions de Recherche"
"Show Results Count for Each Recommendation","Afficher le Total des Résultats pour Chaque Recommandation"
"Show Results Count for Each Suggestion","Afficher le Total des Résultats pour Chaque Suggestion"
"Solr Server Hostname","Adresse internet Serveur Solr"
"Solr Server Password","Mot de Passe Serveur Solr"
"Solr Server Path","Chemin Serveur Solr"
"Solr Server Port","Port Serveur Solr"
"Solr Server Timeout","Délai dépassé Serveur Solr"
"Solr Server Username","Nom d'Utilisateur Serveur Solr"
"Store","Boutique"
"Synonym For","Synonyme De"
"Test Connection","Tester la Connexion"
"Unable to perform search because of search engine missed configuration.","Impossible d'exécuter la recherche car le moteur de recherche n'est pas configuré."
"Without starting and trailing slashes.","Sans les slashs de début et de fin."
"Yes","Oui"
"Enter search keyword","Recherche par mot-clé"
