"(Staging Copy)","Copie d'essai"
"Accessible","Accessible"
"Action","Action"
"Action Before Resetting","Action avant réinitialisation"
"Add","Ajouter"
"Add Staging Website","Ajouter un site internet d'essai"
"Add new store view map","Ajouter une nouvelle carte de vue de boutique"
"All automatically created entry points will reside in this folder. The folder should be writeable.","Tous les points d'entrée automatiquement créés resteront dans ce dossier. Ce dossier devrait être inscriptible."
"All backup items are outdated. The backup is read-only.","Tous les articles de la sauvegarde sont dépassés. La sauvegarde peut être lue seulement."
"An error occurred while adding products that must be unlinked on merge with staging website.","Une erreur est survenue lors de l'ajout de produits qui ne doivent pas être liés au site web."
"An error occurred while merging. Please review log and try again.","Une erreur est survenue lors de la fusion. Regardez le log et réessayez."
"An error occurred while performing rollback. Please review the log and try again.","Une erreur s'est produite lors de l'annulation. Veuillez vérifier le livre de bord et essayer à nouveau."
"An error occurred while removing products that must be unlinked on merge with staging website.","Une erreur est survenue lors de la suppression de produits qui ne doivent pas être liés au site web."
"An error occurred while saving staging data. Please review log and try again.","Une erreur est survenue lors de l'enregistrement des données. Regardez le log et réessayez."
"An error occurred while validating data. Please review the log and try again.","Une erreur est survenue lors de la validation des données. Regardez le log et réessayez."
"An exception occurred while performing an SQL query: %s. ","Une exception est survenue lors de la requête SQL : %s."
"An exception occurred while performing an SQL query: %s. Query: %s","Une exception s'est produite lors d'une demande SQL: %s. Demande: %s"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir faire cela?"
"Are you sure?","Êtes-vous sûr(e)?"
"Automatically Create Entry Points for Staging Websites","Crée automatiquement des points d'entrée pour les sites internet d'essai"
"Back","Retour"
"Backup","Sauvegarde"
"Backup General Info","Sauvegarde infos générales"
"Backup Main Information","Sauvegarde les infos principales"
"Backup Name","Sauvegarde le nom"
"Backup version: ","Sauvegarde version:"
"Backups","Sauvegardes"
"Base URL","Base URL"
"Before creating a staging website, please make sure that the base URLs of the source website are properly defined.","Avant de créer un site web, assurez-vous que les URLs de base du site source sont correctement définies."
"Bundles","Lots"
"CMS Blocks","Blocs CMS"
"CMS Pages","Pages CMS"
"Cannot perform create operation because reindexing process or another staging operation is running.","N'a pas pu effectuer l'opération de création car le processus de rédindexation ou une autre opération est en cours."
"Cannot perform rollback operation because reindexing process or another staging operation is running.","Ne peut faire annuler opération car le processus de ré-indexation ou une autre opération d'essai est en cours"
"Cannot perform the create operation because reindexing process or another staging operation is running.","N'a pas pu effectuer l'opération de création car le processus de réindexation ou une autre opération est en cours."
"Cannot perform the merge operation because reindexing process or another staging operation is running.","N'a pas pu effectuer l'opération de fusion car le processus de réindexation ou une autre opération est encours."
"Cannot run the staging website.","Ne peut lancer le site internet d'essai."
"Catalog Categories","Catégories de catalogue"
"Catalog Inventory","Inventaire de catalogue"
"Catalog Price Rules","Règles du prix de catalogue"
"Catalog Search","Recherche catalogue"
"Choose Store View","Choisir la vue de boutique"
"Close Entire Frontend","Fermer tout le Frontal"
"Close Website During Merge or Rollback","Fermer le site internet pendant Fusion ou Annulation"
"Close only relevant websites","Fermer seulement les sites internet en rapport"
"Completed","Terminé"
"Content","Contenu"
"Content Staging","Contenu d'essai"
"Continue","Continuer"
"Could not remove the backup: #%s","N'a pu enlever la sauvegarde: #%s"
"Create","Créer"
"Create New Staging Store View","Créer nouvelle vue de boutique d'essai"
"Create New Staging Website","Créer nouveau site internet d'essai"
"Create a backup","Créer une sauvegarde"
"Created At","Créé "
"Created Date","Date création"
"Current: ","Courant"
"Customers","Clients"
"Delete","Effacer"
"Details","Coordonnées"
"Downloadable","Téléchargeable"
"Edit","Changer"
"Entry point will be built using the staging website code.","Le point d'entrée sera construit en utilisant le code du site internet d'essai."
"Export to:","Exporter vers:"
"Failed to unschedule merge.","Échec pour déprogrammer la fusion."
"Folder Name for Entry Points","Nom du dossier pour points d'entrée"
"From","De"
"Frontend Restriction","Restriction du Frontal"
"General Information","Infos générales"
"Gift Cards","Cartes cadeaux"
"HTTP Login","Connection HTTP"
"HTTP Password","Mot de passe HTTP"
"ID","Identification"
"If no store view mapping is specified, only website-related information will be merged.","Si aucune vue de la boutique n'est spécifiée, seules les informations liées au site web seront fusionnées."
"Incorrect ID","Identification incorrecte"
"Instant Merger","Fusion instantanée"
"Item model ""%s"" is not under backup","Le modèle d'objet ""%s"" n'est pas sous sauvegarde"
"Items","Articles"
"Items to Copy","Articles à copier"
"Landing Page","Page d'atterrissage"
"Latest Event","Dernier événement"
"Log","Journal de bord"
"Log Entry","Entrée au journal de bord"
"Logged At","Entré "
"Master Store Code","Code maître de la boutique"
"Master Store ID","Identification maître de la boutique"
"Master Website","Site internet maître"
"Master Website Code","Code maître du site internet"
"Master Website ID","Identification maître du site internet"
"Merge","Fusionner"
"Merge Now","Fusionner maintenant"
"Merge...","Fusionne..."
"Merger Scheduling","Programmation de fusion"
"Merger Unscheduling","Déprogrammation de fusion"
"Merging","Fusion"
"New Staging","Nouvel essai"
"No","Non"
"No information","Pas d'infos"
"No information available.","Pas d'infos disponibles"
"Not accessible","Non accessible"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Veuillez vous assurer que l'URL de base finit avec '/' (barre), comme http://yourdomain/magento/"
"Please make sure that Base URL ends with '/' (slash), e.g. https://yourdomain/magento/","Veuillez vous assurer que l'URL de base finit avec '/' (barre), comme https://yourdomain/magento/"
"Please make sure that folder %s exists and is writeable.","Veuillez vous assurer que le dossier %s existe et est accessible en écriture."
"Please, select a store view","Veuillez sélectionner une vue de boutique"
"Polls","Sondages"
"Processing","Traitement"
"Ready","Prêt"
"Remove","Enlever"
"Require HTTP Authentication","Authentification HTTP requise"
"Reset","Réinitialise"
"Reset Status","Réinitialise statut"
"Result","Résultat"
"Rollback","Annulation"
"Sales","Ventes"
"Save","Sauvegarde"
"Schedule Date","Programme date"
"Schedule Merge","Programme fusion"
"Scheduled Merger","Fusion programmée"
"Secure Base URL","url de base sûr"
