"Active","Actif"
"Add Rule","Ajouter règle"
"Add to Cart","Ajouter au caddy"
"Add to Compare","Ajouter à comparer"
"Add to Wishlist","Ajouter à liste de vœux"
"An error occurred while saving Product Rule.","Une erreur est survenue lors de la sauvegarde de la Règle de produit."
"Applies To","S'applique "
"Apply To","S'applique "
"Based on your selection, you may be interested in the following items:","D'après votre sélection, vous pourriez être intéressé par les articles suivants:"
"Both Selected and Rule-Based","A la fois sélectionné et basé sur la règle"
"Catalog","Catalogue"
"Check items to add to the cart or","Vérifier articles à ajouter au catalogue ou"
"Close","Fermer"
"Conditions Combination","Conditions de combinaison"
"Constant Value","Valeur constante"
"Cross-sells","Ventes croisées"
"Date Ends","Date de fin"
"Date Starts","Date de commencement"
"Delete Rule","Règle effacée"
"Edit Rule '%s'","Changer règle '%s'"
"End Date should be greater than Start Date","La date de fin devrait être ultérieure à la date de commencement"
"From Date","Depuis date"
"General Rule Information","Information générale de règle"
"ID","Identification"
"Inactive","Inactif"
"Invalid product list type","Type de liste de produit invalide"
"Manage Product Rules","Gérer règles de produit"
"Matched Product %s","Produit correspondant %s"
"Maximum Number of Products in Cross-Sell Product List","Nombre maximum de produits dans la liste de produit à vente croisée"
"Maximum Number of Products in Related Products List","Nombre maximum de produits dans la liste de produit en rapport"
"Maximum Number of Products in Upsell Product List","Nombre maximum de produits dans la liste de produit de montée en gamme"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Nombre maximum de produits qui peuvent être égalés par cette règle. Limitée à 20."
"New Rule","Nouvelle règle"
"Please choose a condition to add...","Veuillez choisir une condition à ajouter..."
"Please define product data object","Veuillez définir l'objet de donnée du produit"
"Position Behavior","Comportement de la position"
"Price (percentage)","Prix (pourcentage)"
"Priority","Priorité"
"Product %s%s%s%s%s%s%s","Produit %s%s%s%s%s%s%s"
"Product Attributes","Attributs du produit"
"Product Match Conditions (leave blank for matching all products)","Conditions de correspondance du produit (laisser vierge pour une correspondance avec tous les produits)"
"Product Result Conditions (leave blank for matching all products)","Conditions de résultat du produit (laisser vierge pour une correspondance avec tous les produits)"
"Product Rule Information","Infos de règle du produit"
"Product Special","Produit spécial"
"Product list type identifier does not defined","Identifiant de type de liste de produit non définie"
"Products to Display","Produits à afficher"
"Products to Match","Produits à égaler"
"Related Products","Produits en rapport"
"Result Limit","Limite de résultat"
"Rule Information","Infos de règle"
"Rule Name","Nom de la règle"
"Rule-Based Only","Seulement basé sur la règle"
"Rule-Based Product Relations","Relations de produit basées sur la règle"
"Rule-based Positions","Positions basées sur la règle"
"Rule-based Product Relations","Relations produits à base de règles"
"Rule-based Settings","Paramètres basés sur la règle"
"Save Rule","Sauvegarde la règle"
"Save and Continue Edit","Sauvegarde et continue à changer"
"Selected Only","Sélectionnés seulement"
"Show Cross-Sell Products","Montrer produits de vente croisée"
"Show Related Products","Montrer produits en rapport"
"Show Upsell Products","Montrer produits de montée en gamme"
"Status","Statut"
"Target Product ","Produit cible"
"The rule has been deleted.","La règle a été effacée"
"The rule has been saved.","La règle à été sauvegardée"
"This rule no longer exists","Cette règle n'existe plus"
"To Date","Jusqu'à présent"
"Unable to find a page to delete","Ne peut trouver de page à effacer"
"Undefined Catalog Product List Type","Type de liste de catalogue de produit non définie"
"Up-sells","Montée en gamme"
"Use Config Settings","Utiliser paramètres de configuration"
"Wrong rule specified.","Fausse règle spécifiée."
"You may also be interested in the following product(s)","Vous pourriez aussi être intéressé(e) par le(s) produit(s) suivant(s)"
"[GLOBAL]","[GLOBAL]"
"equal to","égal "
"equals or greater than","égal ou plus grand que"
"equals or less than","égal ou moins que"
"less","moins"
"more","plus"
"select all","sélectionner tous"
"the Child of the Matched Product Categories","l'enfant des catégories de produits correspondants"
"the Same as Matched Product Categories","le même que les catégories de produits correspondants"
"unselect all","Dé-sélectionner tout"
