"All","Allen"
"Allowed Scopes","toegestaan bereik"
"An order cannot be created in disallowed store.","Een bestelling kan niet worden geplaatst in niet-toegestane winkel"
"Custom","Aangepast"
"None","Geen"
"Not enough permissions to delete this item.","Niet genoeg bevoegdheid om dit item te verwijderen"
"Not enough permissions to save specified Combination of Store Scopes.","Niet genoeg bevoegdheid om een specifieke combinatie van winkelbereiken op te slaan"
"Not enough permissions to save this item.","Niet genoeg bevoegdheid om dit item op te slaan"
"Not enough permissions to set All Scopes to a Role.","Niet genoeg bevoegdheid om alle bereiken naar een rol te zetten"
"Not enough permissions to view this item.","Niet genoeg bevoegdheid om dit item te bekijken"
"Please assign this entity to a store view.","Koppel deze entiteit a.u.b. aan een winkelweergave"
"Please specify at least one website or one store group.","Specificeer a.u.b. tenminste één website of winkel groep."
"Role Scopes","Rol bereiken"
"This item must be assigned to a store view.","Dit item moet toegewezen worden aan een winkelweergave"
"This item must be assigned to a website.","Dit item moet toegewezen worden aan een website"
"Website ""%s"" is not allowed in your current permission scope.","Website ""%s"" is niet toegestaan in uw huidige toestemmingsgebied."
"Wrong store ID: %d","Foute winkel ID: %d"
"Wrong website ID: %d","Foute website ID: %d"
